method,scope,algorithm,period,n,mse,baseline_mse,skill
pca_2,mean_market,lightgbm,all,907,49.75247458500736,51.60538010990975,0.03590527811162425
pca_2,mean_market,lightgbm,2026-01,346,44.84644779709627,47.199192384518376,0.049847136541129156
pca_2,mean_market,lightgbm,2026-02,324,49.606872994312305,49.83974858131326,0.004672487194051889
pca_2,mean_market,lightgbm,2026-03,237,57.11390996054506,60.451817106748074,0.055215993595507884
pca_2,all_references,ridge,all,907,52.99429414188665,51.60538010990975,-0.0269141323834603
pca_2,all_references,ridge,2026-01,346,51.78163493455417,47.199192384518376,-0.09708730845866897
pca_2,all_references,ridge,2026-02,324,53.08532355384045,49.83974858131326,-0.06512021157634962
pca_2,all_references,ridge,2026-03,237,54.64022897844363,60.451817106748074,0.09613587161560622
pca_2,all_references,lightgbm,all,907,50.540401393454694,51.60538010990975,0.020636970683809652
pca_2,all_references,lightgbm,2026-01,346,44.38157133604263,47.199192384518376,0.05969638263132526
pca_2,all_references,lightgbm,2026-02,324,51.67626139699517,49.83974858131326,-0.0368483563412374
pca_2,all_references,lightgbm,2026-03,237,57.978952274119074,60.451817106748074,0.040906377193961285
ae_selected,mean_market,ridge,all,907,1030.1991095579922,403.85849465532436,-1.5508912730366666
ae_selected,mean_market,ridge,2026-01,346,507.07298734051585,468.6017190694955,-0.08209800925914856
ae_selected,mean_market,ridge,2026-02,324,1027.1439311086556,469.85855216335113,-1.1860705235212117
ae_selected,mean_market,ridge,2026-03,237,1798.0958019834436,219.11092385404237,-7.206326596391969
ae_selected,mean_market,lightgbm,all,907,77.11144137415694,403.85849465532436,0.8090632179472461
ae_selected,mean_market,lightgbm,2026-01,346,75.68272325504118,468.6017190694955,0.8384924336058248
ae_selected,mean_market,lightgbm,2026-02,324,95.3476250393358,469.85855216335113,0.7970716408154529
ae_selected,mean_market,lightgbm,2026-03,237,54.2667703264612,219.11092385404237,0.752331972446019
ae_selected,all_references,ridge,all,907,1065.3776861585645,403.85849465532436,-1.637997467572938
ae_selected,all_references,ridge,2026-01,346,481.7236118912394,468.6017190694955,-0.028002229372525722
ae_selected,all_references,ridge,2026-02,324,1041.534928592517,469.85855216335113,-1.2166988847963265
ae_selected,all_references,ridge,2026-03,237,1950.058543322674,219.11092385404237,-7.899869112056129
ae_selected,all_references,lightgbm,all,907,74.86475865197785,403.85849465532436,0.814626262310338
ae_selected,all_references,lightgbm,2026-01,346,74.17954105091623,468.6017190694955,0.8417002370409249
ae_selected,all_references,lightgbm,2026-02,324,90.00832666737682,469.85855216335113,0.8084352700340239
ae_selected,all_references,lightgbm,2026-03,237,55.16251921306668,219.11092385404237,0.7482438655143803
joint_ols,mean_market,ridge,all,907,94.22049743400237,95.2600590308996,0.010912880040941708
joint_ols,mean_market,ridge,2026-01,346,76.39106686004196,76.32289119390163,-0.0008932531914589426
joint_ols,mean_market,ridge,2026-02,324,102.55024995745178,99.39745853468403,-0.03171903456331937
joint_ols,mean_market,ridge,2026-03,237,108.86245169979429,117.25053427298882,0.07153982389252878
joint_ols,mean_market,lightgbm,all,907,95.57480724712369,95.2600590308996,-0.0033040942807098794
joint_ols,mean_market,lightgbm,2026-01,346,76.1713699864758,76.32289119390163,0.001985265561296412
joint_ols,mean_market,lightgbm,2026-02,324,99.70050735290964,99.39745853468403,-0.0030488588208708034
joint_ols,mean_market,lightgbm,2026-03,237,118.26199061383055,117.25053427298882,-0.008626454003926476
joint_ols,all_references,ridge,all,907,49.670663916793636,95.2600590308996,0.4785782790594123
joint_ols,all_references,ridge,2026-01,346,46.96653080331013,76.32289119390163,0.384633757073096
joint_ols,all_references,ridge,2026-02,324,49.420459969588336,99.39745853468403,0.5027995614963996
joint_ols,all_references,ridge,2026-03,237,53.960521031391984,117.25053427298882,0.539784433683191
joint_ols,all_references,lightgbm,all,907,85.8952230478608,95.2600590308996,0.09830810602375462
joint_ols,all_references,lightgbm,2026-01,346,69.099370603495,76.32289119390163,0.09464422111650561
joint_ols,all_references,lightgbm,2026-02,324,79.87371166752493,99.39745853468403,0.19642098656221108
joint_ols,all_references,lightgbm,2026-03,237,118.64768985368097,117.25053427298882,-0.011915984770177968
