definition,variant,reference,fold,n,raw_advantage_bp,calibrated_advantage_bp,change_in_advantage_bp,reference_cal_minus_raw_bp,ml_cal_minus_raw_bp
PCA,original,linear,2026-02,128,0.43945358575093696,0.4218797268649681,-0.01757385888596885,-0.0705438332731386,-0.05296997438716977
PCA,original,linear,2026-03,105,0.14388186763748329,-0.07765991433551551,-0.22154178197299879,-0.7392415642781576,-0.5176997823051588
PCA,original,threshold,2025-12,139,0.1997963774245203,0.2827089800461339,0.08291260262161357,0.09482902856341358,0.011916425941800101
PCA,original,threshold,2026-01,137,0.07731965261814269,0.14143965721649274,0.06412000459835004,-0.010689877901316125,-0.07480988249966619
PCA,original,threshold,2026-02,128,0.5542877624868584,0.43255337538913863,-0.12173438709771978,-0.1747043614848895,-0.05296997438716977
PCA,original,threshold,2026-03,105,0.42461289275692965,-0.052237179784357525,-0.4768500725412872,-0.9945498548464462,-0.5176997823051588
PCA,own_scale,linear,2025-12,139,0.35581922014217143,0.5751580635762571,0.21933884343408566,0.2418540429958429,0.022515199561757186
PCA,own_scale,linear,2026-01,137,0.04028393735269465,0.2481844918054676,0.20790055445277295,0.14675225696565544,-0.06114829748711753
PCA,own_scale,linear,2026-02,128,0.4365829660572189,0.4187288068415741,-0.017854159215644816,-0.0705438332731386,-0.052689674057493835
PCA,own_scale,linear,2026-03,105,0.2070522860621577,-0.08164236703152146,-0.28869465309367914,-0.739241564278157,-0.4505469111844781
PCA,own_scale,threshold,2025-12,139,0.20368780814028836,0.25389936650132666,0.0502115583610383,0.0727267579227955,0.022515199561757186
PCA,own_scale,threshold,2026-01,137,0.05116035601024239,0.09017709460010717,0.039016738589864784,-0.022131558897252743,-0.06114829748711753
PCA,own_scale,threshold,2026-02,128,0.15863757972700743,0.14260039360973817,-0.01603718611726926,-0.06872686017476314,-0.052689674057493835
PCA,own_scale,threshold,2026-03,105,0.07017885129018576,0.07954809785960251,0.009369246569416748,-0.44117766461506136,-0.4505469111844781
