sample,definition,variant,information,strategy,calibration,n,seeds,loss_bp,below_rate
first19days,PCA,own_scale,B,boosting,raw,361,1,2.1140163605200137,0.19667590027700832
first19days,PCA,own_scale,B,linear,raw,361,1,2.3427396014734154,0.2188365650969529
first19days,PCA,own_scale,B,ml_selected,raw,361,4,2.1792657292687014,0.1994459833795014
first19days,PCA,own_scale,B,qrf,raw,361,1,2.171126877790261,0.19113573407202217
first19days,PCA,own_scale,B,threshold,raw,361,1,2.4147987616429845,0.22160664819944598
first19days,PCA,own_scale,F,boosting,raw,361,1,2.2137865500269056,0.20498614958448755
first19days,PCA,own_scale,F,linear,raw,361,1,2.495433978667198,0.2188365650969529
first19days,PCA,own_scale,F,ml_selected,raw,361,4,2.097870967286809,0.19529085872576177
first19days,PCA,own_scale,F,qrf,raw,361,1,2.102109969153856,0.19667590027700832
first19days,PCA,own_scale,F,threshold,raw,361,1,2.3150613410687444,0.19113573407202217
first19days,PCA,own_scale,R,boosting,raw,361,1,2.1507224361325536,0.1772853185595568
first19days,PCA,own_scale,R,linear,raw,361,1,2.341271092118798,0.21329639889196675
first19days,PCA,own_scale,R,ml_selected,raw,361,4,2.151118114810083,0.19667590027700832
first19days,PCA,own_scale,R,qrf,raw,361,1,2.1233767590053336,0.19390581717451524
first19days,PCA,own_scale,R,threshold,raw,361,1,2.181541936878174,0.17174515235457063
first19days,PCA,own_scale,B,boosting,calibrated,361,1,2.02542072348829,0.09695290858725762
first19days,PCA,own_scale,B,linear,calibrated,361,1,2.214021787384819,0.09695290858725762
first19days,PCA,own_scale,B,ml_selected,calibrated,361,4,2.007394152892729,0.10941828254847645
first19days,PCA,own_scale,B,qrf,calibrated,361,1,2.005692541211686,0.10249307479224377
first19days,PCA,own_scale,B,threshold,calibrated,361,1,2.292748652273617,0.11357340720221606
first19days,PCA,own_scale,F,boosting,calibrated,361,1,2.052736935107589,0.10526315789473684
first19days,PCA,own_scale,F,linear,calibrated,361,1,2.3798640646090523,0.11357340720221606
first19days,PCA,own_scale,F,ml_selected,calibrated,361,4,1.9643674927848398,0.09279778393351801
first19days,PCA,own_scale,F,qrf,calibrated,361,1,1.9665615613237402,0.09418282548476455
first19days,PCA,own_scale,F,threshold,calibrated,361,1,2.192529226214904,0.0997229916897507
first19days,PCA,own_scale,R,boosting,calibrated,361,1,2.047325631775773,0.10526315789473684
first19days,PCA,own_scale,R,linear,calibrated,361,1,2.216148846071392,0.09695290858725762
first19days,PCA,own_scale,R,ml_selected,calibrated,361,4,2.0326585078937827,0.10249307479224377
first19days,PCA,own_scale,R,qrf,calibrated,361,1,1.9858682448693579,0.09418282548476455
first19days,PCA,own_scale,R,threshold,calibrated,361,1,2.1892761174561146,0.10526315789473684
