sample,definition,variant,calibration,comparison,n,seed,improvement_pct
full,CAP,original,calibrated,ml_vs_threshold_F,509,20260925,10.251368898274627
full,CAP,original,calibrated,ml_vs_threshold_F,509,20260926,10.39801299850821
full,CAP,original,calibrated,ml_vs_threshold_F,509,20260927,10.188560495610465
full,CAP,original,calibrated,ml_vs_threshold_F,509,20260928,10.234075545268839
full,CAP,own_scale,raw,nonlinear_R,509,20260925,2.458525008447887
full,CAP,own_scale,raw,nonlinear_R,509,20260926,2.458525008447887
full,CAP,own_scale,raw,nonlinear_R,509,20260927,2.458525008447887
full,CAP,own_scale,raw,nonlinear_R,509,20260928,2.458525008447887
full,CAP,own_scale,raw,nonlinear_F,509,20260925,4.050693913585257
full,CAP,own_scale,raw,nonlinear_F,509,20260926,3.845283028849089
full,CAP,own_scale,raw,nonlinear_F,509,20260927,3.8778495716487282
full,CAP,own_scale,raw,nonlinear_F,509,20260928,3.744880225230407
full,CAP,own_scale,raw,market_B_vs_R,509,20260925,-0.5526329476123193
full,CAP,own_scale,raw,market_B_vs_R,509,20260926,-0.5526329476123193
full,CAP,own_scale,raw,market_B_vs_R,509,20260927,-0.5526329476123193
full,CAP,own_scale,raw,market_B_vs_R,509,20260928,-0.5526329476123193
full,CAP,own_scale,raw,position_F_vs_B,509,20260925,0.594046446642349
full,CAP,own_scale,raw,position_F_vs_B,509,20260926,0.38123547697209714
full,CAP,own_scale,raw,position_F_vs_B,509,20260927,0.41497525449605277
full,CAP,own_scale,raw,position_F_vs_B,509,20260928,0.2772155852163616
full,CAP,own_scale,raw,total_F_vs_R,509,20260925,0.04469639541829773
full,CAP,own_scale,raw,total_F_vs_R,509,20260926,-0.1692906377864789
full,CAP,own_scale,raw,total_F_vs_R,509,20260927,-0.13536440313546283
full,CAP,own_scale,raw,total_F_vs_R,509,20260928,-0.2738853777361161
full,CAP,own_scale,raw,ml_vs_threshold_F,509,20260925,0.3343885807669089
full,CAP,own_scale,raw,ml_vs_threshold_F,509,20260926,0.12102172847349157
full,CAP,own_scale,raw,ml_vs_threshold_F,509,20260927,0.1548496375259334
full,CAP,own_scale,raw,ml_vs_threshold_F,509,20260928,0.0167301268036546
full,CAP,own_scale,calibrated,nonlinear_R,509,20260925,10.071033159818722
full,CAP,own_scale,calibrated,nonlinear_R,509,20260926,10.071033159818722
full,CAP,own_scale,calibrated,nonlinear_R,509,20260927,10.071033159818722
full,CAP,own_scale,calibrated,nonlinear_R,509,20260928,10.071033159818722
full,CAP,own_scale,calibrated,nonlinear_F,509,20260925,10.245107371866958
full,CAP,own_scale,calibrated,nonlinear_F,509,20260926,10.423698423938932
full,CAP,own_scale,calibrated,nonlinear_F,509,20260927,10.141382901468877
full,CAP,own_scale,calibrated,nonlinear_F,509,20260928,10.189220516226438
full,CAP,own_scale,calibrated,market_B_vs_R,509,20260925,0.45807023173646266
full,CAP,own_scale,calibrated,market_B_vs_R,509,20260926,0.45807023173646266
full,CAP,own_scale,calibrated,market_B_vs_R,509,20260927,0.45807023173646266
full,CAP,own_scale,calibrated,market_B_vs_R,509,20260928,0.45807023173646266
full,CAP,own_scale,calibrated,position_F_vs_B,509,20260925,0.037938793113156954
full,CAP,own_scale,calibrated,position_F_vs_B,509,20260926,0.23683970152585943
full,CAP,own_scale,calibrated,position_F_vs_B,509,20260927,-0.07758150394232555
full,CAP,own_scale,calibrated,position_F_vs_B,509,20260928,-0.024303666552460967
full,CAP,own_scale,calibrated,total_F_vs_R,509,20260925,0.4958352385320941
full,CAP,own_scale,calibrated,total_F_vs_R,509,20260926,0.6938250410926994
full,CAP,own_scale,calibrated,total_F_vs_R,509,20260927,0.3808441055690226
full,CAP,own_scale,calibrated,total_F_vs_R,509,20260928,0.4338778930456977
full,CAP,own_scale,calibrated,ml_vs_threshold_F,509,20260925,10.417971062241483
full,CAP,own_scale,calibrated,ml_vs_threshold_F,509,20260926,10.596218156369485
full,CAP,own_scale,calibrated,ml_vs_threshold_F,509,20260927,10.314446360281748
full,CAP,own_scale,calibrated,ml_vs_threshold_F,509,20260928,10.362191842049306
full,PCA,original,raw,nonlinear_R,509,20260925,4.020379232062665
full,PCA,original,raw,nonlinear_R,509,20260926,3.8889870959202377
full,PCA,original,raw,nonlinear_R,509,20260927,3.8216076391372256
full,PCA,original,raw,nonlinear_R,509,20260928,4.249215265292228
full,PCA,original,raw,nonlinear_F,509,20260925,10.90846765467911
full,PCA,original,raw,nonlinear_F,509,20260926,11.249112302685106
full,PCA,original,raw,nonlinear_F,509,20260927,11.139257463061336
full,PCA,original,raw,nonlinear_F,509,20260928,11.50788371119501
full,PCA,original,raw,market_B_vs_R,509,20260925,1.946037354966712
full,PCA,original,raw,market_B_vs_R,509,20260926,1.654102727929918
full,PCA,original,raw,market_B_vs_R,509,20260927,1.6877530292978005
full,PCA,original,raw,market_B_vs_R,509,20260928,1.2892500818177721
full,PCA,original,raw,position_F_vs_B,509,20260925,-0.8461684186293006
full,PCA,original,raw,position_F_vs_B,509,20260926,-0.025436859477201423
full,PCA,original,raw,position_F_vs_B,509,20260927,-0.1133409539157082
full,PCA,original,raw,position_F_vs_B,509,20260928,0.26101584240274533
full,PCA,original,raw,total_F_vs_R,509,20260925,1.1163356898498566
full,PCA,original,raw,total_F_vs_R,509,20260926,1.6290866202392396
full,PCA,original,raw,total_F_vs_R,509,20260927,1.5763249907652432
full,PCA,original,raw,total_F_vs_R,509,20260928,1.5469007772587862
full,PCA,original,raw,ml_vs_threshold_F,509,20260925,12.923703051511282
full,PCA,original,raw,ml_vs_threshold_F,509,20260926,13.256642375180249
full,PCA,original,raw,ml_vs_threshold_F,509,20260927,13.149272433453007
full,PCA,original,raw,ml_vs_threshold_F,509,20260928,13.509560418186284
full,PCA,original,calibrated,nonlinear_R,509,20260925,7.757403644818483
full,PCA,original,calibrated,nonlinear_R,509,20260926,7.426358836482239
full,PCA,original,calibrated,nonlinear_R,509,20260927,6.946030964370575
full,PCA,original,calibrated,nonlinear_R,509,20260928,7.391402240922607
full,PCA,original,calibrated,nonlinear_F,509,20260925,14.477496689574798
full,PCA,original,calibrated,nonlinear_F,509,20260926,15.234263726077746
full,PCA,original,calibrated,nonlinear_F,509,20260927,14.838220549972213
full,PCA,original,calibrated,nonlinear_F,509,20260928,15.059303708166738
full,PCA,original,calibrated,market_B_vs_R,509,20260925,-1.6730656227462504
full,PCA,original,calibrated,market_B_vs_R,509,20260926,-2.322801440495703
full,PCA,original,calibrated,market_B_vs_R,509,20260927,-1.098910099368
full,PCA,original,calibrated,market_B_vs_R,509,20260928,-1.3958305419150774
full,PCA,original,calibrated,position_F_vs_B,509,20260925,1.4132306767415503
full,PCA,original,calibrated,position_F_vs_B,509,20260926,3.253282622940812
full,PCA,original,calibrated,position_F_vs_B,509,20260927,2.132381699859842
full,PCA,original,calibrated,position_F_vs_B,509,20260928,2.2042280595748753
full,PCA,original,calibrated,total_F_vs_R,509,20260925,-0.23619066938203037
full,PCA,original,calibrated,total_F_vs_R,509,20260926,1.006048478074184
full,PCA,original,calibrated,total_F_vs_R,509,20260927,1.0569045583486814
full,PCA,original,calibrated,total_F_vs_R,509,20260928,0.8391648061288115
full,PCA,original,calibrated,ml_vs_threshold_F,509,20260925,9.891488404829973
full,PCA,original,calibrated,ml_vs_threshold_F,509,20260926,10.688835870631486
full,PCA,original,calibrated,ml_vs_threshold_F,509,20260927,10.271555508797825
full,PCA,original,calibrated,ml_vs_threshold_F,509,20260928,10.504493899894252
full,PCA,own_scale,raw,nonlinear_R,509,20260925,4.078783269816433
full,PCA,own_scale,raw,nonlinear_R,509,20260926,4.325738200832285
full,PCA,own_scale,raw,nonlinear_R,509,20260927,3.972311101813475
full,PCA,own_scale,raw,nonlinear_R,509,20260928,4.2406356210538565
full,PCA,own_scale,raw,nonlinear_F,509,20260925,11.54609929850624
full,PCA,own_scale,raw,nonlinear_F,509,20260926,11.517034313056785
full,PCA,own_scale,raw,nonlinear_F,509,20260927,11.541038677520255
full,PCA,own_scale,raw,nonlinear_F,509,20260928,12.150039550505888
full,PCA,own_scale,raw,market_B_vs_R,509,20260925,-1.6861916526489606
full,PCA,own_scale,raw,market_B_vs_R,509,20260926,-2.86018369958978
full,PCA,own_scale,raw,market_B_vs_R,509,20260927,-2.8026944547762334
full,PCA,own_scale,raw,market_B_vs_R,509,20260928,-2.8067797884048007
full,PCA,own_scale,raw,position_F_vs_B,509,20260925,2.78906799744999
full,PCA,own_scale,raw,position_F_vs_B,509,20260926,3.618865563523166
full,PCA,own_scale,raw,position_F_vs_B,509,20260927,3.94595907165175
full,PCA,own_scale,raw,position_F_vs_B,509,20260928,4.343752806259804
full,PCA,own_scale,raw,total_F_vs_R,509,20260925,1.1499053765607337
full,PCA,own_scale,raw,total_F_vs_R,509,20260926,0.862188066891334
full,PCA,own_scale,raw,total_F_vs_R,509,20260927,1.2538577929644301
full,PCA,own_scale,raw,total_F_vs_R,509,20260928,1.658892593679373
full,PCA,own_scale,raw,ml_vs_threshold_F,509,20260925,5.764204840461495
full,PCA,own_scale,raw,ml_vs_threshold_F,509,20260926,5.733239987657857
full,PCA,own_scale,raw,ml_vs_threshold_F,509,20260927,5.758813425963849
full,PCA,own_scale,raw,ml_vs_threshold_F,509,20260928,6.407622365575549
full,PCA,own_scale,calibrated,nonlinear_R,509,20260925,4.959005535132965
full,PCA,own_scale,calibrated,nonlinear_R,509,20260926,4.738661085450158
full,PCA,own_scale,calibrated,nonlinear_R,509,20260927,4.745240837403452
full,PCA,own_scale,calibrated,nonlinear_R,509,20260928,4.337648234905844
full,PCA,own_scale,calibrated,nonlinear_F,509,20260925,14.256502280196292
full,PCA,own_scale,calibrated,nonlinear_F,509,20260926,14.16421523055378
full,PCA,own_scale,calibrated,nonlinear_F,509,20260927,14.331140474089722
full,PCA,own_scale,calibrated,nonlinear_F,509,20260928,14.976578438240928
full,PCA,own_scale,calibrated,market_B_vs_R,509,20260925,0.7537444974852758
full,PCA,own_scale,calibrated,market_B_vs_R,509,20260926,0.550228534092112
full,PCA,own_scale,calibrated,market_B_vs_R,509,20260927,0.5379048035050071
full,PCA,own_scale,calibrated,market_B_vs_R,509,20260928,0.7792251990334176
full,PCA,own_scale,calibrated,position_F_vs_B,509,20260925,2.0332231203302187
full,PCA,own_scale,calibrated,position_F_vs_B,509,20260926,2.354858823836059
full,PCA,own_scale,calibrated,position_F_vs_B,509,20260927,2.550093934254838
full,PCA,own_scale,calibrated,position_F_vs_B,509,20260928,3.462146754554596
full,PCA,own_scale,calibrated,total_F_vs_R,509,20260925,2.771642310424416
full,PCA,own_scale,calibrated,total_F_vs_R,509,20260926,2.8921302527418313
full,PCA,own_scale,calibrated,total_F_vs_R,509,20260927,3.074281659993605
full,PCA,own_scale,calibrated,total_F_vs_R,509,20260928,4.214394033649016
full,PCA,own_scale,calibrated,ml_vs_threshold_F,509,20260925,7.112231474354946
full,PCA,own_scale,calibrated,ml_vs_threshold_F,509,20260926,7.012254935805973
full,PCA,own_scale,calibrated,ml_vs_threshold_F,509,20260927,7.193088629263666
full,PCA,own_scale,calibrated,ml_vs_threshold_F,509,20260928,7.892305407282896
