definition,variant,strategy,seed,fold,n,mean_correction_bp,correction_min_bp,correction_max_bp,mean_oldest_age_hours,mean_latest_age_hours,mean_history_label_days,mean_previous_origin_month_fraction,realized_month_raw_error_q10
CAP,original,ml_selected,20260927,2026-03,105,-3.031425855088315,-6.897527875269937,2.0273921475725416,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-5.9371848016975
CAP,original,ml_selected,20260928,2025-12,139,-4.108506972157258,-8.700277126780097,1.1164605615455727,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-1.0267777093113226
CAP,original,ml_selected,20260928,2026-01,137,-0.6073839143283625,-2.114986032435155,1.2235518402097028,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-1.1068842868610176
CAP,original,ml_selected,20260928,2026-02,128,-1.5037121036387908,-3.8910011821547528,1.2920155362982086,317.3203125,12.96875,10.109375,0.26393229166666665,-0.7247695911546508
CAP,original,ml_selected,20260928,2026-03,105,-3.04342524727638,-6.942881237919529,2.0273921475725416,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-6.0142737433598175
CAP,original,threshold,20260925,2025-12,139,-9.687619489000417,-22.312665361463146,0.40573444473524667,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-1.650172190209351
CAP,original,threshold,20260925,2026-01,137,-0.677394949226066,-3.8086441315147983,0.5320133430683285,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-0.912133844784
CAP,original,threshold,20260925,2026-02,128,-1.5283091113146987,-4.064754629389416,1.850508852166235,317.3203125,12.96875,10.109375,0.26393229166666665,-0.12752983892126757
CAP,original,threshold,20260925,2026-03,105,-2.591362617452455,-5.976270277735699,0.4724955914735478,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-4.600038844509829
CAP,own_scale,linear,20260925,2025-12,139,-8.913214260092282,-19.319903620369132,1.4632514840418507,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-1.5095270946843202
CAP,own_scale,linear,20260925,2026-01,137,0.04314798243570056,-0.9985361279163065,1.5446015395397543,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,0.2844829109295386
CAP,own_scale,linear,20260925,2026-02,128,-1.3027495330310774,-2.547029186744874,0.3777205354051958,317.3203125,12.96875,10.109375,0.26393229166666665,-1.3136896780706753
CAP,own_scale,linear,20260925,2026-03,105,-3.747124779841364,-7.571038408885714,1.6698233361841117,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-6.0849876662726174
CAP,own_scale,ml_selected,20260925,2025-12,139,-4.108506972157258,-8.700277126780097,1.1164605615455727,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-1.0267777093113226
CAP,own_scale,ml_selected,20260925,2026-01,137,-0.6073839143283625,-2.114986032435155,1.2235518402097028,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-1.1068842868610176
CAP,own_scale,ml_selected,20260925,2026-02,128,-1.5037121036387908,-3.8910011821547528,1.2920155362982086,317.3203125,12.96875,10.109375,0.26393229166666665,-0.7247695911546508
CAP,own_scale,ml_selected,20260925,2026-03,105,-3.1083692457053016,-6.942881237919529,2.0273921475725416,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-5.9371848016975
CAP,own_scale,ml_selected,20260926,2025-12,139,-4.108506972157258,-8.700277126780097,1.1164605615455727,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-1.0267777093113226
CAP,own_scale,ml_selected,20260926,2026-01,137,-0.6073839143283625,-2.114986032435155,1.2235518402097028,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-1.1068842868610176
CAP,own_scale,ml_selected,20260926,2026-02,128,-1.5037121036387908,-3.8910011821547528,1.2920155362982086,317.3203125,12.96875,10.109375,0.26393229166666665,-0.7247695911546508
CAP,own_scale,ml_selected,20260926,2026-03,105,-3.294493364062014,-6.942881237919529,1.2634802753404193,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-6.0275232759641515
CAP,own_scale,ml_selected,20260927,2025-12,139,-4.108506972157258,-8.700277126780097,1.1164605615455727,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-1.0267777093113226
CAP,own_scale,ml_selected,20260927,2026-01,137,-0.6073839143283625,-2.114986032435155,1.2235518402097028,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-1.1068842868610176
CAP,own_scale,ml_selected,20260927,2026-02,128,-1.5037121036387908,-3.8910011821547528,1.2920155362982086,317.3203125,12.96875,10.109375,0.26393229166666665,-0.7247695911546508
CAP,own_scale,ml_selected,20260927,2026-03,105,-3.0752763351365573,-6.897527875269937,2.0273921475725416,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-5.9371848016975
CAP,own_scale,ml_selected,20260928,2025-12,139,-4.108506972157258,-8.700277126780097,1.1164605615455727,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-1.0267777093113226
CAP,own_scale,ml_selected,20260928,2026-01,137,-0.6073839143283625,-2.114986032435155,1.2235518402097028,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-1.1068842868610176
CAP,own_scale,ml_selected,20260928,2026-02,128,-1.5037121036387908,-3.8910011821547528,1.2920155362982086,317.3203125,12.96875,10.109375,0.26393229166666665,-0.7247695911546508
CAP,own_scale,ml_selected,20260928,2026-03,105,-3.1578256114699483,-7.045842007641879,2.0273921475725416,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-5.9371848016975
CAP,own_scale,threshold,20260925,2025-12,139,-10.24902972304652,-23.430815009085926,0.40573444473526354,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-1.516318210135064
CAP,own_scale,threshold,20260925,2026-01,137,-0.735345491513984,-2.26261266746865,0.5333192023710787,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-1.3564454774881547
CAP,own_scale,threshold,20260925,2026-02,128,-2.4648655539901636,-3.5901070920781155,0.2953394787346957,317.3203125,12.96875,10.109375,0.26393229166666665,-1.2901062509380052
CAP,own_scale,threshold,20260925,2026-03,105,-2.9950759032292353,-5.696305713796499,0.9805512922422288,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-4.74988485985574
EQ,original,linear,20260925,2025-12,139,-9.352398050515166,-20.0992123765486,-0.8363329898924459,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-3.7665525530161723
EQ,original,linear,20260925,2026-01,137,-1.5263158675564006,-4.411678399322769,3.820262578599614,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,1.2035175194661853
EQ,original,linear,20260925,2026-02,128,-6.762366394590709,-10.336975558135547,-2.6890848059943018,317.3203125,12.96875,10.109375,0.26393229166666665,-5.911112606611859
EQ,original,linear,20260925,2026-03,105,-6.132350151603021,-10.185460532606815,-0.5740691946184189,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-9.847665027792477
EQ,original,ml_selected,20260925,2025-12,139,-4.574594547305876,-9.394416376220489,-0.11405486919256269,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-2.868561137439678
EQ,original,ml_selected,20260925,2026-01,137,-1.3721386868824283,-4.3050363288813145,-0.12892329604063058,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.8991561645062305
EQ,original,ml_selected,20260925,2026-02,128,-4.476360918319181,-6.836768708695049,-2.7071736193883336,317.3203125,12.96875,10.109375,0.26393229166666665,-3.6151713149546296
EQ,original,ml_selected,20260925,2026-03,105,-6.556880722162807,-9.448395527311655,-0.23247390105274768,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-8.875192938630013
EQ,original,ml_selected,20260926,2025-12,139,-4.561966827284892,-9.466385132735086,0.03929232821158557,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-2.389813934525627
EQ,original,ml_selected,20260926,2026-01,137,-1.5932757055080655,-4.5147078580911995,0.19649224794340547,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.9997503841855657
EQ,original,ml_selected,20260926,2026-02,128,-4.45140549764039,-6.836768708695049,-2.4000498942467363,317.3203125,12.96875,10.109375,0.26393229166666665,-3.6124614215546913
EQ,original,ml_selected,20260926,2026-03,105,-6.334336218113383,-9.254801648901111,-0.18150071131694467,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-9.254801648901111
EQ,original,ml_selected,20260927,2025-12,139,-4.565848895399278,-9.466385132735086,-0.11405486919256269,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-2.727952212560526
EQ,original,ml_selected,20260927,2026-01,137,-1.4381596615405785,-4.531325172452071,-0.10579587485003827,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.4522711569343034
EQ,original,ml_selected,20260927,2026-02,128,-4.702996494123886,-6.836768708695049,-2.4000498942467363,317.3203125,12.96875,10.109375,0.26393229166666665,-3.052225328127548
EQ,original,ml_selected,20260927,2026-03,105,-6.131097397760612,-10.073260426038672,-1.1135652611170421,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-9.068028565135679
EQ,original,ml_selected,20260928,2025-12,139,-4.730327647673134,-9.839548761018863,0.03929232821158557,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-2.727898672012188
EQ,original,ml_selected,20260928,2026-01,137,-1.18011081618208,-4.030473982273904,0.19649224794340547,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.859727560831976
EQ,original,ml_selected,20260928,2026-02,128,-4.283199663731148,-6.836768708695049,-2.4000498942467363,317.3203125,12.96875,10.109375,0.26393229166666665,-2.675837963836738
EQ,original,ml_selected,20260928,2026-03,105,-6.225829168901645,-9.254801648901111,-0.18150071131694467,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-9.254801648901111
EQ,original,threshold,20260925,2025-12,139,-7.256532875224664,-14.854860785758369,0.32121118112671,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-3.139631441789364
EQ,original,threshold,20260925,2026-01,137,-2.4171475641257754,-6.0397626214745195,-0.024625965034987374,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.437041920532641
EQ,original,threshold,20260925,2026-02,128,-6.625745385829842,-10.46214733622094,-3.0990105397206484,317.3203125,12.96875,10.109375,0.26393229166666665,-5.418368546286747
EQ,original,threshold,20260925,2026-03,105,-7.151618829025006,-11.145741401456968,-0.22456747335338534,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-10.15180161441809
EQ,own_scale,linear,20260925,2025-12,139,-9.494289506216267,-20.43006185072025,-0.8363329898924459,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-3.7665525530161723
EQ,own_scale,linear,20260925,2026-01,137,-2.078839093188567,-4.717656986857522,3.5581822452347525,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-0.2960227059105165
EQ,own_scale,linear,20260925,2026-02,128,-6.762366394590709,-10.336975558135547,-2.6890848059943018,317.3203125,12.96875,10.109375,0.26393229166666665,-5.911112606611859
EQ,own_scale,linear,20260925,2026-03,105,-6.000312142231652,-9.913362153364393,-0.47580565104597916,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-9.713807029569965
EQ,own_scale,ml_selected,20260925,2025-12,139,-4.640451350783142,-9.466385132735086,0.4578832659465295,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-2.9091078392053156
EQ,own_scale,ml_selected,20260925,2026-01,137,-1.1629352972887088,-4.469358221319387,-0.0712547300242381,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.55023362311824
EQ,own_scale,ml_selected,20260925,2026-02,128,-4.447959338484621,-6.748481576012894,-2.292000124351242,317.3203125,12.96875,10.109375,0.26393229166666665,-3.6707779139700243
EQ,own_scale,ml_selected,20260925,2026-03,105,-6.539553095196731,-10.058340906506533,-0.18150071131694467,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-9.310292978908679
EQ,own_scale,ml_selected,20260926,2025-12,139,-4.611051849864647,-9.249376119589657,-0.35205189114892654,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-2.433446588828115
EQ,own_scale,ml_selected,20260926,2026-01,137,-1.6578210388117423,-4.5292585110704415,0.19649224794340547,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.780076795352935
EQ,own_scale,ml_selected,20260926,2026-02,128,-4.303177824505597,-6.603866205505671,-2.3519001452623893,317.3203125,12.96875,10.109375,0.26393229166666665,-3.2554870833065728
EQ,own_scale,ml_selected,20260926,2026-03,105,-6.450193532275496,-10.073260426038672,0.14266340605848526,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-9.310292978908679
EQ,own_scale,ml_selected,20260927,2025-12,139,-4.7635827469878995,-9.839548761018863,-0.1435001812064911,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-3.112472813751488
EQ,own_scale,ml_selected,20260927,2026-01,137,-1.3957126875783334,-4.5147078580911995,-0.0712547300242381,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.9997503841855657
EQ,own_scale,ml_selected,20260927,2026-02,128,-4.366097743056632,-6.505044379013368,-2.4000498942467363,317.3203125,12.96875,10.109375,0.26393229166666665,-2.58628912434542
EQ,own_scale,ml_selected,20260927,2026-03,105,-6.135271205091146,-9.415220903284116,-0.18150071131694467,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-9.068028565135679
EQ,own_scale,ml_selected,20260928,2025-12,139,-4.649136442125843,-9.466385132735086,0.03929232821158557,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-2.8694494720099017
EQ,own_scale,ml_selected,20260928,2026-01,137,-1.382963506577563,-4.531233603752813,0.08979844080334765,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.9475816737242013
EQ,own_scale,ml_selected,20260928,2026-02,128,-4.649567231757464,-6.774141477003861,-2.3519001452623893,317.3203125,12.96875,10.109375,0.26393229166666665,-3.6151713149546296
EQ,own_scale,ml_selected,20260928,2026-03,105,-6.102490517268555,-10.03917636215502,-0.21431093218963326,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-9.277826791042019
EQ,own_scale,threshold,20260925,2025-12,139,-7.377068628533922,-14.836617347043859,-0.019567085126854344,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-3.2165822157003756
EQ,own_scale,threshold,20260925,2026-01,137,-2.091397095941036,-6.252263995846764,-0.07829804559310372,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.066281731116291
EQ,own_scale,threshold,20260925,2026-02,128,-4.214954103295631,-7.4130163586640325,-2.113265313836121,317.3203125,12.96875,10.109375,0.26393229166666665,-2.966517284003422
EQ,own_scale,threshold,20260925,2026-03,105,-5.337404529562938,-11.129160388936606,0.11808161247220728,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-8.81572508229948
PCA,original,linear,20260925,2025-12,139,-9.367786130677874,-20.116715099801688,-0.8868152001983844,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-3.7289756328131833
PCA,original,linear,20260925,2026-01,137,-1.461075965920856,-4.327989864095473,3.893604835173999,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,1.2506262448340753
PCA,original,linear,20260925,2026-02,128,-6.686030452176335,-10.216994632247875,-2.6136946645523196,317.3203125,12.96875,10.109375,0.26393229166666665,-5.857683116563364
PCA,original,linear,20260925,2026-03,105,-6.045964111020888,-10.011687292355573,-0.3855355367948725,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-9.753091297966906
PCA,original,ml_selected,20260925,2025-12,139,-4.6418557394280215,-9.402647598735836,-0.19047041125260478,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-2.835407840971218
PCA,original,ml_selected,20260925,2026-01,137,-1.4703767529515048,-4.66093541253931,-0.023940261450512423,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-3.0297915895417855
PCA,original,ml_selected,20260925,2026-02,128,-4.306296618618821,-6.33500666825886,-2.304594452361007,317.3203125,12.96875,10.109375,0.26393229166666665,-3.1255736099420144
PCA,original,ml_selected,20260925,2026-03,105,-6.188565985199355,-9.146101520453145,-0.24338479730644913,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-8.495444292864676
PCA,original,ml_selected,20260926,2025-12,139,-4.513228348629708,-9.38482759294999,-0.2106521865799067,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-2.841346058671631
PCA,original,ml_selected,20260926,2026-01,137,-1.4722239670705124,-4.5564393137632635,0.17440853720884775,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-3.0297915895417855
PCA,original,ml_selected,20260926,2026-02,128,-4.3138946679597465,-6.214141026417899,-2.4745568349794826,317.3203125,12.96875,10.109375,0.26393229166666665,-3.4762169694836818
PCA,original,ml_selected,20260926,2026-03,105,-6.311241709517835,-8.92315695121479,-0.24338479730644913,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-8.738370563066058
PCA,original,ml_selected,20260927,2025-12,139,-4.589381578327621,-9.81981210880988,-0.2758519683635683,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-2.835407840971218
PCA,original,ml_selected,20260927,2026-01,137,-1.4547666052493424,-4.697857438087784,0.3160193976562269,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.520937352507179
PCA,original,ml_selected,20260927,2026-02,128,-4.5084340266222656,-6.33500666825886,-2.699084850155698,317.3203125,12.96875,10.109375,0.26393229166666665,-3.4106120663250845
PCA,original,ml_selected,20260927,2026-03,105,-6.328545634313445,-9.146101520453145,-0.15683593856769384,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-8.70398068435565
PCA,original,ml_selected,20260928,2025-12,139,-4.589318808151413,-9.402647598735836,0.31284187793251306,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-2.9027079242076503
PCA,original,ml_selected,20260928,2026-01,137,-1.1953086383456564,-4.114616945871575,0.17440853720884775,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.796105351344579
PCA,original,ml_selected,20260928,2026-02,128,-4.2244437635240715,-6.477147414068025,-2.304594452361007,317.3203125,12.96875,10.109375,0.26393229166666665,-2.933251062133344
PCA,original,ml_selected,20260928,2026-03,105,-6.163409897386209,-8.924574801769351,-0.24338479730644913,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-8.718442724610055
PCA,original,threshold,20260925,2025-12,139,-7.420393401090136,-14.88445731824996,0.3083454029849175,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-3.247721864384136
PCA,original,threshold,20260925,2026-01,137,-2.5079587523284403,-5.171298269654784,-0.0797192486842846,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.592295171269832
PCA,original,threshold,20260925,2026-02,128,-6.816513053304237,-11.01297880615275,-3.108840695347933,317.3203125,12.96875,10.109375,0.26393229166666665,-5.4267326850173525
PCA,original,threshold,20260925,2026-03,105,-7.117192439515388,-11.164430246022595,-0.15216910364593073,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-9.948791830639102
PCA,own_scale,linear,20260925,2025-12,139,-9.51180831972655,-20.4625970963398,-0.8868152001983844,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-3.7289756328131833
PCA,own_scale,linear,20260925,2026-01,137,-2.007341629960828,-4.6581939921057085,3.690354441997642,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-0.35501943132232583
PCA,own_scale,linear,20260925,2026-02,128,-6.686030452176335,-10.216994632247875,-2.6136946645523196,317.3203125,12.96875,10.109375,0.26393229166666665,-5.857683116563364
PCA,own_scale,linear,20260925,2026-03,105,-6.045964111020887,-10.011687292355573,-0.3855355367948725,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-9.753091297966906
PCA,own_scale,ml_selected,20260925,2025-12,139,-4.635468501513751,-9.38482759294999,0.4580990086217085,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-3.014959202839684
PCA,own_scale,ml_selected,20260925,2026-01,137,-1.244406824522476,-4.596564959695346,0.17440853720884775,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.4709458836338225
PCA,own_scale,ml_selected,20260925,2026-02,128,-4.349126231322519,-6.384103409036374,-2.2897196640444246,317.3203125,12.96875,10.109375,0.26393229166666665,-3.4762169694836818
PCA,own_scale,ml_selected,20260925,2026-03,105,-6.135762801604584,-9.909334463582686,-0.24338479730644913,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-8.718442724610055
PCA,own_scale,ml_selected,20260926,2025-12,139,-4.803655849595108,-9.38482759294999,0.23239360352176774,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-2.7344422529942536
PCA,own_scale,ml_selected,20260926,2026-01,137,-1.5500606438270468,-4.697857438087784,0.11641571235371373,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.862931440365829
PCA,own_scale,ml_selected,20260926,2026-02,128,-4.2934478520181845,-6.199266238101316,-2.2897196640444246,317.3203125,12.96875,10.109375,0.26393229166666665,-3.1752901862473557
PCA,own_scale,ml_selected,20260926,2026-03,105,-6.164223429959701,-9.859532867155446,-0.15683593856769384,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-8.985942447276747
PCA,own_scale,ml_selected,20260927,2025-12,139,-4.599904000488502,-9.402647598735836,-0.07677772399955529,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-3.0781331819260487
PCA,own_scale,ml_selected,20260927,2026-01,137,-1.412769935386936,-4.387468644303862,0.11641571235371373,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-3.0297915895417855
PCA,own_scale,ml_selected,20260927,2026-02,128,-4.218098718049457,-6.384103409036374,-2.2897196640444246,317.3203125,12.96875,10.109375,0.26393229166666665,-3.4106120663250845
PCA,own_scale,ml_selected,20260927,2026-03,105,-6.1928690111905045,-9.318615249760118,-0.15683593856769384,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-9.318615249760118
PCA,own_scale,ml_selected,20260928,2025-12,139,-4.5982694510819,-9.402647598735836,0.23239360352176774,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-2.914201015329926
PCA,own_scale,ml_selected,20260928,2026-01,137,-1.2553850346350466,-4.697857438087784,0.20706412639898986,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.520937352507179
PCA,own_scale,ml_selected,20260928,2026-02,128,-4.228385329235833,-6.384103409036374,-2.2626246774132337,317.3203125,12.96875,10.109375,0.26393229166666665,-3.4762169694836818
PCA,own_scale,ml_selected,20260928,2026-03,105,-6.009885943923628,-9.591390244012986,-0.07434204843783299,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-8.25720278961904
PCA,own_scale,threshold,20260925,2025-12,139,-7.443480717427261,-14.82887670549006,0.25500251771082993,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-3.197644007924813
PCA,own_scale,threshold,20260925,2026-01,137,-2.2876324584497776,-5.6363937416429994,-0.10593643679957232,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-2.2114790447937516
PCA,own_scale,threshold,20260925,2026-02,128,-4.175412119653485,-7.195619337435332,-2.2407183702844513,317.3203125,12.96875,10.109375,0.26393229166666665,-3.0873994964096685
PCA,own_scale,threshold,20260925,2026-03,105,-4.722104554877137,-6.218771550140776,-0.8068070259972386,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-6.56207022759134
