definition,variant,information,fold,candidate,kind,n,score
EQ,original,R,2025-12,44,threshold,479,1.420606789209692
EQ,original,R,2025-12,45,threshold,479,1.4608612347692513
EQ,original,R,2025-12,46,threshold,479,1.4253526322750565
EQ,original,R,2025-12,47,threshold,479,1.383975606612739
EQ,original,R,2025-12,48,threshold,479,1.5881898256675455
EQ,original,R,2025-12,49,threshold,479,1.5309521339006174
EQ,original,R,2025-12,50,threshold,479,1.4469855873294455
EQ,original,R,2025-12,51,threshold,479,1.5557141293498273
EQ,original,R,2025-12,52,threshold,479,1.5003771768408218
EQ,original,R,2025-12,53,threshold,479,1.4587471099663052
EQ,original,R,2025-12,54,threshold,479,1.5881898256675453
EQ,original,R,2025-12,55,threshold,479,1.5292929916988143
EQ,original,R,2025-12,56,threshold,479,1.426012362213029
EQ,original,R,2025-12,57,threshold,479,1.5557141293498278
EQ,original,R,2025-12,58,threshold,479,1.494776011529288
EQ,original,R,2025-12,59,threshold,479,1.4185513036360915
EQ,original,R,2026-01,0,linear,445,1.8590459900503058
EQ,original,R,2026-01,1,linear,445,1.9446587422257546
EQ,original,R,2026-01,2,linear,445,1.9751614803640003
EQ,original,R,2026-01,3,linear,445,1.8590459900503056
EQ,original,R,2026-01,4,linear,445,1.8216618092813057
EQ,original,R,2026-01,5,linear,445,1.775989155891265
EQ,original,R,2026-01,6,linear,445,1.9169913918048131
EQ,original,R,2026-01,7,linear,445,1.9362902170309402
EQ,original,R,2026-01,8,linear,445,1.9824577864754656
EQ,original,R,2026-01,9,linear,445,1.916991391804812
EQ,original,R,2026-01,10,linear,445,1.8742914331245826
EQ,original,R,2026-01,11,linear,445,1.755328415339325
EQ,original,R,2026-01,12,qrf,445,1.923051961816605
EQ,original,R,2026-01,13,qrf,445,1.9347400768769347
EQ,original,R,2026-01,14,qrf,445,1.9712108440761134
EQ,original,R,2026-01,15,qrf,445,1.707276326940203
EQ,original,R,2026-01,16,qrf,445,1.6903233376869964
EQ,original,R,2026-01,17,qrf,445,1.7008280886116895
EQ,original,R,2026-01,18,qrf,445,1.9186866331303678
EQ,original,R,2026-01,19,qrf,445,1.9331593775549059
EQ,original,R,2026-01,20,qrf,445,1.9731242739477324
EQ,original,R,2026-01,21,qrf,445,1.7009381362502431
EQ,original,R,2026-01,22,qrf,445,1.6971862988590092
EQ,original,R,2026-01,23,qrf,445,1.702806141560182
EQ,original,R,2026-01,24,boosting,445,1.88532296478362
EQ,original,R,2026-01,25,boosting,445,1.8989144185919158
EQ,original,R,2026-01,26,boosting,445,1.9216494819178944
EQ,original,R,2026-01,27,boosting,445,1.7074478108429487
EQ,original,R,2026-01,28,boosting,445,1.7188240033020572
EQ,original,R,2026-01,29,boosting,445,1.689541563635528
EQ,original,R,2026-01,30,boosting,445,1.9150461233036675
EQ,original,R,2026-01,31,boosting,445,1.8941221599370706
EQ,original,R,2026-01,32,boosting,445,1.9704331544518476
EQ,original,R,2026-01,33,boosting,445,1.6792095516694423
EQ,original,R,2026-01,34,boosting,445,1.7130223222483878
EQ,original,R,2026-01,35,boosting,445,1.7063937973640155
EQ,original,R,2026-01,36,threshold,445,1.8788903054327037
EQ,original,R,2026-01,37,threshold,445,1.8727731360066298
EQ,original,R,2026-01,38,threshold,445,1.930187540294466
EQ,original,R,2026-01,39,threshold,445,1.8645183629761357
EQ,original,R,2026-01,40,threshold,445,1.8391864647965448
EQ,original,R,2026-01,41,threshold,445,1.92482771273445
EQ,original,R,2026-01,42,threshold,445,1.8788903054327035
EQ,original,R,2026-01,43,threshold,445,1.750655295810705
EQ,original,R,2026-01,44,threshold,445,1.833129493559221
EQ,original,R,2026-01,45,threshold,445,1.8645183629761357
EQ,original,R,2026-01,46,threshold,445,1.8138451013348993
EQ,original,R,2026-01,47,threshold,445,1.7779500695035804
EQ,original,R,2026-01,48,threshold,445,1.9224693976674807
EQ,original,R,2026-01,49,threshold,445,1.8751208144963423
EQ,original,R,2026-01,50,threshold,445,1.9068551965332923
EQ,original,R,2026-01,51,threshold,445,1.896478454079733
EQ,original,R,2026-01,52,threshold,445,1.828609316311345
EQ,original,R,2026-01,53,threshold,445,1.926776419588453
EQ,original,R,2026-01,54,threshold,445,1.9224693976674807
EQ,original,R,2026-01,55,threshold,445,1.869177942099271
EQ,original,R,2026-01,56,threshold,445,1.7690292839792015
EQ,original,R,2026-01,57,threshold,445,1.8964784540797333
EQ,original,R,2026-01,58,threshold,445,1.8123664216948576
EQ,original,R,2026-01,59,threshold,445,1.7547175590300619
EQ,original,R,2026-02,0,linear,400,1.9656684550262935
EQ,original,R,2026-02,1,linear,400,2.042998576379973
EQ,original,R,2026-02,2,linear,400,2.0897110770983174
EQ,original,R,2026-02,3,linear,400,1.9656684550262928
EQ,original,R,2026-02,4,linear,400,1.9444886422821392
EQ,original,R,2026-02,5,linear,400,1.949094882857172
EQ,original,R,2026-02,6,linear,400,2.0174066676219438
EQ,original,R,2026-02,7,linear,400,2.0190286449436927
EQ,original,R,2026-02,8,linear,400,2.0950109583419687
EQ,original,R,2026-02,9,linear,400,2.0174066676219424
EQ,original,R,2026-02,10,linear,400,1.9851146539671771
EQ,original,R,2026-02,11,linear,400,1.962033152385431
EQ,original,R,2026-02,12,qrf,400,2.052276034673649
EQ,original,R,2026-02,13,qrf,400,2.045235551176638
EQ,original,R,2026-02,14,qrf,400,2.0683339629565793
EQ,original,R,2026-02,15,qrf,400,1.7587823155809286
EQ,original,R,2026-02,16,qrf,400,1.7401352423652383
EQ,original,R,2026-02,17,qrf,400,1.7689541377567826
EQ,original,R,2026-02,18,qrf,400,2.0690483259263943
EQ,original,R,2026-02,19,qrf,400,2.094259348505462
EQ,original,R,2026-02,20,qrf,400,2.09975549441625
EQ,original,R,2026-02,21,qrf,400,1.765337374038558
EQ,original,R,2026-02,22,qrf,400,1.7536789280730625
EQ,original,R,2026-02,23,qrf,400,1.7484995407568318
EQ,original,R,2026-02,24,boosting,400,2.014138003364704
EQ,original,R,2026-02,25,boosting,400,2.0468830966920333
EQ,original,R,2026-02,26,boosting,400,2.040323159428638
EQ,original,R,2026-02,27,boosting,400,1.7772260840217227
EQ,original,R,2026-02,28,boosting,400,1.7956358931785235
EQ,original,R,2026-02,29,boosting,400,1.76377979373553
EQ,original,R,2026-02,30,boosting,400,2.041980993274086
EQ,original,R,2026-02,31,boosting,400,2.0315719485358126
EQ,original,R,2026-02,32,boosting,400,2.095512199333366
EQ,original,R,2026-02,33,boosting,400,1.7588841287193293
EQ,original,R,2026-02,34,boosting,400,1.8021096395724299
EQ,original,R,2026-02,35,boosting,400,1.775449823009189
EQ,original,R,2026-02,36,threshold,400,1.888757206387378
EQ,original,R,2026-02,37,threshold,400,1.9645919970226242
EQ,original,R,2026-02,38,threshold,400,2.0272051419117654
EQ,original,R,2026-02,39,threshold,400,1.9098203076321139
EQ,original,R,2026-02,40,threshold,400,1.9093152504969089
EQ,original,R,2026-02,41,threshold,400,2.0089198311662386
EQ,original,R,2026-02,42,threshold,400,1.8887572063873785
EQ,original,R,2026-02,43,threshold,400,1.8489378698586405
EQ,original,R,2026-02,44,threshold,400,1.9591084328295318
EQ,original,R,2026-02,45,threshold,400,1.909820307632114
EQ,original,R,2026-02,46,threshold,400,1.8787927491882639
EQ,original,R,2026-02,47,threshold,400,1.9031030420255524
EQ,original,R,2026-02,48,threshold,400,2.0193715332122792
EQ,original,R,2026-02,49,threshold,400,2.0198330084406426
EQ,original,R,2026-02,50,threshold,400,2.0262026725847533
EQ,original,R,2026-02,51,threshold,400,1.9412960313726386
EQ,original,R,2026-02,52,threshold,400,1.8837562269822121
EQ,original,R,2026-02,53,threshold,400,2.0139328770775844
EQ,original,R,2026-02,54,threshold,400,2.0193715332122797
EQ,original,R,2026-02,55,threshold,400,2.0266863941222435
EQ,original,R,2026-02,56,threshold,400,1.9019652497699662
EQ,original,R,2026-02,57,threshold,400,1.941296031372639
EQ,original,R,2026-02,58,threshold,400,1.8650464542737757
EQ,original,R,2026-02,59,threshold,400,1.8314515263966975
EQ,original,R,2026-03,0,linear,404,1.9480107734614798
EQ,original,R,2026-03,1,linear,404,1.9776498304940802
EQ,original,R,2026-03,2,linear,404,2.0186096304070635
EQ,original,R,2026-03,3,linear,404,1.9480107734614796
EQ,original,R,2026-03,4,linear,404,1.9484449754906674
EQ,original,R,2026-03,5,linear,404,2.0690595736137345
EQ,original,R,2026-03,6,linear,404,1.9742156792104246
EQ,original,R,2026-03,7,linear,404,1.9811379472765624
EQ,original,R,2026-03,8,linear,404,2.0271055926737453
EQ,original,R,2026-03,9,linear,404,1.9742156792104237
EQ,original,R,2026-03,10,linear,404,1.9879180309248967
EQ,original,R,2026-03,11,linear,404,2.1482249182648676
EQ,original,R,2026-03,12,qrf,404,2.0422018192333242
EQ,original,R,2026-03,13,qrf,404,2.0270556413234626
EQ,original,R,2026-03,14,qrf,404,2.0373960969112503
EQ,original,R,2026-03,15,qrf,404,1.8005987852655212
EQ,original,R,2026-03,16,qrf,404,1.8059571195967123
EQ,original,R,2026-03,17,qrf,404,1.813518014023492
EQ,original,R,2026-03,18,qrf,404,2.066747201798578
EQ,original,R,2026-03,19,qrf,404,2.0714544420186294
EQ,original,R,2026-03,20,qrf,404,2.0946113881032193
EQ,original,R,2026-03,21,qrf,404,1.8128621450328049
EQ,original,R,2026-03,22,qrf,404,1.836792661636845
EQ,original,R,2026-03,23,qrf,404,1.833134972957161
EQ,original,R,2026-03,24,boosting,404,1.9875306588627217
EQ,original,R,2026-03,25,boosting,404,2.0074737498401154
EQ,original,R,2026-03,26,boosting,404,1.9869158380177607
EQ,original,R,2026-03,27,boosting,404,1.8395570720798142
EQ,original,R,2026-03,28,boosting,404,1.8407773673293206
EQ,original,R,2026-03,29,boosting,404,1.803056691693731
EQ,original,R,2026-03,30,boosting,404,2.0305858719448513
EQ,original,R,2026-03,31,boosting,404,1.9976037109887146
EQ,original,R,2026-03,32,boosting,404,2.06159961363473
EQ,original,R,2026-03,33,boosting,404,1.8487571970462422
EQ,original,R,2026-03,34,boosting,404,1.8748061728862246
EQ,original,R,2026-03,35,boosting,404,1.8717457328601887
EQ,original,R,2026-03,36,threshold,404,1.8044833877358248
EQ,original,R,2026-03,37,threshold,404,1.8945142261244985
EQ,original,R,2026-03,38,threshold,404,1.9365813925381041
EQ,original,R,2026-03,39,threshold,404,1.884419417740146
EQ,original,R,2026-03,40,threshold,404,1.8796653632472997
EQ,original,R,2026-03,41,threshold,404,1.927184676413782
EQ,original,R,2026-03,42,threshold,404,1.8044833877358248
EQ,original,R,2026-03,43,threshold,404,1.7907129668476804
EQ,original,R,2026-03,44,threshold,404,1.9102900544780055
EQ,original,R,2026-03,45,threshold,404,1.8844194177401468
EQ,original,R,2026-03,46,threshold,404,1.8735011741460985
EQ,original,R,2026-03,47,threshold,404,1.9130890827726552
EQ,original,R,2026-03,48,threshold,404,1.9073599185917072
EQ,original,R,2026-03,49,threshold,404,1.9257404909336053
EQ,original,R,2026-03,50,threshold,404,1.9811865141449831
EQ,original,R,2026-03,51,threshold,404,1.8979171554617715
EQ,original,R,2026-03,52,threshold,404,1.8819851948496098
EQ,original,R,2026-03,53,threshold,404,1.9563366472961357
EQ,original,R,2026-03,54,threshold,404,1.9073599185917078
EQ,original,R,2026-03,55,threshold,404,1.9422512458927126
EQ,original,R,2026-03,56,threshold,404,1.9170563890051358
EQ,original,R,2026-03,57,threshold,404,1.8979171554617718
EQ,original,R,2026-03,58,threshold,404,1.860619869892126
EQ,original,R,2026-03,59,threshold,404,1.8613161480339857
EQ,original,B,2025-12,0,linear,479,1.4496297301604084
EQ,original,B,2025-12,1,linear,479,1.4207885212268794
EQ,original,B,2025-12,2,linear,479,1.4200593224000766
EQ,original,B,2025-12,3,linear,479,1.4496297301604089
EQ,original,B,2025-12,4,linear,479,1.3743247793074536
EQ,original,B,2025-12,5,linear,479,1.4292278778048058
EQ,original,B,2025-12,6,linear,479,1.4307016577025367
EQ,original,B,2025-12,7,linear,479,1.419882837150261
EQ,original,B,2025-12,8,linear,479,1.4322782759242816
EQ,original,B,2025-12,9,linear,479,1.4307016577025367
EQ,original,B,2025-12,10,linear,479,1.4046423542127136
EQ,original,B,2025-12,11,linear,479,1.420502419017827
EQ,original,B,2025-12,12,qrf,479,1.4382822527041383
EQ,original,B,2025-12,13,qrf,479,1.4396554678312532
EQ,original,B,2025-12,14,qrf,479,1.4409417547087044
EQ,original,B,2025-12,15,qrf,479,1.3556465475584811
EQ,original,B,2025-12,16,qrf,479,1.3676021595042778
EQ,original,B,2025-12,17,qrf,479,1.3773038234368233
EQ,original,B,2025-12,18,qrf,479,1.4671227955419712
EQ,original,B,2025-12,19,qrf,479,1.4556350428351394
EQ,original,B,2025-12,20,qrf,479,1.4662098188986907
EQ,original,B,2025-12,21,qrf,479,1.3586545179478398
EQ,original,B,2025-12,22,qrf,479,1.3596299678679065
EQ,original,B,2025-12,23,qrf,479,1.3783689802439132
EQ,original,B,2025-12,24,boosting,479,1.4257726361588443
EQ,original,B,2025-12,25,boosting,479,1.4222141274697406
EQ,original,B,2025-12,26,boosting,479,1.421051198273553
EQ,original,B,2025-12,27,boosting,479,1.4101880767045851
EQ,original,B,2025-12,28,boosting,479,1.4016846264241642
EQ,original,B,2025-12,29,boosting,479,1.3661913997556294
EQ,original,B,2025-12,30,boosting,479,1.4330380519853856
EQ,original,B,2025-12,31,boosting,479,1.4649279784989004
EQ,original,B,2025-12,32,boosting,479,1.460482430733136
EQ,original,B,2025-12,33,boosting,479,1.391536709836729
EQ,original,B,2025-12,34,boosting,479,1.4026173059259295
EQ,original,B,2025-12,35,boosting,479,1.375616772682321
EQ,original,B,2025-12,36,threshold,479,1.5778979882633446
EQ,original,B,2025-12,37,threshold,479,1.533129235857446
EQ,original,B,2025-12,38,threshold,479,1.4235144993374473
EQ,original,B,2025-12,39,threshold,479,1.5380624854998086
EQ,original,B,2025-12,40,threshold,479,1.4990929922070602
EQ,original,B,2025-12,41,threshold,479,1.4213529611720863
EQ,original,B,2025-12,42,threshold,479,1.5778979882633448
EQ,original,B,2025-12,43,threshold,479,1.493275980832226
EQ,original,B,2025-12,44,threshold,479,1.4159045438837692
EQ,original,B,2025-12,45,threshold,479,1.5380624854998035
EQ,original,B,2025-12,46,threshold,479,1.4981514752259562
EQ,original,B,2025-12,47,threshold,479,1.3929574851268187
EQ,original,B,2025-12,48,threshold,479,1.6022422976710582
EQ,original,B,2025-12,49,threshold,479,1.4752391105287646
EQ,original,B,2025-12,50,threshold,479,1.4427107211867995
EQ,original,B,2025-12,51,threshold,479,1.5088930772430627
EQ,original,B,2025-12,52,threshold,479,1.4766001190310776
EQ,original,B,2025-12,53,threshold,479,1.4043086711343769
EQ,original,B,2025-12,54,threshold,479,1.6022422976710584
EQ,original,B,2025-12,55,threshold,479,1.4974634466635015
EQ,original,B,2025-12,56,threshold,479,1.397437034819937
EQ,original,B,2025-12,57,threshold,479,1.508893077243062
EQ,original,B,2025-12,58,threshold,479,1.4531417586755964
EQ,original,B,2025-12,59,threshold,479,1.3943096660044088
EQ,original,B,2026-01,0,linear,445,1.9640082326881998
EQ,original,B,2026-01,1,linear,445,1.9353285224997492
EQ,original,B,2026-01,2,linear,445,1.9751614803640003
EQ,original,B,2026-01,3,linear,445,1.9640082326882002
EQ,original,B,2026-01,4,linear,445,1.8102837481824812
EQ,original,B,2026-01,5,linear,445,1.775989155891265
EQ,original,B,2026-01,6,linear,445,1.9994204011798995
EQ,original,B,2026-01,7,linear,445,1.9115017081422248
EQ,original,B,2026-01,8,linear,445,1.9824577864754656
EQ,original,B,2026-01,9,linear,445,1.9994204011799002
EQ,original,B,2026-01,10,linear,445,1.8719630751534655
EQ,original,B,2026-01,11,linear,445,1.755328415339325
EQ,original,B,2026-01,12,qrf,445,1.9561423223996892
EQ,original,B,2026-01,13,qrf,445,1.9621446406112015
EQ,original,B,2026-01,14,qrf,445,1.9793394051482804
EQ,original,B,2026-01,15,qrf,445,1.693124673101338
EQ,original,B,2026-01,16,qrf,445,1.683147738110876
EQ,original,B,2026-01,17,qrf,445,1.6966448153618978
EQ,original,B,2026-01,18,qrf,445,1.997634265107289
EQ,original,B,2026-01,19,qrf,445,1.9904769514451761
EQ,original,B,2026-01,20,qrf,445,2.014630689098566
EQ,original,B,2026-01,21,qrf,445,1.707536851605382
EQ,original,B,2026-01,22,qrf,445,1.680534977340537
EQ,original,B,2026-01,23,qrf,445,1.702549113864803
EQ,original,B,2026-01,24,boosting,445,1.9381293473834504
EQ,original,B,2026-01,25,boosting,445,1.9175995926297547
EQ,original,B,2026-01,26,boosting,445,1.9367603231999504
EQ,original,B,2026-01,27,boosting,445,1.7083987400721965
EQ,original,B,2026-01,28,boosting,445,1.699292980844164
EQ,original,B,2026-01,29,boosting,445,1.6955749283928372
EQ,original,B,2026-01,30,boosting,445,1.9665381771846002
EQ,original,B,2026-01,31,boosting,445,1.9980540107997664
EQ,original,B,2026-01,32,boosting,445,2.0126198116553686
EQ,original,B,2026-01,33,boosting,445,1.7001638301054132
EQ,original,B,2026-01,34,boosting,445,1.7282131597278343
EQ,original,B,2026-01,35,boosting,445,1.7253161880470476
EQ,original,B,2026-01,36,threshold,445,2.3451770847496753
EQ,original,B,2026-01,37,threshold,445,2.3327012980517763
EQ,original,B,2026-01,38,threshold,445,1.9498128727577786
EQ,original,B,2026-01,39,threshold,445,2.0486909913049316
EQ,original,B,2026-01,40,threshold,445,1.9957731635533509
EQ,original,B,2026-01,41,threshold,445,1.889632861354018
EQ,original,B,2026-01,42,threshold,445,2.3451770847496776
EQ,original,B,2026-01,43,threshold,445,2.2220964276933297
EQ,original,B,2026-01,44,threshold,445,2.253579819521296
EQ,original,B,2026-01,45,threshold,445,2.0486909913049263
EQ,original,B,2026-01,46,threshold,445,1.9717089675562733
EQ,original,B,2026-01,47,threshold,445,1.8480525702976889
EQ,original,B,2026-01,48,threshold,445,2.2490518600436977
EQ,original,B,2026-01,49,threshold,445,2.18709048799789
EQ,original,B,2026-01,50,threshold,445,1.961271359885795
EQ,original,B,2026-01,51,threshold,445,2.0002193764568723
EQ,original,B,2026-01,52,threshold,445,1.9399429946287596
EQ,original,B,2026-01,53,threshold,445,1.8928787532494316
EQ,original,B,2026-01,54,threshold,445,2.2490518600436995
EQ,original,B,2026-01,55,threshold,445,2.160251356942285
EQ,original,B,2026-01,56,threshold,445,1.8933146720683351
EQ,original,B,2026-01,57,threshold,445,2.0002193764568785
EQ,original,B,2026-01,58,threshold,445,1.823880203372183
EQ,original,B,2026-01,59,threshold,445,1.7952659738884647
EQ,original,B,2026-02,0,linear,400,2.1009973267365614
EQ,original,B,2026-02,1,linear,400,2.0448075111461734
EQ,original,B,2026-02,2,linear,400,2.0897110770983174
EQ,original,B,2026-02,3,linear,400,2.1009973267365623
EQ,original,B,2026-02,4,linear,400,1.9348948649416144
EQ,original,B,2026-02,5,linear,400,1.949094882857172
EQ,original,B,2026-02,6,linear,400,2.2044370093329944
EQ,original,B,2026-02,7,linear,400,2.0321806293395137
EQ,original,B,2026-02,8,linear,400,2.0950109583419687
EQ,original,B,2026-02,9,linear,400,2.204437009332996
EQ,original,B,2026-02,10,linear,400,1.9924411746489796
EQ,original,B,2026-02,11,linear,400,1.962033152385431
EQ,original,B,2026-02,12,qrf,400,2.1111188467091897
EQ,original,B,2026-02,13,qrf,400,2.101126353744726
EQ,original,B,2026-02,14,qrf,400,2.096547364069721
EQ,original,B,2026-02,15,qrf,400,1.7751533519524987
EQ,original,B,2026-02,16,qrf,400,1.7531814025783865
EQ,original,B,2026-02,17,qrf,400,1.7670157836475584
EQ,original,B,2026-02,18,qrf,400,2.202032034218905
EQ,original,B,2026-02,19,qrf,400,2.1822909261386743
EQ,original,B,2026-02,20,qrf,400,2.1632063147715015
EQ,original,B,2026-02,21,qrf,400,1.7947784234705138
EQ,original,B,2026-02,22,qrf,400,1.7551363968594
EQ,original,B,2026-02,23,qrf,400,1.7895645733662817
EQ,original,B,2026-02,24,boosting,400,2.0883870737704147
EQ,original,B,2026-02,25,boosting,400,2.0879805711439
EQ,original,B,2026-02,26,boosting,400,2.077229378548196
EQ,original,B,2026-02,27,boosting,400,1.777283037624449
EQ,original,B,2026-02,28,boosting,400,1.7786712052386613
EQ,original,B,2026-02,29,boosting,400,1.7954975664308954
EQ,original,B,2026-02,30,boosting,400,2.1479072106656374
EQ,original,B,2026-02,31,boosting,400,2.1807666530687424
EQ,original,B,2026-02,32,boosting,400,2.192188890423358
EQ,original,B,2026-02,33,boosting,400,1.7949042156391675
EQ,original,B,2026-02,34,boosting,400,1.8431250462320543
EQ,original,B,2026-02,35,boosting,400,1.8507222084595998
EQ,original,B,2026-02,36,threshold,400,2.515102682401755
EQ,original,B,2026-02,37,threshold,400,2.5194303825026343
EQ,original,B,2026-02,38,threshold,400,2.1042783341551194
EQ,original,B,2026-02,39,threshold,400,2.1379555544776316
EQ,original,B,2026-02,40,threshold,400,2.0839625923839367
EQ,original,B,2026-02,41,threshold,400,2.002710327670751
EQ,original,B,2026-02,42,threshold,400,2.5151026824017544
EQ,original,B,2026-02,43,threshold,400,2.396941727600284
EQ,original,B,2026-02,44,threshold,400,2.435945310700617
EQ,original,B,2026-02,45,threshold,400,2.1379555544776263
EQ,original,B,2026-02,46,threshold,400,2.067079551454638
EQ,original,B,2026-02,47,threshold,400,1.971341994927355
EQ,original,B,2026-02,48,threshold,400,2.597973505915289
EQ,original,B,2026-02,49,threshold,400,2.4973331171700828
EQ,original,B,2026-02,50,threshold,400,2.169800617762269
EQ,original,B,2026-02,51,threshold,400,2.190449032116632
EQ,original,B,2026-02,52,threshold,400,2.142559925122973
EQ,original,B,2026-02,53,threshold,400,2.049358681095173
EQ,original,B,2026-02,54,threshold,400,2.5979735059152897
EQ,original,B,2026-02,55,threshold,400,2.4140764310861176
EQ,original,B,2026-02,56,threshold,400,2.047384758461736
EQ,original,B,2026-02,57,threshold,400,2.1904490321166334
EQ,original,B,2026-02,58,threshold,400,1.9848872994653626
EQ,original,B,2026-02,59,threshold,400,1.9371242565469657
EQ,original,B,2026-03,0,linear,404,2.0387485652337456
EQ,original,B,2026-03,1,linear,404,1.9892593582494367
EQ,original,B,2026-03,2,linear,404,2.0186096304070635
EQ,original,B,2026-03,3,linear,404,2.038748565233745
EQ,original,B,2026-03,4,linear,404,1.944850337364147
EQ,original,B,2026-03,5,linear,404,2.0690595736137345
EQ,original,B,2026-03,6,linear,404,2.2649950988973018
EQ,original,B,2026-03,7,linear,404,2.026916047947046
EQ,original,B,2026-03,8,linear,404,2.0271055926737453
EQ,original,B,2026-03,9,linear,404,2.2649950988973035
EQ,original,B,2026-03,10,linear,404,2.0232457705918123
EQ,original,B,2026-03,11,linear,404,2.1482249182648676
EQ,original,B,2026-03,12,qrf,404,2.0893682913461453
EQ,original,B,2026-03,13,qrf,404,2.073023141865349
EQ,original,B,2026-03,14,qrf,404,2.0576671669729594
EQ,original,B,2026-03,15,qrf,404,1.8287158681503835
EQ,original,B,2026-03,16,qrf,404,1.8069708512170615
EQ,original,B,2026-03,17,qrf,404,1.8180274417449078
EQ,original,B,2026-03,18,qrf,404,2.181199616421371
EQ,original,B,2026-03,19,qrf,404,2.1625285808020336
EQ,original,B,2026-03,20,qrf,404,2.145850857708296
EQ,original,B,2026-03,21,qrf,404,1.8680156522957723
EQ,original,B,2026-03,22,qrf,404,1.8531146134455947
EQ,original,B,2026-03,23,qrf,404,1.8769439928599674
EQ,original,B,2026-03,24,boosting,404,2.0551827395023623
EQ,original,B,2026-03,25,boosting,404,2.080896792038291
EQ,original,B,2026-03,26,boosting,404,2.0344186237729454
EQ,original,B,2026-03,27,boosting,404,1.8368652651601451
EQ,original,B,2026-03,28,boosting,404,1.8513599898123503
EQ,original,B,2026-03,29,boosting,404,1.8394337383889237
EQ,original,B,2026-03,30,boosting,404,2.096348543522441
EQ,original,B,2026-03,31,boosting,404,2.1302782989702806
EQ,original,B,2026-03,32,boosting,404,2.132514906872622
EQ,original,B,2026-03,33,boosting,404,1.8956859456631119
EQ,original,B,2026-03,34,boosting,404,1.9351537783956694
EQ,original,B,2026-03,35,boosting,404,1.9401024139791514
EQ,original,B,2026-03,36,threshold,404,2.3985953049834507
EQ,original,B,2026-03,37,threshold,404,2.4602805141138155
EQ,original,B,2026-03,38,threshold,404,2.0265091595413156
EQ,original,B,2026-03,39,threshold,404,2.109308463702239
EQ,original,B,2026-03,40,threshold,404,2.019624455210392
EQ,original,B,2026-03,41,threshold,404,1.9410128611270454
EQ,original,B,2026-03,42,threshold,404,2.3985953049834494
EQ,original,B,2026-03,43,threshold,404,2.3416509312540317
EQ,original,B,2026-03,44,threshold,404,2.401199777164986
EQ,original,B,2026-03,45,threshold,404,2.109308463702238
EQ,original,B,2026-03,46,threshold,404,2.0448126214198674
EQ,original,B,2026-03,47,threshold,404,1.9936074198109517
EQ,original,B,2026-03,48,threshold,404,2.65057335369215
EQ,original,B,2026-03,49,threshold,404,2.569780906097402
EQ,original,B,2026-03,50,threshold,404,2.1405412279594236
EQ,original,B,2026-03,51,threshold,404,2.31659941828175
