definition,fold,feature,train_n,test_n,train_p01,train_median,train_p99,test_p01,test_median,test_p99,below_train_p01,above_train_p99
PCA,2025-09,local_volume_surprise,479,178,-0.881519396047123,0.25937858262876645,1.77773722200496,-0.9821096622220599,0.2991526727637046,1.7456368088295686,0.016853932584269662,0.011235955056179775
PCA,2025-09,fx_ret1,479,178,-33.39858373702658,0.0718321139814293,41.57276063655487,-20.21219995492327,-0.32263786919450865,20.184488713304617,0.0,0.0
EQ,2025-10,e_now,652,182,-13.98137612697182,-0.1336394349975178,13.359406652221393,-8.082487683597114,6.5861395928784,23.576977270214684,0.0,0.1978021978021978
EQ,2025-10,e_change1,652,182,-17.104841919237053,-0.12130444299448717,17.819779269864558,-19.54297378309855,-0.3743240486922883,19.97681591514296,0.027472527472527472,0.016483516483516484
EQ,2025-10,e_rms72,652,182,4.166816492659201,6.868333576749047,12.897630516112681,5.7293938845399754,7.9585206383045755,10.385060353319579,0.0,0.0
EQ,2025-10,btc_vol24,652,182,16.909153785371313,30.771097139837515,62.896774883952666,26.181463903741776,39.54540659104698,93.38751852688992,0.0,0.0989010989010989
EQ,2025-10,account_log,652,182,-0.8012544487708935,0.029967521283264565,0.7409611154265714,-0.5602650507448953,0.3787291123790347,0.904594528729521,0.0,0.19230769230769232
EQ,2025-10,funding_bp,652,182,-0.31739999999999996,0.5694,1.0,-0.5567,0.2673,1.0,0.12087912087912088,0.0
EQ,2025-10,oi_ret1,652,182,-109.06302063316727,3.2116063880138768,235.15200846399333,-200.92000979543732,3.202066418861449,272.0864534459169,0.06043956043956044,0.016483516483516484
EQ,2025-10,oi_change24,652,182,-557.3927539504812,6.800572389380477,890.3701473485969,-779.161565679706,18.43437651906754,740.5680495463675,0.09340659340659341,0.0
EQ,2025-10,local_volume_surprise,652,182,-0.858957800521914,0.26815171133194937,1.7946141155477786,-0.8335135350576646,0.22891697628429863,1.5198962833572587,0.01098901098901099,0.0
EQ,2025-10,fx_ret1,652,182,-30.199254224135164,-0.10828693747022555,29.72747674829074,-22.643376110004088,-0.48954359573638584,22.22587675431784,0.0,0.0
CAP,2025-10,e_now,652,182,-13.79706087742689,-0.10804032143749617,14.097363838456342,-9.227632862953415,4.382648166884112,17.808580002950926,0.005494505494505495,0.06593406593406594
CAP,2025-10,e_change1,652,182,-15.975928773272688,0.038116295404116096,16.52711411834452,-18.349787394749093,0.08837564938549336,17.79034581156507,0.02197802197802198,0.02197802197802198
CAP,2025-10,e_rms72,652,182,4.904970258393691,6.912433605056107,10.077085804654452,4.762925421054441,6.880029248329352,9.9279499247101,0.038461538461538464,0.01098901098901099
CAP,2025-10,btc_vol24,652,182,16.909153785371313,30.771097139837515,62.896774883952666,26.181463903741776,39.54540659104698,93.38751852688992,0.0,0.0989010989010989
CAP,2025-10,account_log,652,182,-0.8012544487708935,0.029967521283264565,0.7409611154265714,-0.5602650507448953,0.3787291123790347,0.904594528729521,0.0,0.19230769230769232
CAP,2025-10,funding_bp,652,182,-0.31739999999999996,0.5694,1.0,-0.5567,0.2673,1.0,0.12087912087912088,0.0
CAP,2025-10,oi_ret1,652,182,-109.06302063316727,3.2116063880138768,235.15200846399333,-200.92000979543732,3.202066418861449,272.0864534459169,0.06043956043956044,0.016483516483516484
CAP,2025-10,oi_change24,652,182,-557.3927539504812,6.800572389380477,890.3701473485969,-779.161565679706,18.43437651906754,740.5680495463675,0.09340659340659341,0.0
CAP,2025-10,local_volume_surprise,652,182,-0.858957800521914,0.26815171133194937,1.7946141155477786,-0.8335135350576646,0.22891697628429863,1.5198962833572587,0.01098901098901099,0.0
CAP,2025-10,fx_ret1,652,182,-30.199254224135164,-0.10828693747022555,29.72747674829074,-22.643376110004088,-0.48954359573638584,22.22587675431784,0.0,0.0
PCA,2025-10,e_now,652,182,-13.957665112826382,-0.1239121592620272,13.324435368478808,-8.023561767852732,6.574862065165975,23.467400934405738,0.0,0.1978021978021978
PCA,2025-10,e_change1,652,182,-17.040057049207995,-0.13317843372648627,17.779474347117752,-19.496754729138473,-0.38079999858153624,19.91294880179597,0.027472527472527472,0.016483516483516484
PCA,2025-10,e_rms72,652,182,4.163490828082434,6.868861935739938,12.867703288972349,5.691595652183801,7.918024520166605,10.349306865136654,0.0,0.0
PCA,2025-10,btc_vol24,652,182,16.909153785371313,30.771097139837515,62.896774883952666,26.181463903741776,39.54540659104698,93.38751852688992,0.0,0.0989010989010989
PCA,2025-10,account_log,652,182,-0.8012544487708935,0.029967521283264565,0.7409611154265714,-0.5602650507448953,0.3787291123790347,0.904594528729521,0.0,0.19230769230769232
PCA,2025-10,funding_bp,652,182,-0.31739999999999996,0.5694,1.0,-0.5567,0.2673,1.0,0.12087912087912088,0.0
PCA,2025-10,oi_ret1,652,182,-109.06302063316727,3.2116063880138768,235.15200846399333,-200.92000979543732,3.202066418861449,272.0864534459169,0.06043956043956044,0.016483516483516484
PCA,2025-10,oi_change24,652,182,-557.3927539504812,6.800572389380477,890.3701473485969,-779.161565679706,18.43437651906754,740.5680495463675,0.09340659340659341,0.0
PCA,2025-10,local_volume_surprise,652,182,-0.858957800521914,0.26815171133194937,1.7946141155477786,-0.8335135350576646,0.22891697628429863,1.5198962833572587,0.01098901098901099,0.0
PCA,2025-10,fx_ret1,652,182,-30.199254224135164,-0.10828693747022555,29.72747674829074,-22.643376110004088,-0.48954359573638584,22.22587675431784,0.0,0.0
EQ,2025-11,e_now,839,124,-14.16835087801883,-0.06182545439662003,13.721377515576554,-30.694252527947853,0.10122806944840096,15.48709119810713,0.056451612903225805,0.016129032258064516
EQ,2025-11,e_change1,839,124,-17.905102187963973,-0.15892599317026557,18.917937989192406,-18.602616134435973,-0.2760513901406513,19.439459939061475,0.024193548387096774,0.016129032258064516
EQ,2025-11,e_rms72,839,124,4.449883656020526,7.2659413894965255,12.915828894459091,5.386880693815877,8.272846101124795,13.093188501316739,0.0,0.024193548387096774
EQ,2025-11,btc_vol24,839,124,17.228710024724812,32.60175274371498,80.24667762778189,25.526933887908655,54.60359305387566,83.75591918881733,0.0,0.03225806451612903
EQ,2025-11,account_log,839,124,-0.7914085528785507,0.0743073101417278,0.8580742588135496,0.40783897715031914,0.8560114502604244,1.3331409037056507,0.0,0.5
EQ,2025-11,funding_bp,839,124,-0.4498,0.507,1.0,-0.529,0.48419999999999996,1.0,0.024193548387096774,0.0
EQ,2025-11,oi_ret1,839,124,-141.6437091452842,3.0516999292018454,241.9744341792388,-153.4552817233747,0.41068529318621927,206.26015360880638,0.016129032258064516,0.0
EQ,2025-11,oi_change24,839,124,-672.234645621943,8.91633279509918,867.8380373264051,-580.4644353213124,3.825617248658375,912.5154406043655,0.0,0.024193548387096774
EQ,2025-11,local_volume_surprise,839,124,-0.8970741296582205,0.2564381105318638,1.738354043149266,-1.4950160754545856,0.22761502600475225,1.811431415687173,0.03225806451612903,0.016129032258064516
EQ,2025-11,fx_ret1,839,124,-29.143892829087115,-0.14454209066094847,28.05582687147528,-29.65552893166281,1.1006255681333954,26.668331023361066,0.016129032258064516,0.008064516129032258
CAP,2025-11,e_now,839,124,-13.570216886354357,-0.09259954093341835,13.768562020159862,-39.696349058987074,0.7434916176923927,13.884266499929822,0.07258064516129033,0.016129032258064516
CAP,2025-11,e_change1,839,124,-17.1741171868213,0.06591873880190668,17.04621350744661,-16.08944922027295,-0.5475076365285381,13.708231452701947,0.008064516129032258,0.008064516129032258
CAP,2025-11,e_rms72,839,124,4.848918515436939,6.92368047103816,10.194847114476817,5.233559154202491,7.558233261707615,9.392985765383957,0.008064516129032258,0.0
CAP,2025-11,btc_vol24,839,124,17.228710024724812,32.60175274371498,80.24667762778189,25.526933887908655,54.60359305387566,83.75591918881733,0.0,0.03225806451612903
CAP,2025-11,account_log,839,124,-0.7914085528785507,0.0743073101417278,0.8580742588135496,0.40783897715031914,0.8560114502604244,1.3331409037056507,0.0,0.5
CAP,2025-11,funding_bp,839,124,-0.4498,0.507,1.0,-0.529,0.48419999999999996,1.0,0.024193548387096774,0.0
CAP,2025-11,oi_ret1,839,124,-141.6437091452842,3.0516999292018454,241.9744341792388,-153.4552817233747,0.41068529318621927,206.26015360880638,0.016129032258064516,0.0
CAP,2025-11,oi_change24,839,124,-672.234645621943,8.91633279509918,867.8380373264051,-580.4644353213124,3.825617248658375,912.5154406043655,0.0,0.024193548387096774
CAP,2025-11,local_volume_surprise,839,124,-0.8970741296582205,0.2564381105318638,1.738354043149266,-1.4950160754545856,0.22761502600475225,1.811431415687173,0.03225806451612903,0.016129032258064516
CAP,2025-11,fx_ret1,839,124,-29.143892829087115,-0.14454209066094847,28.05582687147528,-29.65552893166281,1.1006255681333954,26.668331023361066,0.016129032258064516,0.008064516129032258
PCA,2025-11,e_now,839,124,-14.127342051100335,-0.04560052462927073,13.686459838812878,-30.69092961907196,0.06679612500854512,15.422802823814813,0.056451612903225805,0.016129032258064516
PCA,2025-11,e_change1,839,124,-17.823126227871867,-0.16289825556216897,18.887349919613385,-18.46240950086898,-0.23255762655750967,19.35866697179911,0.024193548387096774,0.016129032258064516
PCA,2025-11,e_rms72,839,124,4.446456763703255,7.249203809957188,12.90168710767493,5.317399910585658,8.227068604061216,13.024356968600099,0.0,0.024193548387096774
PCA,2025-11,btc_vol24,839,124,17.228710024724812,32.60175274371498,80.24667762778189,25.526933887908655,54.60359305387566,83.75591918881733,0.0,0.03225806451612903
PCA,2025-11,account_log,839,124,-0.7914085528785507,0.0743073101417278,0.8580742588135496,0.40783897715031914,0.8560114502604244,1.3331409037056507,0.0,0.5
PCA,2025-11,funding_bp,839,124,-0.4498,0.507,1.0,-0.529,0.48419999999999996,1.0,0.024193548387096774,0.0
PCA,2025-11,oi_ret1,839,124,-141.6437091452842,3.0516999292018454,241.9744341792388,-153.4552817233747,0.41068529318621927,206.26015360880638,0.016129032258064516,0.0
PCA,2025-11,oi_change24,839,124,-672.234645621943,8.91633279509918,867.8380373264051,-580.4644353213124,3.825617248658375,912.5154406043655,0.0,0.024193548387096774
PCA,2025-11,local_volume_surprise,839,124,-0.8970741296582205,0.2564381105318638,1.738354043149266,-1.4950160754545856,0.22761502600475225,1.811431415687173,0.03225806451612903,0.016129032258064516
PCA,2025-11,fx_ret1,839,124,-29.143892829087115,-0.14454209066094847,28.05582687147528,-29.65552893166281,1.1006255681333954,26.668331023361066,0.016129032258064516,0.008064516129032258
EQ,2025-12,e_now,963,139,-15.318939524117228,-0.03898969207674196,13.873120877890216,-49.726242671599216,-1.5146620761570935,19.054300035213085,0.08633093525179857,0.050359712230215826
EQ,2025-12,e_change1,963,139,-18.040217958960366,-0.16457045141886278,19.33953447895607,-26.53080387406765,1.1186013089742581,25.453378324042177,0.05755395683453238,0.03597122302158273
EQ,2025-12,e_rms72,963,139,4.506528185753437,7.435606763969939,12.936350600517624,7.724165159647512,10.032181103129503,22.79598309329281,0.0,0.17266187050359713
EQ,2025-12,btc_vol24,963,139,17.3488156976641,34.24872096422096,83.6293694456358,19.690539625004554,47.52447592947762,88.98177759572336,0.0,0.05755395683453238
EQ,2025-12,account_log,963,139,-0.7884300134266463,0.17717972688107214,1.1751204572070737,0.32223638829310874,0.7146797811772282,1.0830640975729378,0.0,0.0
EQ,2025-12,funding_bp,963,139,-0.529,0.5039,1.0,-0.1732,0.43779999999999997,1.0,0.0,0.0
EQ,2025-12,oi_ret1,963,139,-146.36464058727972,2.699086347615065,234.81996080284517,-120.41749974243032,5.076533414314355,231.15406145722915,0.007194244604316547,0.014388489208633094
EQ,2025-12,oi_change24,963,139,-670.5913245620795,7.536006794719441,889.497981812018,-292.905038380098,16.988603224401544,481.0966275688263,0.0,0.0
EQ,2025-12,local_volume_surprise,963,139,-1.0066556148733956,0.25090569189107015,1.755184761470556,-1.1294679165304022,0.31318078956073236,2.2036919067264567,0.02158273381294964,0.02877697841726619
EQ,2025-12,fx_ret1,963,139,-29.316771176441847,0.07030593628165605,27.885255959629163,-43.43344851539097,0.9467903813220602,24.707665814308143,0.02158273381294964,0.007194244604316547
CAP,2025-12,e_now,963,139,-20.42006732691394,0.2984705002619209,13.736094168566439,-14.602087274659977,-0.2009648732739447,16.40163269361342,0.0,0.02877697841726619
CAP,2025-12,e_change1,963,139,-16.845827764538527,0.0447932145018034,16.882191052326665,-20.156801426033855,0.37475063884617565,15.783775975427004,0.02877697841726619,0.007194244604316547
CAP,2025-12,e_rms72,963,139,4.831286984892416,7.012488876845653,10.09993389919835,4.9852532617325345,6.927808055517333,20.54142501006535,0.0,0.17985611510791366
CAP,2025-12,btc_vol24,963,139,17.3488156976641,34.24872096422096,83.6293694456358,19.690539625004554,47.52447592947762,88.98177759572336,0.0,0.05755395683453238
