definition,variant,strategy,fold,n,seeds,raw_loss_bp,calibrated_loss_bp,calibration_gain_bp,below_rate_raw,below_rate_calibrated,mean_correction_bp
CAP,own_scale,ml_selected,2026-01,137,4,1.0764034187104525,1.06576424151494,0.01063917719551255,0.16058394160583941,0.11678832116788321,-0.6073839143283625
CAP,own_scale,ml_selected,2026-02,128,4,1.286082982044375,1.313124811274125,-0.027041829229749847,0.109375,0.078125,-1.5037121036387908
CAP,own_scale,ml_selected,2026-03,105,4,1.8245876814663928,1.6523844512990566,0.17220323016733619,0.21904761904761905,0.1595238095238095,-3.158991139093456
CAP,own_scale,threshold,2025-12,139,1,1.2136644586679985,1.9252650128801607,-0.7116005542121622,0.12949640287769784,0.050359712230215826,-10.249029723046522
CAP,own_scale,threshold,2026-01,137,1,1.1118489809398608,1.1072606887413259,0.00458829219853496,0.1386861313868613,0.11678832116788321,-0.735345491513984
CAP,own_scale,threshold,2026-02,128,1,1.313112708162464,1.32713572821647,-0.014023020054005908,0.1171875,0.0703125,-2.4648655539901636
CAP,own_scale,threshold,2026-03,105,1,1.7782666281849062,1.6111175986418795,0.16714902954302668,0.20952380952380953,0.12380952380952381,-2.9950759032292353
PCA,original,linear,2025-12,139,1,2.5040415007695653,2.7423385342927085,-0.23829703352314313,0.17266187050359713,0.08633093525179857,-9.367786130677874
PCA,original,linear,2026-01,137,1,1.5224663008279222,1.6765417478344993,-0.15407544700657705,0.08759124087591241,0.072992700729927,-1.461075965920856
PCA,original,linear,2026-02,128,1,2.259258667937579,2.18871483466444,0.07054383327313918,0.1640625,0.1171875,-6.686030452176334
PCA,original,linear,2026-03,105,1,2.7890432939885645,2.049801729710407,0.7392415642781573,0.3619047619047619,0.17142857142857143,-6.045964111020889
PCA,original,ml_selected,2025-12,139,4,2.1571093839551403,2.1690258098969406,-0.011916425941800313,0.17985611510791366,0.0737410071942446,-4.583446118634192
PCA,original,ml_selected,2026-01,137,4,1.4643367923047466,1.3895269098050802,0.07480988249966636,0.1843065693430657,0.1332116788321168,-1.3981689909042538
PCA,original,ml_selected,2026-02,128,4,1.8198050821866418,1.7668351077994722,0.05296997438716966,0.15625,0.07421875,-4.338267269181227
PCA,original,ml_selected,2026-03,105,4,2.6451614263510814,2.127461644045922,0.5176997823051592,0.2976190476190476,0.12857142857142856,-6.24794080660421
PCA,original,threshold,2025-12,139,1,2.356905761379661,2.4517347899430746,-0.09482902856341369,0.17985611510791366,0.07194244604316546,-7.420393401090136
PCA,original,threshold,2026-01,137,1,1.5416564449228893,1.5309665670215733,0.010689877901316036,0.16058394160583941,0.10218978102189781,-2.50795875232844
PCA,original,threshold,2026-02,128,1,2.3740928446735,2.199388483188611,0.17470436148488933,0.2265625,0.09375,-6.816513053304238
PCA,original,threshold,2026-03,105,1,3.069774319108011,2.075224464261565,0.9945498548464458,0.3619047619047619,0.17142857142857143,-7.117192439515388
PCA,own_scale,linear,2025-12,139,1,2.5040415007695653,2.745895543765408,-0.24185404299584246,0.17266187050359713,0.07913669064748201,-9.511808319726551
PCA,own_scale,linear,2026-01,137,1,1.4916376655087806,1.6383899224744358,-0.1467522569656552,0.10218978102189781,0.08029197080291971,-2.007341629960828
PCA,own_scale,linear,2026-02,128,1,2.259258667937579,2.18871483466444,0.07054383327313918,0.1640625,0.1171875,-6.686030452176334
PCA,own_scale,linear,2026-03,105,1,2.7890432939885645,2.049801729710407,0.7392415642781573,0.3619047619047619,0.17142857142857143,-6.045964111020888
PCA,own_scale,ml_selected,2025-12,139,4,2.1482222806273934,2.1707374801891506,-0.022515199561757182,0.16906474820143885,0.0737410071942446,-4.659324450669815
PCA,own_scale,ml_selected,2026-01,137,4,1.451353728156086,1.3902054306689684,0.06114829748711759,0.177007299270073,0.1386861313868613,-1.3656556095928765
PCA,own_scale,ml_selected,2026-02,128,4,1.8226757018803603,1.769986027822866,0.05268967405749425,0.15625,0.07421875,-4.272264532656498
PCA,own_scale,ml_selected,2026-03,105,4,2.5819910079264066,2.131444096741929,0.45054691118447776,0.2976190476190476,0.14285714285714285,-6.125685296669605
PCA,own_scale,threshold,2025-12,139,1,2.3519100887676823,2.4246368466904777,-0.07272675792279548,0.16546762589928057,0.07194244604316546,-7.443480717427263
PCA,own_scale,threshold,2026-01,137,1,1.502514084166328,1.4803825252690757,0.02213155889725238,0.15328467153284672,0.10218978102189781,-2.2876324584497776
PCA,own_scale,threshold,2026-02,128,1,1.9813132816073675,1.9125864214326045,0.06872686017476304,0.1953125,0.0859375,-4.175412119653485
PCA,own_scale,threshold,2026-03,105,1,2.6521698592165923,2.2109921946015314,0.4411776646150609,0.24761904761904763,0.14285714285714285,-4.722104554877137
