definition,learner,seed,sample,minimum_gap_bp,block_days,n,quantity,estimate,lo,hi,bootstrap_valid,p
CAP,forest40,20260926,without_2026-03,5,5,201,gap,1.9163636672223914,0.21013886548866045,3.4299573153510376,1.0,0.0215
CAP,forest40,20260926,without_2026-03,5,5,201,excess,-0.09683985378509143,-2.2542856835328577,2.278965552299898,1.0,0.9325
CAP,forest40,20260926,without_2026-03,5,5,201,cross,0.2664649752028972,0.030667736426514294,0.48648685042499024,1.0,0.0215
CAP,forest40,20260926,without_2026-03,5,5,201,overshot,0.11897364036328677,0.04457459192132354,0.20579323818838963,1.0,0.003
CAP,forest40,20260927,full,5,1,275,gap,1.6863188245552754,0.1356165231599337,3.374836523409813,1.0,0.0435
CAP,forest40,20260927,full,5,1,275,excess,0.8486062072149223,-1.2501922798654501,3.033302732494322,1.0,0.414
CAP,forest40,20260927,full,5,1,275,cross,0.32504805317277,0.16088349947044098,0.4843013180563741,1.0,0.001
CAP,forest40,20260927,full,5,1,275,overshot,0.10083755956025871,0.02668610050242302,0.17720217496108542,1.0,0.0115
CAP,forest40,20260927,full,5,5,275,gap,1.6863188245552754,0.35217207203683,2.9985579918925946,1.0,0.0145
CAP,forest40,20260927,full,5,5,275,excess,0.8486062072149223,-1.5192250298631242,3.026763391096715,1.0,0.458
CAP,forest40,20260927,full,5,5,275,cross,0.32504805317277,0.14673340663034923,0.49594815840494216,1.0,0.0015
CAP,forest40,20260927,full,5,5,275,overshot,0.10083755956025871,0.014808415269961994,0.17955283039236505,1.0,0.0235
CAP,forest40,20260927,full,5,10,275,gap,1.6863188245552754,0.4150537095881468,2.896258812862746,1.0,0.0075
CAP,forest40,20260927,full,5,10,275,excess,0.8486062072149223,-1.1236673329089244,2.9141714546598334,1.0,0.425
CAP,forest40,20260927,full,5,10,275,cross,0.32504805317277,0.16929440811083885,0.48525124279652454,1.0,0.0005
CAP,forest40,20260927,full,5,10,275,overshot,0.10083755956025871,0.03326022152404469,0.16820759768294744,1.0,0.003
CAP,forest40,20260927,full,0,5,509,gap,0.7874121789696532,-0.061807235712286204,1.6429534143861897,1.0,0.072
CAP,forest40,20260927,full,0,5,509,excess,1.2681022920974332,-0.22213369676341518,2.7826780916550162,1.0,0.1005
CAP,forest40,20260927,full,0,5,509,cross,0.1732786942680286,0.03918067134334935,0.30802164503778123,1.0,0.0115
CAP,forest40,20260927,full,0,5,509,overshot,0.08135281453933038,-0.0018396231181883132,0.1644916459055216,1.0,0.057
CAP,forest40,20260927,full,10,5,98,gap,0.16790788352778988,-2.5943382748877073,2.961386777240398,1.0,0.904
CAP,forest40,20260927,full,10,5,98,excess,0.6566720388156243,-6.153146495342593,6.234879097323979,1.0,0.8465
CAP,forest40,20260927,full,10,5,98,cross,0.5198704357349052,0.23575634936610823,0.8111289871651185,1.0,0.0005
CAP,forest40,20260927,full,10,5,98,overshot,0.12391427550396586,0.027994983145754798,0.23030583559544596,1.0,0.012
CAP,forest40,20260927,nonoverlap,5,5,109,gap,2.0490901159091037,-0.26160702246874107,4.371564458784286,1.0,0.082
CAP,forest40,20260927,nonoverlap,5,5,109,excess,-0.5049612339154591,-4.651977676871974,3.469547789945365,1.0,0.812
CAP,forest40,20260927,nonoverlap,5,5,109,cross,0.15677475871582044,-0.15743524051510333,0.45742586046741557,1.0,0.3275
CAP,forest40,20260927,nonoverlap,5,5,109,overshot,0.13166828242987866,0.01230629461576987,0.2601897228238036,1.0,0.04
CAP,forest40,20260927,overlap,5,5,215,gap,1.7855831220437195,0.4186526546202891,3.1576958426536184,1.0,0.011
CAP,forest40,20260927,overlap,5,5,215,excess,0.6459860617483953,-1.9304807188509796,3.042391690608894,1.0,0.621
CAP,forest40,20260927,overlap,5,5,215,cross,0.30889035975711754,0.12013185678010374,0.4748521169933473,1.0,0.0015
CAP,forest40,20260927,overlap,5,5,215,overshot,0.09209253334089561,-0.001956901746673908,0.17770858544781443,1.0,0.0435
CAP,forest40,20260927,2025-12,5,5,65,gap,-1.0035369171897754,-2.825980309180174,0.9922103550349828,1.0,0.2865
CAP,forest40,20260927,2025-12,5,5,65,excess,-0.09735763940448133,-3.6273387342382626,4.703045233052516,1.0,0.9685
CAP,forest40,20260927,2025-12,5,5,65,cross,0.05484547514297782,-0.2721940138854051,0.4183615939573587,1.0,0.7455
CAP,forest40,20260927,2025-12,5,5,65,overshot,0.07727629894411413,-0.028518995117265723,0.21455315717573523,1.0,0.216
CAP,forest40,20260927,without_2025-12,5,5,210,gap,2.261657622728387,0.7021083503688861,3.8141620922079493,1.0,0.005
CAP,forest40,20260927,without_2025-12,5,5,210,excess,1.0509403674387483,-1.589301154899945,3.483853430926822,1.0,0.437
CAP,forest40,20260927,without_2025-12,5,5,210,cross,0.38284224045735776,0.17278529886315444,0.5624230854015585,1.0,0.0005
CAP,forest40,20260927,without_2025-12,5,5,210,overshot,0.10587712623885757,-0.0029963785851371922,0.1919727183093622,1.0,0.039
CAP,forest40,20260927,2026-01,5,5,78,gap,3.2273806819001054,0.7345547915592244,5.262685542246392,1.0,0.0055
CAP,forest40,20260927,2026-01,5,5,78,excess,-0.5197637020634199,-1.8735620506707589,1.232671341419526,1.0,0.544
CAP,forest40,20260927,2026-01,5,5,78,cross,0.35640022516241104,-0.03934243517097797,0.6604078648529658,1.0,0.0465
CAP,forest40,20260927,2026-01,5,5,78,overshot,0.13659681477737806,0.056206987256158567,0.20941470807089174,1.0,0.001
CAP,forest40,20260927,without_2026-01,5,5,197,gap,0.7915629093196146,-0.7750571981450145,2.2920720713429916,1.0,0.2995
CAP,forest40,20260927,without_2026-01,5,5,197,excess,1.6430954515771075,-1.8902285366196994,4.793736595949995,1.0,0.3285
CAP,forest40,20260927,without_2026-01,5,5,197,cross,0.3068446687923726,0.10839681684983801,0.5032618684830975,1.0,0.004
CAP,forest40,20260927,without_2026-01,5,5,197,overshot,0.08007537861505881,-0.059556484286434945,0.18944092865757978,1.0,0.206
CAP,forest40,20260927,2026-02,5,5,58,gap,2.2356026342885658,-2.722356326720048,4.516085251737841,1.0,0.1625
CAP,forest40,20260927,2026-02,5,5,58,excess,1.097614135031457,-8.369008377648289,14.053119577289905,1.0,0.813
CAP,forest40,20260927,2026-02,5,5,58,cross,0.3585853372381052,-0.15302230970656,0.9473810402443577,1.0,0.154
CAP,forest40,20260927,2026-02,5,5,58,overshot,0.13352785784563886,-0.08040501723313967,0.5585302882064429,1.0,0.3695
CAP,forest40,20260927,without_2026-02,5,5,217,gap,1.5916148663447647,0.11086261100571321,3.0375674980853997,1.0,0.035
CAP,forest40,20260927,without_2026-02,5,5,217,excess,0.805673872468931,-1.5067852366757355,2.836128040674917,1.0,0.462
CAP,forest40,20260927,without_2026-02,5,5,217,cross,0.31926577178683274,0.11707767487949193,0.5041469751581242,1.0,0.0035
CAP,forest40,20260927,without_2026-02,5,5,217,overshot,0.09520130997880648,0.0007893400254024541,0.16799952230206705,1.0,0.029
CAP,forest40,20260927,2026-03,5,5,74,gap,1.1275123200793724,-1.1517323357222624,3.703625850187783,1.0,0.3315
CAP,forest40,20260927,2026-03,5,5,74,excess,2.893533338894502,-3.1504187559004806,6.553438650591708,1.0,0.2145
CAP,forest40,20260927,2026-03,5,5,74,cross,0.42576400626592215,0.13313170377722605,0.6685752991307348,1.0,0.0035
CAP,forest40,20260927,2026-03,5,5,74,overshot,0.05626373670175878,-0.2570981683378495,0.21254307382705415,1.0,0.624
CAP,forest40,20260927,without_2026-03,5,5,201,gap,1.936679036438667,0.24122443285729026,3.450349404823829,1.0,0.023
CAP,forest40,20260927,without_2026-03,5,5,201,excess,-0.06757566588901606,-2.224155058355845,2.3530028270998717,1.0,0.954
CAP,forest40,20260927,without_2026-03,5,5,201,cross,0.2799246210822856,0.03740361961613824,0.502888723936467,1.0,0.017
CAP,forest40,20260927,without_2026-03,5,5,201,overshot,0.12080782054670372,0.04472290152438608,0.20917118666675744,1.0,0.0035
CAP,linear,20260926,full,5,1,275,gap,0.30098375934358046,-1.4961791764613483,2.0207666600549277,1.0,0.7305
CAP,linear,20260926,full,5,1,275,excess,4.459500049209094,2.2097221959681352,7.115554612383457,1.0,0.0025
CAP,linear,20260926,full,5,1,275,cross,0.31922207754091053,0.14045931353744265,0.4778602231320619,1.0,0.0005
CAP,linear,20260926,full,5,1,275,overshot,0.14300210002809563,0.05126451625183021,0.24597714863323253,1.0,0.008
CAP,linear,20260926,full,5,5,275,gap,0.30098375934358046,-1.1482037714342237,1.7578459585001631,1.0,0.6955
CAP,linear,20260926,full,5,5,275,excess,4.459500049209094,2.0431338061540743,7.149574263807453,1.0,0.002
CAP,linear,20260926,full,5,5,275,cross,0.31922207754091053,0.1399621053351933,0.5137791270571996,1.0,0.002
CAP,linear,20260926,full,5,5,275,overshot,0.14300210002809563,0.04602046364776684,0.24273454000949404,1.0,0.0045
CAP,linear,20260926,full,5,10,275,gap,0.30098375934358046,-1.068963931433487,1.617886259013789,1.0,0.653
CAP,linear,20260926,full,5,10,275,excess,4.459500049209094,2.3290986435649623,6.695462831863887,1.0,0.0005
CAP,linear,20260926,full,5,10,275,cross,0.31922207754091053,0.15289723222932575,0.4926162290447612,1.0,0.001
CAP,linear,20260926,full,5,10,275,overshot,0.14300210002809563,0.061213320948737514,0.2247569024477744,1.0,0.0005
CAP,linear,20260926,full,0,5,509,gap,0.5098359882673015,-0.42720364841688213,1.5283551767172319,1.0,0.308
CAP,linear,20260926,full,0,5,509,excess,2.1783996875544576,0.37687812201091503,3.908886308249854,1.0,0.0165
CAP,linear,20260926,full,0,5,509,cross,0.18226280910594264,0.05244900834613401,0.31100015079001203,1.0,0.006
CAP,linear,20260926,full,0,5,509,overshot,0.08958335620037712,-0.004039111556127697,0.1779289685824427,1.0,0.055
CAP,linear,20260926,full,10,5,98,gap,-1.1850401595836233,-3.9532767310708303,2.173795953959964,1.0,0.4055
CAP,linear,20260926,full,10,5,98,excess,8.324667830344202,1.9206847170765131,13.839886177561668,1.0,0.009
CAP,linear,20260926,full,10,5,98,cross,0.5070249070589824,0.1720276335584303,0.8246562925711546,1.0,0.003
CAP,linear,20260926,full,10,5,98,overshot,0.13825280839872833,-0.08873709507224435,0.3272194794584687,1.0,0.247
CAP,linear,20260926,nonoverlap,5,5,109,gap,0.8442970218998656,-1.877142729932932,3.2826439931021003,1.0,0.5325
CAP,linear,20260926,nonoverlap,5,5,109,excess,3.2043127318312057,-0.5345120871560182,7.769289138516047,1.0,0.1435
CAP,linear,20260926,nonoverlap,5,5,109,cross,0.18186028860190265,-0.11223280383365639,0.46907879082681836,1.0,0.235
CAP,linear,20260926,nonoverlap,5,5,109,overshot,0.14366126683976224,-0.010446493357917369,0.3306456295938729,1.0,0.1
CAP,linear,20260926,overlap,5,5,201,gap,0.35097033910144937,-1.0936078007076564,1.9027046629880806,1.0,0.659
CAP,linear,20260926,overlap,5,5,201,excess,4.545139880773544,2.1055605431783446,7.077643818417125,1.0,0.0005
CAP,linear,20260926,overlap,5,5,201,cross,0.3284922309093074,0.13549819565898816,0.5225744450070942,1.0,0.0015
CAP,linear,20260926,overlap,5,5,201,overshot,0.1466417011707385,0.0486392619453072,0.24197162718577403,1.0,0.003
CAP,linear,20260926,2025-12,5,5,65,gap,-1.9042129311991818,-4.860455729580706,1.1535418521056922,1.0,0.216
CAP,linear,20260926,2025-12,5,5,65,excess,1.9050257915281157,-1.903204215337945,5.276127840873643,1.0,0.347
CAP,linear,20260926,2025-12,5,5,65,cross,0.09438250076096341,-0.26455019594384,0.4760103141909128,1.0,0.619
CAP,linear,20260926,2025-12,5,5,65,overshot,0.2073450531525274,0.04623394770984063,0.3478386570768416,1.0,0.009
CAP,linear,20260926,without_2025-12,5,5,210,gap,0.9093150835239442,-0.6689804029523395,2.5908019291075237,1.0,0.29
CAP,linear,20260926,without_2025-12,5,5,210,excess,5.164183996189463,2.1500465380028193,8.29470784144144,1.0,0.0015
CAP,linear,20260926,without_2025-12,5,5,210,cross,0.3812469109978451,0.16029702197369655,0.586870792104673,1.0,0.0015
CAP,linear,20260926,without_2025-12,5,5,210,overshot,0.12525228476502862,0.004151432932417145,0.2377801617904538,1.0,0.036
CAP,linear,20260926,2026-01,5,5,78,gap,3.898701695706184,1.3201105149415275,6.224555090127094,1.0,0.001
CAP,linear,20260926,2026-01,5,5,78,excess,3.3466911490390943,0.19334842014998785,6.786920209242712,1.0,0.0465
CAP,linear,20260926,2026-01,5,5,78,cross,0.3617738385931456,-0.020109497121214567,0.7251703605085165,1.0,0.061
CAP,linear,20260926,2026-01,5,5,78,overshot,0.12058130156382578,0.0130630497298322,0.23151921015731897,1.0,0.0245
CAP,linear,20260926,without_2026-01,5,5,197,gap,-1.330158556974603,-2.9353422831221114,0.1991996463158106,1.0,0.0965
CAP,linear,20260926,without_2026-01,5,5,197,excess,4.964028119266177,1.6517182112314996,8.405590962364423,1.0,0.0055
CAP,linear,20260926,without_2026-01,5,5,197,cross,0.299929854161016,0.08925596382892471,0.5139530206337592,1.0,0.0065
CAP,linear,20260926,without_2026-01,5,5,197,overshot,0.15316729746369198,0.02141287699254977,0.28259730749643375,1.0,0.02
CAP,linear,20260926,2026-02,5,5,58,gap,0.4004910292710106,-3.611051272300151,2.5634648540710536,1.0,0.775
CAP,linear,20260926,2026-02,5,5,58,excess,4.991093451789803,-0.9057316244106184,19.330625808330456,1.0,0.255
CAP,linear,20260926,2026-02,5,5,58,cross,0.30753119623854674,-0.129844054604649,0.9191725655892008,1.0,0.174
CAP,linear,20260926,2026-02,5,5,58,overshot,0.11013719087900053,-0.0879880197475881,0.6232112770125737,1.0,0.481
CAP,linear,20260926,without_2026-02,5,5,217,gap,0.27890683748619377,-1.327172159533204,2.0290466313031534,1.0,0.7495
CAP,linear,20260926,without_2026-02,5,5,217,excess,4.341559460373371,1.8370488817372592,6.84206205873192,1.0,0.0005
CAP,linear,20260926,without_2026-02,5,5,217,cross,0.3218158445404926,0.10433816934439118,0.5313632322933415,1.0,0.0045
CAP,linear,20260926,without_2026-02,5,5,217,overshot,0.15029358769189965,0.054518633421477364,0.23594817657605308,1.0,0.0015
CAP,linear,20260926,2026-03,5,5,74,gap,-1.985188251987601,-3.8223879954304363,0.21245038848262374,1.0,0.0555
