month,method,feature,bin,n,residual_mean_bp,cuts
2025-11,sequential_ols,g,2,29,-0.13784117130738202,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,sequential_ols,g,3,53,2.370644778384489,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,sequential_ols,g,4,46,2.25305912298083,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_ols,m,3,139,0.23307139504852134,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,joint_ols,m,4,181,-1.6147776501985855,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,joint_ols,g,0,58,-3.175858123931376,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_ols,g,1,134,-2.2483176736857,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_ols,g,2,29,-0.1309527660169024,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_ols,g,3,53,2.373811320603786,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_ols,g,4,46,2.2517856284824673,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,pca,m,3,139,0.22151090532565443,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,pca,m,4,181,-1.6270966480521536,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,pca,g,0,58,-3.197696542643432,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,pca,g,1,134,-2.260328158727247,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,pca,g,2,29,-0.15535148159041462,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,pca,g,3,53,2.364925328282776,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,pca,g,4,46,2.256522735928936,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_xgb,m,3,139,1.6090155225138703,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,seq_xgb,m,4,181,-0.9221485886544408,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,seq_xgb,g,0,58,-2.296139768014501,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_xgb,g,1,134,-1.3613509082867221,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_xgb,g,2,29,0.3632545812998656,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_xgb,g,3,53,3.5788497979955087,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_xgb,g,4,46,3.7419123736256084,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_mlp,m,3,139,1.8826271920265671,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,seq_mlp,m,4,181,-1.0855174533037053,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,seq_mlp,g,0,58,-2.291834465692211,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_mlp,g,1,134,-1.2759744638212436,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_mlp,g,2,29,0.27666960715589145,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_mlp,g,3,53,3.510962966064811,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_mlp,g,4,46,3.8045443912382875,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_spline,m,3,139,1.5850199250247803,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,seq_spline,m,4,181,-0.9606516786397254,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,seq_spline,g,0,58,-2.338783050280699,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_spline,g,1,134,-1.33550536737073,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_spline,g,2,29,0.4511394598888344,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_spline,g,3,53,3.4312804272112083,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_spline,g,4,46,3.6110009762965696,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_xgb,m,3,139,2.0267083041114353,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,joint_xgb,m,4,181,-0.6343103787066184,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,joint_xgb,g,0,58,-1.8802412153543941,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_xgb,g,1,134,-0.8512554894800041,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_xgb,g,2,29,0.8221940184530967,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_xgb,g,3,53,3.0216361995663203,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_xgb,g,4,46,4.47900340639809,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_mlp,m,3,139,0.23306940511866703,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,joint_mlp,m,4,181,-1.6147796426331908,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,joint_mlp,g,0,58,-3.1758601169613025,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_mlp,g,1,134,-2.248319665942146,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_mlp,g,2,29,-0.1309547582012296,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_mlp,g,3,53,2.373809330449136,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_mlp,g,4,46,2.2517836410635175,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_tensor,m,3,139,1.3154820775780884,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,joint_tensor,m,4,181,-1.070407065201586,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,joint_tensor,g,0,58,-4.52565214115173,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_tensor,g,1,134,-0.4585795095412597,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_tensor,g,2,29,1.5611934694316083,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_tensor,g,3,53,2.6286942147085495,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_tensor,g,4,46,2.7924000968288394,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_selected,m,3,139,1.5850199250247803,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,seq_selected,m,4,181,-0.9606516786397254,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,seq_selected,g,0,58,-2.338783050280699,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_selected,g,1,134,-1.33550536737073,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_selected,g,2,29,0.4511394598888344,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_selected,g,3,53,3.4312804272112083,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_selected,g,4,46,3.6110009762965696,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_shrunk,m,3,139,1.5850199250247803,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,seq_shrunk,m,4,181,-0.9606516786397254,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,seq_shrunk,g,0,58,-2.338783050280699,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_shrunk,g,1,134,-1.33550536737073,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_shrunk,g,2,29,0.4511394598888344,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_shrunk,g,3,53,3.4312804272112083,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,seq_shrunk,g,4,46,3.6110009762965696,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_selected,m,3,139,1.3154820775780884,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,joint_selected,m,4,181,-1.070407065201586,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,joint_selected,g,0,58,-4.52565214115173,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_selected,g,1,134,-0.4585795095412597,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_selected,g,2,29,1.5611934694316083,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_selected,g,3,53,2.6286942147085495,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_selected,g,4,46,2.7924000968288394,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_shrunk,m,3,139,1.3154820775780884,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,joint_shrunk,m,4,181,-1.070407065201586,"[-49.19855343422954, 30.259884595948975, 96.87726940636124, 199.41285521072183]"
2025-11,joint_shrunk,g,0,58,-4.52565214115173,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_shrunk,g,1,134,-0.4585795095412597,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_shrunk,g,2,29,1.5611934694316083,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_shrunk,g,3,53,2.6286942147085495,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-11,joint_shrunk,g,4,46,2.7924000968288394,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-12,sequential_ols,m,1,14,4.369533008430642,"[-27.025165215712114, 53.22977059680092, 130.18648141522718, 232.17459318897116]"
2025-12,sequential_ols,m,2,221,0.8405373726511284,"[-27.025165215712114, 53.22977059680092, 130.18648141522718, 232.17459318897116]"
2025-12,sequential_ols,m,3,120,-6.250599413006696,"[-27.025165215712114, 53.22977059680092, 130.18648141522718, 232.17459318897116]"
2025-12,sequential_ols,m,4,10,-51.338623574884494,"[-27.025165215712114, 53.22977059680092, 130.18648141522718, 232.17459318897116]"
2025-12,sequential_ols,g,0,21,-10.292284670613594,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 6.000000000000449]"
2025-12,sequential_ols,g,1,53,-4.187916752436609,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 6.000000000000449]"
2025-12,sequential_ols,g,2,163,-2.5043181823699476,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 6.000000000000449]"
2025-12,sequential_ols,g,3,76,-1.7926495425066153,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 6.000000000000449]"
2025-12,sequential_ols,g,4,52,-0.6535220945555774,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 6.000000000000449]"
2025-12,joint_ols,m,1,14,4.342010325153337,"[-27.025165215712114, 53.22977059680092, 130.18648141522718, 232.17459318897116]"
2025-12,joint_ols,m,2,221,0.8326228906320637,"[-27.025165215712114, 53.22977059680092, 130.18648141522718, 232.17459318897116]"
