datetime_utc,USDT_KP,MKT_KP_EQ,DEPEG_GLOBAL,RESIDUAL_OLS,RESIDUAL_FINAL,RESIDUAL_FINAL_REBUILD
2025-06-06 12:00:00+00:00,0.0213854757976821,0.0211933012370607,0.0007000000000000339,0.00028326193282971965,0.0004445511179734,0.00044455111797346396
2025-06-09 09:00:00+00:00,0.0143411443223571,0.0137304897713155,0.0006000000000000449,0.0006212070459779232,0.0007328527669039,0.0007328527669039514
2025-06-09 10:00:00+00:00,0.0148153415343517,0.0136569157516375,0.0004999999999999449,0.001168184304136335,0.0012301865608445,0.0012301865608445918
2025-06-09 11:00:00+00:00,0.0153319031011243,0.0149061628678359,0.0006000000000000449,0.00044897999614980366,0.0005606257170758,0.0005606257170758318
2025-06-09 12:00:00+00:00,0.0176360681888592,0.0177360911328557,0.0006000000000000449,-4.62440302322481e-05,6.540169069378126e-05,6.540169069378001e-05
2025-06-10 09:00:00+00:00,0.0075520146803369,0.0069549877005468,0.0004999999999999449,0.0005344616919403817,0.0005964639486486,0.0005964639486486385
2025-06-10 10:00:00+00:00,0.006097812500063,0.0053099296607367,0.0004999999999999449,0.000707564919248161,0.0007695671759564,0.0007695671759564178
2025-06-10 11:00:00+00:00,0.0024864024583357,0.0018158792463617,0.00029999999999996696,0.0005524992715045553,0.0005152145997773,0.0005152145997773796
2025-06-10 12:00:00+00:00,0.002385344210219,0.0019462634279395,0.00029999999999996696,0.000322463881785509,0.0002851792100583,0.00028517921005833335
2025-06-11 09:00:00+00:00,0.0034033655576688,0.0034944729233641,9.999999999998899e-05,-0.0001910167743442038,-0.0003275883745068,-0.0003275883745068119
2025-06-11 10:00:00+00:00,0.0045055851970043,0.0042307572365102,0.00019999999999997797,0.0001828641588149946,9.593602287010254e-05,9.593602287010271e-05
2025-06-11 11:00:00+00:00,0.0063536330291382,0.0063566628311394,0.00019999999999997797,-7.205190845710734e-05,-0.0001589800444019,-0.00015898004440199925
2025-06-11 12:00:00+00:00,0.004782420261908,0.00442605746944,9.999999999998899e-05,0.0002665065718744407,0.0001299349717118,0.00012993497171183261
2025-06-12 09:00:00+00:00,0.0117127711226345,0.0117806734724369,0.00029999999999996696,-7.839128369674028e-05,-0.0001156759554239,-0.00011567595542391596
2025-06-12 10:00:00+00:00,0.0111076122805244,0.0111615892053025,0.00019999999999997797,-7.114670217271343e-05,-0.0001580748381176,-0.00015807483811760534
2025-06-12 11:00:00+00:00,0.0120975302765107,0.0120692825833472,0.00019999999999997797,2.0873282453008277e-05,-6.605485349188379e-05,-6.605485349188361e-05
2025-06-12 12:00:00+00:00,0.0109553082651048,0.011672132943768,0.00029999999999996696,-0.0007284849269067646,-0.0007657695986339,-0.0007657695986339403
2025-06-13 09:00:00+00:00,0.0180388878464816,0.0180559984809807,0.0006000000000000449,4.012055715504892e-05,0.000151766278081,0.00015176627808107703
2025-06-13 10:00:00+00:00,0.017509916619119,0.0176354225568555,0.0004999999999999449,-7.281338819979666e-05,-1.0811131491538566e-05,-1.0811131491539908e-05
2025-06-13 11:00:00+00:00,0.0205521765526974,0.0193047205261771,0.0004999999999999449,0.0013181627933137041,0.0013801650500219,0.0013801650500219608
2025-06-13 12:00:00+00:00,0.0198823386518138,0.0203243590310223,0.0006000000000000449,-0.0003603101906850398,-0.000248664469759,-0.00024866446975901164
