table,label,stat,printed,source,recomputed,matches_printed_precision,file,column
1,TOPTRADER_ACCOUNT_LS,mean,1.694,default_B300,1.6937056948671327,True,baseline_dataset_with_residual_final.csv,TOPTRADER_ACCOUNT_LS
1,TOPTRADER_ACCOUNT_LS,std,0.738,default_B300,0.737581968183196,True,baseline_dataset_with_residual_final.csv,TOPTRADER_ACCOUNT_LS
1,TOPTRADER_ACCOUNT_LS,min,0.594,default_B300,0.5942809,True,baseline_dataset_with_residual_final.csv,TOPTRADER_ACCOUNT_LS
1,TOPTRADER_ACCOUNT_LS,q25,1.058,default_B300,1.0578504450000001,True,baseline_dataset_with_residual_final.csv,TOPTRADER_ACCOUNT_LS
1,TOPTRADER_ACCOUNT_LS,median,1.563,default_B300,1.56349918,True,baseline_dataset_with_residual_final.csv,TOPTRADER_ACCOUNT_LS
1,TOPTRADER_ACCOUNT_LS,q75,2.220,default_B300,2.220058795,True,baseline_dataset_with_residual_final.csv,TOPTRADER_ACCOUNT_LS
1,TOPTRADER_ACCOUNT_LS,max,3.982,default_B300,3.9818335,True,baseline_dataset_with_residual_final.csv,TOPTRADER_ACCOUNT_LS
1,TOPTRADER_ACCOUNT_LS,skew,0.60,default_B300,0.5999421386037435,True,baseline_dataset_with_residual_final.csv,TOPTRADER_ACCOUNT_LS
1,TOPTRADER_ACCOUNT_LS,excess_kurtosis,-0.35,default_B300,-0.3484287959263175,True,baseline_dataset_with_residual_final.csv,TOPTRADER_ACCOUNT_LS
1,OI,N,715,default_B300,715.0,True,baseline_dataset_with_residual_final.csv,OI
1,OI,mean,87.35,default_B300,87.34631562937064,True,baseline_dataset_with_residual_final.csv,OI
1,OI,std,6.71,default_B300,6.707275621979134,True,baseline_dataset_with_residual_final.csv,OI
1,OI,min,72.55,default_B300,72.550377,True,baseline_dataset_with_residual_final.csv,OI
1,OI,q25,81.70,default_B300,81.70300950000001,True,baseline_dataset_with_residual_final.csv,OI
1,OI,median,88.25,default_B300,88.24863800000001,True,baseline_dataset_with_residual_final.csv,OI
1,OI,q75,91.15,default_B300,91.15260699999999,True,baseline_dataset_with_residual_final.csv,OI
1,OI,max,103.62,default_B300,103.621458,True,baseline_dataset_with_residual_final.csv,OI
1,OI,skew,0.12,default_B300,0.12276538555867605,True,baseline_dataset_with_residual_final.csv,OI
1,OI,excess_kurtosis,-0.56,default_B300,-0.5641858505094124,True,baseline_dataset_with_residual_final.csv,OI
1,FUNDING,N,711,default_B300,711.0,True,baseline_dataset_with_residual_final.csv,FUNDING
1,FUNDING,mean,0.459,default_B300,0.4586454289732771,True,baseline_dataset_with_residual_final.csv,FUNDING
1,FUNDING,std,0.443,default_B300,0.4427012490917392,True,baseline_dataset_with_residual_final.csv,FUNDING
1,FUNDING,min,-1.369,default_B300,-1.3688,True,baseline_dataset_with_residual_final.csv,FUNDING
1,FUNDING,q25,0.200,default_B300,0.1996,True,baseline_dataset_with_residual_final.csv,FUNDING
1,FUNDING,median,0.456,default_B300,0.45630000000000004,True,baseline_dataset_with_residual_final.csv,FUNDING
1,FUNDING,q75,0.845,default_B300,0.8454999999999999,True,baseline_dataset_with_residual_final.csv,FUNDING
1,FUNDING,max,1.000,default_B300,1.0,True,baseline_dataset_with_residual_final.csv,FUNDING
1,FUNDING,skew,-0.81,default_B300,-0.8107193848318376,True,baseline_dataset_with_residual_final.csv,FUNDING
1,FUNDING,excess_kurtosis,0.85,default_B300,0.8543942509565188,True,baseline_dataset_with_residual_final.csv,FUNDING
1,DXY_ret,N,715,default_B300,715.0,True,baseline_dataset_with_residual_final.csv,DXY_ret
1,DXY_ret,mean,0.001,default_B300,0.0007392038155872606,True,baseline_dataset_with_residual_final.csv,DXY_ret
1,DXY_ret,std,0.203,default_B300,0.2029121917393862,True,baseline_dataset_with_residual_final.csv,DXY_ret
1,DXY_ret,min,-1.149,default_B300,-1.14869797952197,True,baseline_dataset_with_residual_final.csv,DXY_ret
