scenario,model,period,n,days,mae_bp,rmse_bp,residual_mean_bp,residual_q10_bp,residual_q50_bp,residual_q90_bp,residual_lag1h_corr,exact_1h_pairs
clock_FXUTC_USNY_quote,quadratic_ridge,2026-01,346,26,6.694074870429644,8.25022018456566,-1.66963197965284,-12.145230892669332,-2.092737770710926,9.469396036029579,0.18418399359006155,315
clock_FXUTC_USNY_quote,linear_plus_spline,2026-01,346,26,6.7353902576370945,8.265034242977679,-1.1704963384970453,-11.878105993833088,-1.8623819150551348,10.242781007454823,0.20764427798380217,315
clock_FXUTC_USNY_quote,linear_plus_svr,2026-01,346,26,6.802686293819962,8.415554663444018,-0.8284209991443329,-11.440692863465394,-1.633284407498543,10.670980622241121,0.22644852234085916,315
clock_FXUTC_USNY_quote,linear_plus_rf,2026-01,346,26,6.869168243414004,8.464422316999611,-1.6456361031424154,-12.35809318786984,-2.154772915723285,9.980835804931505,0.2145814111795157,315
clock_FXUTC_USNY_quote,lightgbm,2026-01,346,26,6.901754918720944,8.506913832139885,-1.1740690306180817,-12.137608993935814,-1.6444052273928982,10.842834270164772,0.22438353509730558,315
clock_FXUTC_USNY_quote,linear_plus_lightgbm,2026-01,346,26,6.890813586457431,8.42066790033919,-1.5849156442760666,-12.063254208305345,-2.270085842068859,9.79836614723263,0.21705256840468404,315
clock_FXUTC_USNY_quote,past_selected,2026-01,346,26,7.583621450816446,9.245797118346944,-2.0677638098372673,-13.602959198916432,-2.940262142680446,9.699250851965886,0.37587016036443177,315
clock_FXUTC_USNY_quote,sequential_ols,2026-02,324,24,8.057903973552618,9.953379547203127,-0.18462306227529812,-13.63680992051372,-0.5395077062483864,12.778178051100712,0.13786748757466577,300
clock_FXUTC_USNY_quote,joint_ols,2026-02,324,24,8.055673075469953,9.95101694658855,-0.17426483117597338,-13.629079625415654,-0.5200126609509539,12.796241150550161,0.13784774080499274,300
clock_FXUTC_USNY_quote,rolling_ols,2026-02,324,24,8.094558449183724,10.054290318477863,1.9513095512917578,-11.201163444804218,1.7994865802961897,14.843146938803319,0.1482379934271412,300
clock_FXUTC_USNY_quote,quadratic_ridge,2026-02,324,24,8.063325171770781,10.038380210120339,1.485125912963141,-11.229965739689662,1.204082996611291,14.199490155660435,0.14322434919076224,300
clock_FXUTC_USNY_quote,linear_plus_spline,2026-02,324,24,8.329890437653127,10.393108198487392,1.613886814649727,-11.568101650589236,1.201702477177875,14.881583657440443,0.19821682789206696,300
clock_FXUTC_USNY_quote,linear_plus_svr,2026-02,324,24,8.112714168417961,10.141786341222211,1.029177817308796,-12.241495223125971,0.5743766659797558,14.17126094998409,0.1662772220634851,300
clock_FXUTC_USNY_quote,linear_plus_rf,2026-02,324,24,8.093618381561603,10.056368677955376,0.7747808325479197,-12.33721634784608,0.4078624709400316,13.939571005804272,0.16810254351524623,300
clock_FXUTC_USNY_quote,lightgbm,2026-02,324,24,8.136359260902946,10.114190912272598,1.2202463913027797,-11.5205021865209,1.0881758616250323,13.89689008150672,0.1726634868722054,300
clock_FXUTC_USNY_quote,linear_plus_lightgbm,2026-02,324,24,8.067154948617619,10.017992294881884,0.8830599022506995,-11.789247336385948,0.5423203776623708,13.621867831005087,0.1665664524980072,300
clock_FXUTC_USNY_quote,past_selected,2026-02,324,24,8.063325171770781,10.038380210120339,1.485125912963141,-11.229965739689662,1.204082996611291,14.199490155660435,0.14322434919076224,300
clock_FXUTC_USNY_quote,sequential_ols,2026-03,237,17,8.58761908704373,10.70401349690479,-2.958697350190306,-15.9622308729562,-2.9706835800070905,10.412620723717533,0.31040182462215066,219
clock_FXUTC_USNY_quote,joint_ols,2026-03,237,17,8.596722301928997,10.71584677542341,-3.00630420267574,-16.00181442731945,-3.0352459152013864,10.347442392816511,0.31050443475808154,219
clock_FXUTC_USNY_quote,rolling_ols,2026-03,237,17,8.72842680212453,10.882139347791842,-3.6587016498662392,-16.63732726795687,-3.400214873449684,9.73709576364472,0.31613782674642654,219
clock_FXUTC_USNY_quote,quadratic_ridge,2026-03,237,17,9.115175831017574,11.390625168087377,-4.9590285278538415,-17.805607874394735,-4.950475504830635,7.595459584734278,0.3349295911735698,219
clock_FXUTC_USNY_quote,linear_plus_spline,2026-03,237,17,8.8872194978838,11.041584334988809,-3.586514863940595,-16.564727200329468,-3.3425403017261317,10.066331653165268,0.31735999776869317,219
clock_FXUTC_USNY_quote,linear_plus_svr,2026-03,237,17,8.86287824432826,11.052322580215176,-4.117453023992517,-17.043231188711882,-3.8186374974130377,9.18394905509341,0.31437478539461683,219
clock_FXUTC_USNY_quote,linear_plus_rf,2026-03,237,17,9.305884200053725,11.562943313523556,-4.8584450250358575,-17.599678180895403,-4.9004139658219685,8.559998800505944,0.33874813003098747,219
clock_FXUTC_USNY_quote,lightgbm,2026-03,237,17,9.788650710189339,12.1049433131009,-5.052951789875123,-18.48332579204479,-4.99211018368911,9.629376350777617,0.35426578622255683,219
clock_FXUTC_USNY_quote,linear_plus_lightgbm,2026-03,237,17,8.968799636112688,11.204393533261593,-4.224046891353532,-17.22158101878463,-4.263941338391106,9.305446414040002,0.32418193084012586,219
clock_FXUTC_USNY_quote,past_selected,2026-03,237,17,9.115175831017574,11.390625168087377,-4.9590285278538415,-17.805607874394735,-4.950475504830635,7.595459584734278,0.3349295911735698,219
clock_FXKST_USNY_quote,sequential_ols,2026-01,346,26,6.985584676627424,8.550966437795388,-2.769966495425236,-12.801941308831227,-3.1610893963754254,8.210088816743687,0.28570110366245544,315
clock_FXKST_USNY_quote,joint_ols,2026-01,346,26,6.992027209214789,8.555489652744557,-2.802959606809744,-12.826462782807344,-3.193811128822043,8.179247332314631,0.28495646231782645,315
clock_FXKST_USNY_quote,rolling_ols,2026-01,346,26,7.016484446355499,8.619240009209962,-2.6327272126385557,-12.364252008818116,-3.0350639061617564,8.718721141481215,0.30431120903414943,315
clock_FXKST_USNY_quote,quadratic_ridge,2026-01,346,26,6.627848523736445,8.187016665323391,-1.233994162541831,-10.902920519698661,-2.0048002300451593,9.536077553427274,0.2912665170270183,315
clock_FXKST_USNY_quote,linear_plus_spline,2026-01,346,26,6.718339112927547,8.245055228352571,-1.8596428614550762,-11.668735416350344,-2.683420674177345,8.647392721790919,0.29183892067339207,315
clock_FXKST_USNY_quote,linear_plus_svr,2026-01,346,26,6.9526419994034425,8.552874214154714,-2.839622060044874,-12.745461416359102,-3.3067675151503,8.386032720908517,0.27874624961288647,315
clock_FXKST_USNY_quote,linear_plus_rf,2026-01,346,26,6.933579845396861,8.502050688370717,-2.8982146743902675,-12.727494150530696,-3.526195728998953,8.536745165083044,0.2697203937619457,315
clock_FXKST_USNY_quote,lightgbm,2026-01,346,26,7.084127490580922,8.672618794283771,-2.084526291329163,-12.025617091235956,-3.0902565688827277,9.083565443504227,0.24772329429037962,315
clock_FXKST_USNY_quote,linear_plus_lightgbm,2026-01,346,26,6.8725284524439685,8.469584927578328,-2.0286879234573942,-12.338800505690655,-2.648342692185671,8.957183567930812,0.29781842420108906,315
clock_FXKST_USNY_quote,past_selected,2026-01,346,26,6.933579845396861,8.502050688370717,-2.8982146743902675,-12.727494150530696,-3.526195728998953,8.536745165083044,0.2697203937619457,315
clock_FXKST_USNY_quote,sequential_ols,2026-02,324,24,8.39290094604773,10.227839368017131,-0.359812002208403,-13.286523382769744,-0.7028407359221376,13.53887608646988,0.17068592240235916,300
clock_FXKST_USNY_quote,joint_ols,2026-02,324,24,8.389925993093113,10.224235716498645,-0.3476795919744523,-13.264924210589385,-0.6772937123953682,13.52940676267757,0.17050179224705272,300
clock_FXKST_USNY_quote,rolling_ols,2026-02,324,24,8.328325153379138,10.232384180994796,2.0995888625999055,-10.4624436700072,1.7741854683680813,15.597551959130561,0.16065377664871403,300
clock_FXKST_USNY_quote,quadratic_ridge,2026-02,324,24,8.470228686074726,10.437805582858372,1.2336400398455347,-11.048951656704537,0.9808355619588127,15.569798595872493,0.18536954571767594,300
clock_FXKST_USNY_quote,linear_plus_spline,2026-02,324,24,8.435452208298232,10.383301131430862,1.5040713668530354,-11.479446204264475,1.2502136696790558,15.222249366303767,0.18276948414750205,300
clock_FXKST_USNY_quote,linear_plus_svr,2026-02,324,24,8.36068759588652,10.304353807288221,0.5319316977224774,-12.953636693741885,0.08092080747277208,14.360030153377823,0.18219965970190713,300
clock_FXKST_USNY_quote,linear_plus_rf,2026-02,324,24,8.277931007803513,10.10752871649051,1.1677293300113014,-11.604023035609465,0.9443804240980853,15.032649237894166,0.1611740509069298,300
clock_FXKST_USNY_quote,lightgbm,2026-02,324,24,8.521214953845044,10.455888191647128,1.1231722162541662,-11.433831766467636,0.5875157196347089,15.815282150469669,0.13802095541323076,300
clock_FXKST_USNY_quote,linear_plus_lightgbm,2026-02,324,24,8.400785549684606,10.248514135951352,1.014469021490848,-11.455166028567344,0.5207250172101823,15.288209505599117,0.15714275322850924,300
clock_FXKST_USNY_quote,past_selected,2026-02,324,24,8.470228686074726,10.437805582858372,1.2336400398455347,-11.048951656704537,0.9808355619588127,15.569798595872493,0.18536954571767594,300
clock_FXKST_USNY_quote,sequential_ols,2026-03,242,17,8.680556534327694,10.607708263391483,-2.2772990146418235,-15.869539800803757,-2.116561358659659,11.280393530109233,0.3119940929162286,223
clock_FXKST_USNY_quote,joint_ols,2026-03,242,17,8.685227583099074,10.614337543709654,-2.3113507213526208,-15.885388289526402,-2.157052032645062,11.254980333235249,0.3120427147285478,223
clock_FXKST_USNY_quote,rolling_ols,2026-03,242,17,8.92974543931109,10.954612550608388,-3.645046586256364,-17.388743206327348,-3.8535019268300914,9.968226927384679,0.3164217192864313,223
clock_FXKST_USNY_quote,quadratic_ridge,2026-03,242,17,9.089705861299372,11.126737016067459,-4.084623988169148,-17.533859912452208,-4.398823323228175,9.195254407677476,0.32473239328875114,223
clock_FXKST_USNY_quote,linear_plus_spline,2026-03,242,17,8.838155228336147,10.851337587867445,-2.8984888341210646,-16.773138675220366,-3.0928195159942966,11.082807612988038,0.3232623720486979,223
clock_FXKST_USNY_quote,linear_plus_svr,2026-03,242,17,8.897346782170683,10.917998857869732,-3.262330034373859,-17.232607034607746,-3.3822608116119355,10.40686624037555,0.322921763185989,223
clock_FXKST_USNY_quote,linear_plus_rf,2026-03,242,17,8.826116267762036,10.842942625678907,-3.2011421742383215,-16.688500035839855,-3.0212776259019876,10.271482964847376,0.3153908433190106,223
clock_FXKST_USNY_quote,lightgbm,2026-03,242,17,9.251818407037094,11.587287287602164,-3.985505797944184,-18.41666862908319,-3.3105435338722913,9.715246456393878,0.3066101208652978,223
