scenario,model,period,n,days,mae_bp,rmse_bp,residual_mean_bp,residual_q10_bp,residual_q50_bp,residual_q90_bp,residual_lag1h_corr,exact_1h_pairs,reference_reconstruction_mse
clock_FXKST_USNY_quote,conditional_linear,2025-09,374,26,4.9148449102692835,6.391667808161915,0.42498266152429603,-7.31747080289883,0.5448438572356995,8.256628277252986,0.20089355426563216,351,0.004732039986562687
clock_FXKST_USNY_quote,ae_relu_1,2025-09,374,26,4.922565668893231,6.411664567996355,0.3699451915549495,-7.2774743555904875,0.49097331053111937,8.323628361315837,0.20456491827347503,351,0.005025941734066006
clock_FXKST_USNY_quote,ae_relu_2,2025-09,374,26,4.137792449081877,5.5411057120789575,0.4016283229650308,-5.599487244736052,0.21531860173724124,7.096233596398084,0.2325519659984221,351,0.002258110593501412
clock_FXKST_USNY_quote,ae_tanh_1,2025-09,374,26,5.863116456313268,7.539203137118626,0.06009602474229135,-8.609648698702493,0.6644003188267149,9.004468103845277,0.4214637334255214,351,0.005250821742262913
clock_FXKST_USNY_quote,ae_tanh_2,2025-09,374,26,6.404031090763037,8.313823613751161,-0.010354497661538708,-9.325197483371237,1.0954808458333432,9.422716616264282,0.5092582242799165,351,0.005142323880820699
clock_FXKST_USNY_quote,conditional_neural,2025-09,374,26,4.914845122581683,6.391668083622039,0.4249805140416815,-7.317470998330967,0.5448430057598621,8.256628079419105,0.2008935993040568,351,0.004732039986562687
clock_FXKST_USNY_quote,pca_selected,2025-09,374,26,4.063793624210462,5.439468264873538,0.4319174650142737,-5.355053737288795,0.2796740461487417,7.157440401405265,0.22563800558096767,351,0.0017206401888678865
clock_FXKST_USNY_quote,ae_selected,2025-09,374,26,4.922565668893231,6.411664567996355,0.3699451915549495,-7.2774743555904875,0.49097331053111937,8.323628361315837,0.20456491827347503,351,0.005025941734066006
clock_FXKST_USNY_quote,ae_reconstruction_selected,2025-09,374,26,32004.478190606744,618850.777122667,-31999.602403160425,-6.547721666984545,0.29526507804867563,7.661656105041732,-0.0028570586166677078,351,0.0050844781116201904
clock_FXKST_USNY_quote,sequential_ols,2025-10,378,27,5.985401922834853,7.542738851683653,3.7317136443671126,-5.094734961706467,3.6564792552418623,12.190520380866044,0.26250930232964953,355,
clock_FXKST_USNY_quote,pca_1,2025-10,378,27,5.968471251813142,7.517429480761038,3.7243776865448206,-5.058299919834931,3.6583014325177885,12.188831268872855,0.26265832602790895,355,0.005774636651261701
clock_FXKST_USNY_quote,pca_2,2025-10,378,27,5.079363579239573,6.20488942055858,3.400857802183591,-3.7344784206444213,3.642846980519529,9.933796713026464,0.28705977983891573,355,0.0014709420846371992
clock_FXKST_USNY_quote,conditional_linear,2025-10,378,27,6.657486264742996,8.499763108556172,4.839924348062917,-3.736480838924685,4.701996029192912,13.898348984819425,0.3141452058182383,355,0.005774636651261701
