mode,definition,month,window,band,train_n,forecast_n,inner_eligible_n,smallest_threshold_regime,residual_fit_end,train_last_label,features_R,features_B,features_F
available_macro,PCA,2026-03,all,"[0.2, 0.8]",2749,201,201,550,2026-02-27T17:00:00+00:00,2026-02-27T17:00:00+00:00,5,15,23
available_macro,PCA,2026-03,all,"[0.35, 0.65]",2749,201,201,825,2026-02-27T17:00:00+00:00,2026-02-27T17:00:00+00:00,5,15,23
available_macro,PCA,2026-03,90,"[0.2, 0.8]",887,201,201,178,2026-02-27T17:00:00+00:00,2026-02-27T17:00:00+00:00,5,15,23
available_macro,PCA,2026-03,90,"[0.35, 0.65]",887,201,201,265,2026-02-27T17:00:00+00:00,2026-02-27T17:00:00+00:00,5,15,23
strict,EQ,2025-08,all,"[0.2, 0.8]",280,147,147,56,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,5,12,20
strict,EQ,2025-08,all,"[0.35, 0.65]",280,147,147,84,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,5,12,20
strict,EQ,2025-08,90,"[0.2, 0.8]",280,147,147,56,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,5,12,20
strict,EQ,2025-08,90,"[0.35, 0.65]",280,147,147,84,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,5,12,20
strict,EQ,2025-09,all,"[0.2, 0.8]",427,154,154,86,2025-08-29T17:00:00+00:00,2025-08-29T17:00:00+00:00,5,12,20
strict,EQ,2025-09,all,"[0.35, 0.65]",427,154,154,127,2025-08-29T17:00:00+00:00,2025-08-29T17:00:00+00:00,5,12,20
strict,EQ,2025-09,90,"[0.2, 0.8]",427,154,154,86,2025-08-29T17:00:00+00:00,2025-08-29T17:00:00+00:00,5,12,20
strict,EQ,2025-09,90,"[0.35, 0.65]",427,154,154,127,2025-08-29T17:00:00+00:00,2025-08-29T17:00:00+00:00,5,12,20
strict,EQ,2025-10,all,"[0.2, 0.8]",581,161,161,116,2025-09-30T17:00:00+00:00,2025-09-30T17:00:00+00:00,5,12,20
strict,EQ,2025-10,all,"[0.35, 0.65]",581,161,161,174,2025-09-30T17:00:00+00:00,2025-09-30T17:00:00+00:00,5,12,20
strict,EQ,2025-10,90,"[0.2, 0.8]",441,161,161,88,2025-09-30T17:00:00+00:00,2025-09-30T17:00:00+00:00,5,12,20
strict,EQ,2025-10,90,"[0.35, 0.65]",441,161,161,132,2025-09-30T17:00:00+00:00,2025-09-30T17:00:00+00:00,5,12,20
strict,EQ,2025-11,all,"[0.2, 0.8]",742,120,120,149,2025-10-31T17:00:00+00:00,2025-10-31T17:00:00+00:00,5,12,20
strict,EQ,2025-11,all,"[0.35, 0.65]",742,120,120,222,2025-10-31T17:00:00+00:00,2025-10-31T17:00:00+00:00,5,12,20
strict,EQ,2025-11,90,"[0.2, 0.8]",455,120,120,91,2025-10-31T17:00:00+00:00,2025-10-31T17:00:00+00:00,5,12,20
strict,EQ,2025-11,90,"[0.35, 0.65]",455,120,120,137,2025-10-31T17:00:00+00:00,2025-10-31T17:00:00+00:00,5,12,20
strict,EQ,2025-12,all,"[0.2, 0.8]",862,132,132,173,2025-11-28T17:00:00+00:00,2025-11-28T17:00:00+00:00,5,12,20
strict,EQ,2025-12,all,"[0.35, 0.65]",862,132,132,258,2025-11-28T17:00:00+00:00,2025-11-28T17:00:00+00:00,5,12,20
strict,EQ,2025-12,90,"[0.2, 0.8]",428,132,132,86,2025-11-28T17:00:00+00:00,2025-11-28T17:00:00+00:00,5,12,20
strict,EQ,2025-12,90,"[0.35, 0.65]",428,132,132,128,2025-11-28T17:00:00+00:00,2025-11-28T17:00:00+00:00,5,12,20
