scenario,model,period,n,days,mae_bp,rmse_bp,residual_mean_bp,residual_q10_bp,residual_q50_bp,residual_q90_bp,residual_lag1h_corr,exact_1h_pairs
clock_FXUTC_USNY_quote,eq4_exclude_XRP,Jan_Mar,907,67,8.854277016368274,10.964597024630779,-1.7724160526306683,-15.498298212299636,-1.731597524061982,13.329756258624478,0.21271856511581036,834
clock_FXUTC_USNY_quote,eq4_exclude_SOL,Jan_Mar,907,67,8.834021498291708,10.915667161335811,-1.7802553517586897,-15.837097800903665,-2.2034683262624384,13.037676623503566,0.19220982388255922,834
clock_FXUTC_USNY_quote,eq4_exclude_DOGE,Jan_Mar,907,67,5.5859124372696085,6.874814083324943,-1.52453191750657,-10.270983591399249,-1.594721407708903,7.51335698830896,0.3164783439697318,834
clock_FXUTC_USNY_quote,individual_five_ols,Jan_Mar,907,67,5.597677288037637,6.880621682360842,-1.4092539645585582,-10.406702409518543,-1.5199085919429152,7.608540742123915,0.276356685666272,834
clock_FXKST_USNY_quote,eq4_exclude_BTC,Jan_Mar,912,67,9.091959189516736,11.12978999115512,-1.859819425709252,-15.811942280949518,-2.5499469926131297,13.345662683746967,0.2328562598744974,838
clock_FXKST_USNY_quote,eq4_exclude_ETH,Jan_Mar,912,67,8.909529294490458,10.89744148903655,-1.6314510216510536,-14.885761852953303,-2.2508740515361154,13.214866771483798,0.2090392707897279,838
clock_FXKST_USNY_quote,eq4_exclude_XRP,Jan_Mar,912,67,9.070374223207613,11.093367147655119,-1.9018928100283379,-15.615383902986816,-2.1578190228134915,12.870791741292217,0.23368716096315276,838
clock_FXKST_USNY_quote,eq4_exclude_SOL,Jan_Mar,912,67,9.026272157145515,11.023729222942391,-2.0264510872546246,-15.795765267290648,-2.861425635914145,13.251537679654493,0.2251318068149974,838
clock_FXKST_USNY_quote,eq4_exclude_DOGE,Jan_Mar,912,67,5.488536778551729,6.817289080218402,-1.570052946087166,-10.270597190008738,-1.6771247599925514,7.243930227017046,0.32482959504824027,838
clock_FXKST_USNY_quote,individual_five_ols,Jan_Mar,912,67,5.508051977730804,6.86279655777719,-1.653599851889017,-10.213630565065076,-1.4300371078023133,7.085929110732076,0.29473665091558965,838
clock_NY_macro_end1h_quote,eq4_exclude_BTC,Jan_Mar,906,55,9.093066496903976,11.318820157614066,-2.170892476607857,-16.22446642427721,-2.5111326593736614,12.748192382177216,0.18463446744361287,833
clock_NY_macro_end1h_quote,eq4_exclude_ETH,Jan_Mar,906,55,9.005659784832902,11.174034207577666,-1.9491870567438632,-15.738544289685944,-2.3072313705698146,12.328740325372038,0.16093883270157597,833
clock_NY_macro_end1h_quote,eq4_exclude_XRP,Jan_Mar,906,55,9.189414192521582,11.45326114956518,-2.3517648235175708,-16.548047804316496,-2.359027584781952,12.904580748801244,0.20728245294286096,833
clock_NY_macro_end1h_quote,eq4_exclude_SOL,Jan_Mar,906,55,9.154876147294324,11.298579012451757,-2.3981222578292747,-16.606277357137614,-2.86857348744347,12.17514508985245,0.18786841513445274,833
clock_NY_macro_end1h_quote,eq4_exclude_DOGE,Jan_Mar,906,55,5.632551793003857,6.987600409865554,-1.926546792801126,-10.508330355829372,-2.087361363997175,6.967524954205139,0.2974624404749411,833
clock_NY_macro_end1h_quote,individual_five_ols,Jan_Mar,906,55,5.639032987971702,6.945587111713946,-1.8398973496305953,-10.563342613809269,-2.1415824419863654,6.810237593100595,0.2656958147125256,833
clock_UTC_quote,eq4_exclude_BTC,2026-01,346,26,7.772938731282583,9.5514567367734,-1.8803292054385286,-14.219059171791049,-2.435396093452131,10.811964505608536,0.1601539539021216,315
clock_UTC_quote,eq4_exclude_ETH,2026-01,346,26,7.678915445063618,9.41469956626411,-1.7753580383738061,-13.567439211069118,-2.2070406482476557,10.820980665233966,0.15786402899115598,315
clock_UTC_quote,eq4_exclude_XRP,2026-01,346,26,7.746545837806296,9.482422969981695,-2.1398159711086966,-13.873717864471573,-2.949886726674091,11.111722425522496,0.17314733717511877,315
clock_UTC_quote,eq4_exclude_SOL,2026-01,346,26,7.77228954794666,9.498392049444378,-2.15614017013979,-14.370657666752294,-2.8897345276373088,11.11411943710442,0.18666790530711602,315
clock_UTC_quote,eq4_exclude_DOGE,2026-01,346,26,5.167622736219605,6.358213521691456,-1.9561969183769221,-9.897009604312085,-2.083076394621557,6.368397316223909,0.2842954829627266,315
clock_UTC_quote,individual_five_ols,2026-01,346,26,5.306077864298912,6.528278985371487,-1.9729711645851886,-10.404999104429548,-1.8977070494182025,6.086179357893268,0.2788069208423446,315
clock_UTC_quote,eq4_exclude_BTC,2026-02,324,24,9.483056552225067,11.66234641044694,-0.10970890630006173,-15.723753483586595,0.24618714132988373,15.62707389575561,0.11324704167751695,300
clock_UTC_quote,eq4_exclude_ETH,2026-02,324,24,9.340829162951156,11.419484386350678,0.15019124539435402,-14.732405208762872,-0.26082043280194966,15.338249848137496,0.059177352452468406,300
clock_UTC_quote,eq4_exclude_XRP,2026-02,324,24,9.282278169312049,11.440110613014147,-0.14750256161758338,-15.41520220101036,-0.20005095161306485,15.519442319058186,0.12744773701362777,300
clock_UTC_quote,eq4_exclude_SOL,2026-02,324,24,9.30625675130918,11.421163754657009,-0.254275676480694,-15.875546434119132,0.40212487486084036,15.009655658997099,0.09502176998597747,300
clock_UTC_quote,eq4_exclude_DOGE,2026-02,324,24,5.5266146618220855,6.816823569076523,-0.5080644219554811,-9.762732905573795,-0.43419995966763736,8.189241246725693,0.3417984917549416,300
clock_UTC_quote,individual_five_ols,2026-02,324,24,5.470375151047394,6.7007236049555425,-0.4048935588148171,-9.243481360046978,-0.5613129790444731,8.076796169041415,0.2688558478652572,300
clock_UTC_quote,eq4_exclude_BTC,2026-03,237,17,9.724429902556,12.132391969005313,-3.2557055366262393,-17.262822310143584,-3.2073312460233865,12.4856413660238,0.29340076319365804,219
clock_UTC_quote,eq4_exclude_ETH,2026-03,237,17,9.350193302779791,11.76080763584558,-2.7322133339473003,-16.391251856510664,-2.5475661306358575,13.247919476840204,0.2654976113227027,219
clock_UTC_quote,eq4_exclude_XRP,2026-03,237,17,9.886355557417486,12.243448940314318,-3.4574438977565825,-18.19150647689441,-3.6567490139845233,13.441132753289226,0.31710300397318497,219
clock_UTC_quote,eq4_exclude_SOL,2026-03,237,17,9.738473113657644,12.081163094959555,-3.3176446666540897,-17.794847029666148,-3.119785787188249,12.290153497923157,0.286636381800695,219
clock_UTC_quote,eq4_exclude_DOGE,2026-03,237,17,6.277645415363692,7.6373278339011765,-2.2839385768205402,-11.837034160064434,-2.621067769472873,6.865200616399322,0.2831049826317218,219
clock_UTC_quote,individual_five_ols,2026-03,237,17,6.197421140351721,7.588182740168908,-1.9593240922031063,-11.15989652024277,-2.375319017077743,7.433744354615006,0.24722822536041636,219
clock_NY_quote,eq4_exclude_BTC,2026-01,346,21,7.627887337730091,9.405149423334343,-2.809917962648288,-14.227877676617283,-3.4949233695685535,9.302928930262535,0.15168557077277497,315
clock_NY_quote,eq4_exclude_ETH,2026-01,346,21,7.6331687794123315,9.392662410054688,-2.7944529772253928,-13.998789748189253,-3.4641023681390966,9.711934392196241,0.16222555778245484,315
