scenario,month,coin,pc1_loading,pc2_loading,pca2_effective_first_stage_bp_per_bp,pc1_variance_share,pc2_variance_share
clock_NY_quote,2026-01,SOL,0.44750693960661664,-0.08405699450701615,0.21962803611941445,0.9971558049820987,0.002030899007408928
clock_NY_quote,2026-01,DOGE,0.44606324629376753,0.8837200853525405,-0.02669894294723208,0.9971558049820987,0.002030899007408928
clock_NY_quote,2026-02,BTC,0.44753377500759317,-0.2679011456511618,0.263494930941134,0.9967053130738653,0.002434801472124977
clock_NY_quote,2026-02,ETH,0.4475657239242381,-0.25730741874751617,0.2605706249328624,0.9967053130738653,0.002434801472124977
clock_NY_quote,2026-02,XRP,0.4475977359001568,-0.24805966640741595,0.2596827416321274,0.9967053130738653,0.002434801472124977
clock_NY_quote,2026-02,SOL,0.4475757932755228,-0.11100036401687942,0.22561027371524928,0.9967053130738653,0.002434801472124977
clock_NY_quote,2026-02,DOGE,0.44579212541998303,0.8877878065766884,-0.021062632653921623,0.9967053130738653,0.002434801472124977
clock_NY_quote,2026-03,BTC,0.44767783575278386,-0.25433527522521787,0.2586102839783951,0.9958270687288573,0.0032520302962389244
clock_NY_quote,2026-03,ETH,0.44770437109965155,-0.2461129737554397,0.2563046778041417,0.9958270687288573,0.0032520302962389244
clock_NY_quote,2026-03,XRP,0.44772928174815674,-0.2430365220758236,0.256975269306524,0.9958270687288573,0.0032520302962389244
clock_NY_quote,2026-03,SOL,0.44771105141409556,-0.1433109424464153,0.23277615437533578,0.9958270687288573,0.0032520302962389244
clock_NY_quote,2026-03,DOGE,0.44523999840640277,0.8917046566199903,-0.016548955018105087,0.9958270687288573,0.0032520302962389244
clock_FXUTC_USNY_quote,2026-01,BTC,0.44745274884244846,-0.3062662316263866,0.2816064670309719,0.9970359962640615,0.002100096342560461
clock_FXUTC_USNY_quote,2026-01,ETH,0.4475098926537958,-0.27467825428618314,0.2726037129768509,0.9970359962640615,0.002100096342560461
clock_FXUTC_USNY_quote,2026-01,XRP,0.44753475028925793,-0.2692079388381,0.2718311614737922,0.9970359962640615,0.002100096342560461
clock_FXUTC_USNY_quote,2026-01,SOL,0.44749730054731435,-0.017686878073906946,0.20295835714028662,0.9970359962640615,0.002100096342560461
clock_FXUTC_USNY_quote,2026-01,DOGE,0.4460714593164674,0.8706130667513602,-0.039299228196637004,0.9970359962640615,0.002100096342560461
clock_FXUTC_USNY_quote,2026-02,BTC,0.4475204079264443,-0.29283000372667023,0.2753175697871934,0.9966049717482596,0.0024817567302796604
clock_FXUTC_USNY_quote,2026-02,ETH,0.44757563564445335,-0.26547639912856774,0.2677329606388637,0.9966049717482596,0.0024817567302796604
clock_FXUTC_USNY_quote,2026-02,XRP,0.4475981966702734,-0.2591078534151261,0.2667429514893189,0.9966049717482596,0.0024817567302796604
clock_FXUTC_USNY_quote,2026-02,SOL,0.4475646645300141,-0.058462369068264256,0.21354800960728743,0.9966049717482596,0.0024817567302796604
clock_FXUTC_USNY_quote,2026-02,DOGE,0.44580630353155376,0.8793282334399931,-0.03378998350525465,0.9966049717482596,0.0024817567302796604
clock_FXUTC_USNY_quote,2026-03,BTC,0.4476444173121279,-0.27657710161157234,0.26715818879607744,0.9958207696251513,0.003200954032679103
clock_FXUTC_USNY_quote,2026-03,ETH,0.44769639596333455,-0.25540564818614253,0.2614931795463177,0.9958207696251513,0.003200954032679103
clock_FXUTC_USNY_quote,2026-03,XRP,0.4477259742104149,-0.24600328217048514,0.2598688622124897,0.9958207696251513,0.003200954032679103
clock_FXUTC_USNY_quote,2026-03,SOL,0.4476839821850343,-0.10436219114550357,0.22428893636732172,0.9958207696251513,0.003200954032679103
clock_FXUTC_USNY_quote,2026-03,DOGE,0.4453121565857048,0.8870535383839112,-0.02351959656269048,0.9958207696251513,0.003200954032679103
clock_FXKST_USNY_quote,2026-01,BTC,0.4475008826673873,-0.3124839104285368,0.2891330669410248,0.9968595703866099,0.0023449540737442657
clock_FXKST_USNY_quote,2026-01,ETH,0.4475451554394847,-0.28616033649009065,0.28128058782755366,0.9968595703866099,0.0023449540737442657
clock_FXKST_USNY_quote,2026-01,XRP,0.4475542894931362,-0.275687695583755,0.2785202141553802,0.9968595703866099,0.0023449540737442657
clock_FXKST_USNY_quote,2026-01,SOL,0.44753376196503414,0.014720630344999819,0.1941743643256857,0.9968595703866099,0.0023449540737442657
clock_FXKST_USNY_quote,2026-01,DOGE,0.44593159084356754,0.8626967399319031,-0.052153283995970155,0.9968595703866099,0.0023449540737442657
clock_FXKST_USNY_quote,2026-02,BTC,0.44756417477220845,-0.3001942558867652,0.2821253134162881,0.9964586225358397,0.0026904905596379157
clock_FXKST_USNY_quote,2026-02,ETH,0.4476089860126886,-0.27407120025978027,0.2746583210704535,0.9964586225358397,0.0026904905596379157
clock_FXKST_USNY_quote,2026-02,XRP,0.44761180170813586,-0.26783504375440104,0.27318447398213297,0.9964586225358397,0.0026904905596379157
clock_FXKST_USNY_quote,2026-02,SOL,0.4475952510448766,-0.02726666665933005,0.20604227357772717,0.9964586225358397,0.0026904905596379157
clock_FXKST_USNY_quote,2026-02,DOGE,0.4456844975033743,0.8730918073989249,-0.04534752428889003,0.9964586225358397,0.0026904905596379157
clock_FXKST_USNY_quote,2026-03,BTC,0.4476794413171776,-0.28221504079334475,0.27387458210663024,0.995737574353074,0.0033390591149606397
clock_FXKST_USNY_quote,2026-03,ETH,0.44772300014313227,-0.26169586737346756,0.26819367264375993,0.995737574353074,0.0033390591149606397
clock_FXKST_USNY_quote,2026-03,XRP,0.4477254978315147,-0.25812847662114735,0.26762872585263053,0.995737574353074,0.0033390591149606397
clock_FXKST_USNY_quote,2026-03,SOL,0.44770301877320323,-0.07595342030091318,0.21884156720890593,0.995737574353074,0.0033390591149606397
clock_FXKST_USNY_quote,2026-03,DOGE,0.44523153362902723,0.8828763850344499,-0.038313224192029274,0.995737574353074,0.0033390591149606397
clock_NY_macro_end1h_quote,2026-01,BTC,0.44747422766576667,-0.28528292366870545,0.27199788835059086,0.9970324012586202,0.002134861935057145
clock_NY_macro_end1h_quote,2026-01,ETH,0.447511396449052,-0.26957365982703585,0.2675632767915129,0.9970324012586202,0.002134861935057145
clock_NY_macro_end1h_quote,2026-01,XRP,0.4475493651537663,-0.26038900102445695,0.2667131515411742,0.9970324012586202,0.002134861935057145
clock_NY_macro_end1h_quote,2026-01,SOL,0.4475189783969198,-0.061764798835542215,0.21436260459827391,0.9970324012586202,0.002134861935057145
clock_NY_macro_end1h_quote,2026-01,DOGE,0.44601199013948356,0.8799581655742414,-0.03201047158865108,0.9970324012586202,0.002134861935057145
clock_NY_macro_end1h_quote,2026-02,BTC,0.447543254391567,-0.27361338928321316,0.26661262750544024,0.9965955627124163,0.002520229254386155
clock_NY_macro_end1h_quote,2026-02,ETH,0.4475760644675235,-0.2619687208494278,0.26336429506701775,0.9965955627124163,0.002520229254386155
clock_NY_macro_end1h_quote,2026-02,XRP,0.44760906169602105,-0.2541656823547931,0.26290000005068154,0.9965955627124163,0.002520229254386155
clock_NY_macro_end1h_quote,2026-02,SOL,0.4475850365767113,-0.09178906254580448,0.22140184146973188,0.9965955627124163,0.002520229254386155
clock_NY_macro_end1h_quote,2026-02,DOGE,0.44575157305903046,0.8851455679217698,-0.025800141018034604,0.9965955627124163,0.002520229254386155
clock_NY_macro_end1h_quote,2026-03,BTC,0.44768491051398235,-0.25800426432414636,0.26100396689411054,0.9957408093876687,0.003309629470773906
clock_NY_macro_end1h_quote,2026-03,ETH,0.44770885997780563,-0.2510818365230987,0.2589948984424559,0.9957408093876687,0.003309629470773906
clock_NY_macro_end1h_quote,2026-03,XRP,0.44773510122752785,-0.24866164551470657,0.2599120535994436,0.9957408093876687,0.003309629470773906
clock_NY_macro_end1h_quote,2026-03,SOL,0.44771705383495497,-0.12741935503059307,0.22964665770516363,0.9957408093876687,0.003309629470773906
clock_NY_macro_end1h_quote,2026-03,DOGE,0.4452164826571276,0.8901254995629823,-0.021234359836911857,0.9957408093876687,0.003309629470773906
