mode,definition,model,info,high_downside,high_account,n,raw_loss_bp,corrected_loss_bp,raw_below_rate,corrected_below_rate
available_macro,CAP,qrf,history,0,0,80,1.3015909364900218,1.3368514272252416,0.1875,0.0875
available_macro,CAP,qrf,history,0,1,53,1.072675243354332,0.9746018387191079,0.18867924528301888,0.09433962264150944
available_macro,CAP,qrf,history,1,0,39,1.2710996786584612,1.285162123059735,0.15384615384615385,0.10256410256410256
available_macro,CAP,qrf,history,1,1,67,1.4096736052860557,1.3795388631860033,0.11940298507462686,0.08955223880597014
available_macro,EQ,boosting,base,0,0,80,1.317513529966541,1.6221874805725238,0.125,0.0375
available_macro,EQ,boosting,base,0,1,53,1.3754628436184984,1.3805823964522141,0.18867924528301888,0.05660377358490566
available_macro,EQ,boosting,base,1,0,39,2.236425728424769,2.0214684647618313,0.20512820512820512,0.1282051282051282
available_macro,EQ,boosting,base,1,1,67,2.134758309400141,1.8229979760273047,0.19402985074626866,0.08955223880597014
available_macro,EQ,boosting,full,0,0,80,1.2916538004072577,1.5543082451820054,0.1125,0.05
available_macro,EQ,boosting,full,0,1,53,1.4297235907778176,1.41483454141831,0.18867924528301888,0.05660377358490566
available_macro,EQ,boosting,full,1,0,39,2.2744228156417914,2.146706075343121,0.1794871794871795,0.1282051282051282
available_macro,EQ,boosting,full,1,1,67,2.1372998704434485,1.8297817215705778,0.19402985074626866,0.08955223880597014
available_macro,EQ,boosting,history,0,0,80,1.2968984074466965,1.602043685225274,0.0875,0.0375
available_macro,EQ,boosting,history,0,1,53,1.4112694095562595,1.3959717848353552,0.18867924528301888,0.07547169811320754
available_macro,EQ,boosting,history,1,0,39,2.3788608274276326,2.2195633022981807,0.20512820512820512,0.10256410256410256
available_macro,EQ,boosting,history,1,1,67,2.1433116898124376,1.8841863296604775,0.22388059701492538,0.08955223880597014
available_macro,EQ,linear,base,0,0,80,1.3741770255537344,1.6172621889847174,0.0625,0.05
available_macro,EQ,linear,base,0,1,53,1.4367832059787389,1.4076173707197441,0.09433962264150944,0.05660377358490566
available_macro,EQ,linear,base,1,0,39,1.8505965611437738,1.8694138898615138,0.20512820512820512,0.1282051282051282
available_macro,EQ,linear,base,1,1,67,2.134295309690005,1.8826016144676962,0.208955223880597,0.11940298507462686
available_macro,EQ,linear,full,0,0,80,1.4033830952794333,1.6258270754617712,0.0625,0.05
available_macro,EQ,linear,full,0,1,53,1.4172311755983662,1.4043036016072572,0.09433962264150944,0.05660377358490566
available_macro,EQ,linear,full,1,0,39,1.9573764272125715,2.022419335513216,0.2564102564102564,0.15384615384615385
available_macro,EQ,linear,full,1,1,67,2.2504747030098375,2.0400499154474914,0.1791044776119403,0.13432835820895522
available_macro,EQ,linear,history,0,0,80,1.3935870720612136,1.6430438931368712,0.0625,0.0375
available_macro,EQ,linear,history,0,1,53,1.3999766201218293,1.4284347549335736,0.07547169811320754,0.05660377358490566
available_macro,EQ,linear,history,1,0,39,2.027017560065943,1.9290368580864645,0.2564102564102564,0.10256410256410256
available_macro,EQ,linear,history,1,1,67,2.2097589444325774,2.0388710612902763,0.19402985074626866,0.14925373134328357
available_macro,EQ,qrf,base,0,0,80,1.2281830672124927,1.431777978501978,0.075,0.05
available_macro,EQ,qrf,base,0,1,53,1.171512534222077,1.3143837394937565,0.09433962264150944,0.03773584905660377
available_macro,EQ,qrf,base,1,0,39,1.9901299228886689,1.7173753709533366,0.23076923076923078,0.1282051282051282
available_macro,EQ,qrf,base,1,1,67,2.1790113981933605,1.9371591700180693,0.23880597014925373,0.13432835820895522
available_macro,EQ,qrf,full,0,0,80,1.2426807992932571,1.4740529380440452,0.075,0.05
available_macro,EQ,qrf,full,0,1,53,1.1993850672483402,1.3213574631413325,0.11320754716981132,0.05660377358490566
available_macro,EQ,qrf,full,1,0,39,1.8861218100642094,1.6098220756575934,0.23076923076923078,0.07692307692307693
available_macro,EQ,qrf,full,1,1,67,2.387710373256131,2.174181106650945,0.23880597014925373,0.14925373134328357
available_macro,EQ,qrf,history,0,0,80,1.2023809594293842,1.4343727150817176,0.075,0.0625
available_macro,EQ,qrf,history,0,1,53,1.1926097628348244,1.2973136814504125,0.09433962264150944,0.05660377358490566
available_macro,EQ,qrf,history,1,0,39,1.9724564754823177,1.7076916284785766,0.2564102564102564,0.10256410256410256
available_macro,EQ,qrf,history,1,1,67,2.292741768818224,1.9322437605043477,0.26865671641791045,0.13432835820895522
available_macro,PCA,boosting,base,0,0,80,1.3046509642853246,1.5952660682452329,0.1,0.0375
available_macro,PCA,boosting,base,0,1,53,1.368763406988624,1.3418638942585308,0.16981132075471697,0.05660377358490566
available_macro,PCA,boosting,base,1,0,39,2.2568614217078156,2.008363463512015,0.23076923076923078,0.1282051282051282
available_macro,PCA,boosting,base,1,1,67,2.120874282470868,1.8153394808447367,0.19402985074626866,0.08955223880597014
available_macro,PCA,boosting,full,0,0,80,1.2673946380563894,1.5272779139573367,0.0875,0.0375
available_macro,PCA,boosting,full,0,1,53,1.4046428390173444,1.4022601981099634,0.18867924528301888,0.05660377358490566
available_macro,PCA,boosting,full,1,0,39,2.2765894809381284,2.1684371340456474,0.1794871794871795,0.1282051282051282
available_macro,PCA,boosting,full,1,1,67,2.115726676829368,1.8181441475154647,0.19402985074626866,0.08955223880597014
available_macro,PCA,boosting,history,0,0,80,1.2895804857625257,1.6213079014083824,0.0875,0.0375
available_macro,PCA,boosting,history,0,1,53,1.3955738487382385,1.3930221331752635,0.18867924528301888,0.07547169811320754
available_macro,PCA,boosting,history,1,0,39,2.3758348957454642,2.188809849357405,0.20512820512820512,0.10256410256410256
available_macro,PCA,boosting,history,1,1,67,2.1204963620894643,1.8796736246511703,0.19402985074626866,0.07462686567164178
available_macro,PCA,linear,base,0,0,80,1.3848242027353068,1.6352755651553228,0.0625,0.05
available_macro,PCA,linear,base,0,1,53,1.3905833271023043,1.4023415766363583,0.07547169811320754,0.05660377358490566
available_macro,PCA,linear,base,1,0,39,1.8443290515909525,1.91420076211106,0.20512820512820512,0.1282051282051282
available_macro,PCA,linear,base,1,1,67,2.1180202653934055,1.8829325645366017,0.19402985074626866,0.11940298507462686
available_macro,PCA,linear,full,0,0,80,1.3940817396861955,1.6274345184765444,0.0625,0.05
available_macro,PCA,linear,full,0,1,53,1.3656645545255734,1.3893352941558965,0.07547169811320754,0.05660377358490566
available_macro,PCA,linear,full,1,0,39,1.9364895826187642,2.01883799267286,0.2564102564102564,0.15384615384615385
available_macro,PCA,linear,full,1,1,67,2.240994300470937,2.0246468026426903,0.1791044776119403,0.13432835820895522
available_macro,PCA,linear,history,0,0,80,1.3756322303687316,1.631102148058907,0.0625,0.0375
available_macro,PCA,linear,history,0,1,53,1.3753690768486186,1.4036228150342382,0.07547169811320754,0.05660377358490566
available_macro,PCA,linear,history,1,0,39,1.9881749537141473,1.9134444915377617,0.2564102564102564,0.10256410256410256
available_macro,PCA,linear,history,1,1,67,2.1946290035843625,2.0282598435082604,0.19402985074626866,0.14925373134328357
available_macro,PCA,qrf,base,0,0,80,1.2098932068435109,1.415835656868839,0.075,0.05
available_macro,PCA,qrf,base,0,1,53,1.1716842129984961,1.3281644753323345,0.11320754716981132,0.05660377358490566
available_macro,PCA,qrf,base,1,0,39,2.0027028987560023,1.6799769665948525,0.23076923076923078,0.10256410256410256
available_macro,PCA,qrf,base,1,1,67,2.2293326944808585,1.943099647930588,0.2537313432835821,0.13432835820895522
available_macro,PCA,qrf,full,0,0,80,1.2270639170770508,1.4624558247477446,0.075,0.0625
available_macro,PCA,qrf,full,0,1,53,1.1579841154205452,1.2957167717321432,0.11320754716981132,0.03773584905660377
available_macro,PCA,qrf,full,1,0,39,1.932419840174909,1.584866688073068,0.23076923076923078,0.07692307692307693
available_macro,PCA,qrf,full,1,1,67,2.3723994173042056,2.1423798902242086,0.26865671641791045,0.14925373134328357
available_macro,PCA,qrf,history,0,0,80,1.1975686822037601,1.387896205376516,0.075,0.0375
available_macro,PCA,qrf,history,0,1,53,1.1735618332208833,1.3174376036817002,0.09433962264150944,0.03773584905660377
available_macro,PCA,qrf,history,1,0,39,1.9699841589913696,1.6827935374830871,0.23076923076923078,0.1282051282051282
available_macro,PCA,qrf,history,1,1,67,2.199010738879791,1.9172544818024524,0.23880597014925373,0.16417910447761194
