mode,definition,fold,info,model,window,form,params,validation_loss_bp,train_n,test_n
strict,CAP,2026-01,history,linear,all,level,"{""alpha"": 0.0}",1.134073313525212,994,126
strict,CAP,2026-01,history,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.1714651726832845,994,126
strict,CAP,2026-01,history,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.192189862636077,994,126
strict,CAP,2026-02,base,linear,all,level,"{""alpha"": 0.01}",1.1544905680406419,1120,120
strict,CAP,2026-02,base,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.2089650303703858,1120,120
strict,CAP,2026-02,base,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.1155531926340794,1120,120
strict,CAP,2026-02,full,linear,all,level,"{""alpha"": 0.01}",1.1544905680406419,1120,120
strict,CAP,2026-02,full,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.2089650303703858,1120,120
strict,CAP,2026-02,full,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.1709239818825503,1120,120
strict,CAP,2026-02,history,linear,all,level,"{""alpha"": 0.01}",1.1579568658867856,1120,120
strict,CAP,2026-02,history,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.2083486937714638,1120,120
strict,CAP,2026-02,history,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.1411995399316384,1120,120
strict,CAP,2026-03,base,linear,90,level,"{""alpha"": 0.05}",1.176536876398029,378,89
strict,CAP,2026-03,base,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 40, ""n_estimators"": 250}",1.305311088603795,1240,89
strict,CAP,2026-03,base,qrf,all,change,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 20}",1.2602585316879276,1240,89
strict,CAP,2026-03,full,linear,90,level,"{""alpha"": 0.05}",1.176536876398029,378,89
strict,CAP,2026-03,full,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.3215081167458194,1240,89
strict,CAP,2026-03,full,qrf,all,change,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 40}",1.2746941065384003,1240,89
