mode,definition,model,info,calibration,reference_model,reference_info,reference_calibration,block_days,comparison,n,difference_bp,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months,months
available_macro,CAP,boosting,full,calibrated,boosting,base,calibrated,10,position_levels,1088,-0.0011415763866160584,-0.007953776035478474,0.005631622078627092,0.0930220247181035,-0.4637698723842139,0.659104132390754,0.746,2,4
available_macro,CAP,boosting,history,calibrated,boosting,full,calibrated,1,position_changes,1088,0.0016942618950787048,-0.01672537672912459,0.021769160128125846,-0.13818647298773357,-1.801338609373108,1.3805623598703536,0.8725,3,4
available_macro,CAP,boosting,history,calibrated,boosting,full,calibrated,5,position_changes,1088,0.0016942618950787048,-0.018660321210202033,0.023641929501761208,-0.13818647298773357,-1.9547833195754314,1.5245741026188997,0.868,3,4
available_macro,CAP,boosting,history,calibrated,boosting,full,calibrated,10,position_changes,1088,0.0016942618950787048,-0.01512359445361998,0.01809800277737384,-0.13818647298773357,-1.5200224200486525,1.2318643392345756,0.8395,3,4
available_macro,CAP,boosting,history,calibrated,boosting,base,calibrated,1,position_all,1088,0.0005526855084626483,-0.018121983382805476,0.020843086121090662,-0.045035904414558736,-1.7420544948074506,1.4563466803101353,0.955,2,4
available_macro,CAP,boosting,history,calibrated,boosting,base,calibrated,5,position_all,1088,0.0005526855084626483,-0.019791926379908602,0.02187483520373876,-0.045035904414558736,-1.8128879296817462,1.5936245450357105,0.9595,2,4
available_macro,CAP,boosting,history,calibrated,boosting,base,calibrated,10,position_all,1088,0.0005526855084626483,-0.01596443505056043,0.016239920947461427,-0.045035904414558736,-1.3592802738984084,1.2932606377448923,0.953,2,4
available_macro,CAP,qrf,full,calibrated,qrf,base,calibrated,1,position_levels,1088,-0.012041223227767923,-0.03368077221932157,0.006337945049949001,0.9567693709863101,-0.5074374023581891,2.6424890289919394,0.225,2,4
available_macro,CAP,qrf,full,calibrated,qrf,base,calibrated,5,position_levels,1088,-0.012041223227767923,-0.03371125774578562,0.00733059829674576,0.9567693709863101,-0.5840576383266949,2.7217183612215328,0.2635,2,4
available_macro,CAP,qrf,full,calibrated,qrf,base,calibrated,10,position_levels,1088,-0.012041223227767923,-0.03405207422748489,0.010476707496070126,0.9567693709863101,-0.8371469950569095,2.78069389721652,0.2955,2,4
available_macro,CAP,qrf,history,calibrated,qrf,full,calibrated,1,position_changes,1088,-0.00207370731823474,-0.013494028087776508,0.009101181798680122,0.1663639864830202,-0.7488996975534098,1.0743507125143432,0.733,2,4
available_macro,CAP,qrf,history,calibrated,qrf,full,calibrated,5,position_changes,1088,-0.00207370731823474,-0.014180959941390882,0.009900025443675535,0.1663639864830202,-0.8175798883567714,1.1202026670343266,0.7275,2,4
available_macro,CAP,qrf,history,calibrated,qrf,full,calibrated,10,position_changes,1088,-0.00207370731823474,-0.013396330644640882,0.009649367375881103,0.1663639864830202,-0.7942453771264911,1.051563833842947,0.7395,2,4
available_macro,CAP,qrf,history,calibrated,qrf,base,calibrated,1,position_all,1088,-0.014114930546002664,-0.03466960234241265,0.004769507622543492,1.1215416378023146,-0.3768637472173687,2.717389849543632,0.159,3,4
available_macro,CAP,qrf,history,calibrated,qrf,base,calibrated,5,position_all,1088,-0.014114930546002664,-0.035083582763577606,0.007266247618347786,1.1215416378023146,-0.573410402743394,2.8001922595128823,0.1965,3,4
available_macro,CAP,qrf,history,calibrated,qrf,base,calibrated,10,position_all,1088,-0.014114930546002664,-0.03718160513358081,0.009211099853383545,1.1215416378023146,-0.733253964376497,2.9922549052947964,0.241,3,4
available_macro,CAP,linear,base,calibrated,linear,base,raw,1,online_correction,1088,0.017034773724543886,-0.049346350833330534,0.08463932541132306,-1.331626895536142,-6.842513552158941,3.7870102631815166,0.624,2,4
available_macro,CAP,linear,base,calibrated,linear,base,raw,5,online_correction,1088,0.017034773724543886,-0.047772840933595864,0.09155250414754632,-1.331626895536142,-6.958996342975312,3.735377644647428,0.6665,2,4
