mode,definition,model,info,calibration,subset,n,loss_bp,below_rate
available_macro,PCA,linear,base,calibrated,additional_origins,621,1.792421761050353,0.08373590982286634
available_macro,PCA,linear,full,raw,original_origins,467,1.9650189735274515,0.16488222698072805
available_macro,PCA,linear,full,raw,additional_origins,621,1.7417680516364586,0.13043478260869565
available_macro,PCA,linear,full,calibrated,original_origins,467,1.8002642570781007,0.10920770877944326
available_macro,PCA,linear,full,calibrated,additional_origins,621,1.8239939854401601,0.08695652173913043
available_macro,PCA,linear,history,raw,original_origins,467,1.9488423000869077,0.16488222698072805
available_macro,PCA,linear,history,raw,additional_origins,621,1.7324156704918292,0.1288244766505636
available_macro,PCA,linear,history,calibrated,original_origins,467,1.785332037106571,0.10492505353319058
available_macro,PCA,linear,history,calibrated,additional_origins,621,1.8227056106153439,0.08373590982286634
available_macro,PCA,qrf,base,raw,original_origins,467,1.7676920830325562,0.17987152034261242
available_macro,PCA,qrf,base,raw,additional_origins,621,1.6252559177645856,0.15136876006441224
available_macro,PCA,qrf,base,calibrated,original_origins,467,1.6652793349915869,0.11991434689507495
available_macro,PCA,qrf,base,calibrated,additional_origins,621,1.6659953672413967,0.08856682769726248
available_macro,PCA,qrf,full,raw,original_origins,467,1.7710717699201413,0.1905781584582441
available_macro,PCA,qrf,full,raw,additional_origins,621,1.6277181689837477,0.1497584541062802
available_macro,PCA,qrf,full,calibrated,original_origins,467,1.650084522722516,0.11991434689507495
available_macro,PCA,qrf,full,calibrated,additional_origins,621,1.677819827435271,0.09339774557165861
available_macro,PCA,qrf,history,raw,original_origins,467,1.7458279560886625,0.1777301927194861
available_macro,PCA,qrf,history,raw,additional_origins,621,1.610977152010535,0.14653784219001612
available_macro,PCA,qrf,history,calibrated,original_origins,467,1.6428188226527625,0.11134903640256959
available_macro,PCA,qrf,history,calibrated,additional_origins,621,1.6498388672093496,0.08856682769726248
strict,CAP,boosting,base,raw,original_origins,467,1.31938007901495,0.16916488222698073
strict,CAP,boosting,base,calibrated,original_origins,467,1.2776469285570708,0.09635974304068523
strict,CAP,boosting,full,raw,original_origins,467,1.3370378070055318,0.16916488222698073
strict,CAP,boosting,full,calibrated,original_origins,467,1.3109558945866562,0.09421841541755889
strict,CAP,boosting,history,raw,original_origins,467,1.3243439571616102,0.16916488222698073
strict,CAP,boosting,history,calibrated,original_origins,467,1.3080024090655678,0.08993576017130621
strict,CAP,linear,base,raw,original_origins,467,1.314626074508382,0.14132762312633834
strict,CAP,linear,base,calibrated,original_origins,467,1.483755744548917,0.09207708779443255
strict,CAP,linear,full,raw,original_origins,467,1.3116082675423244,0.14346895074946467
strict,CAP,linear,full,calibrated,original_origins,467,1.5036414599821548,0.09207708779443255
strict,CAP,linear,history,raw,original_origins,467,1.322415673101641,0.145610278372591
strict,CAP,linear,history,calibrated,original_origins,467,1.5010125674713235,0.08779443254817987
strict,CAP,qrf,base,raw,original_origins,467,1.26741995093627,0.1670235546038544
strict,CAP,qrf,base,calibrated,original_origins,467,1.2426570329343445,0.08993576017130621
strict,CAP,qrf,full,raw,original_origins,467,1.2914760495704276,0.17130620985010706
strict,CAP,qrf,full,calibrated,original_origins,467,1.250186111664794,0.08993576017130621
strict,CAP,qrf,history,raw,original_origins,467,1.274305700271799,0.1670235546038544
strict,CAP,qrf,history,calibrated,original_origins,467,1.239802650853957,0.09421841541755889
strict,EQ,boosting,base,raw,original_origins,467,1.9808655933708967,0.20556745182012848
strict,EQ,boosting,base,calibrated,original_origins,467,1.8212249097764273,0.09207708779443255
strict,EQ,boosting,full,raw,original_origins,467,1.9429964273970073,0.21413276231263384
strict,EQ,boosting,full,calibrated,original_origins,467,1.808175436020817,0.08565310492505353
strict,EQ,boosting,history,raw,original_origins,467,1.9371778809038604,0.20985010706638116
strict,EQ,boosting,history,calibrated,original_origins,467,1.80859701949955,0.08779443254817987
strict,EQ,linear,base,raw,original_origins,467,1.991236576194945,0.19271948608137046
strict,EQ,linear,base,calibrated,original_origins,467,1.8990047625156072,0.08565310492505353
strict,EQ,linear,full,raw,original_origins,467,1.955025387621264,0.1777301927194861
strict,EQ,linear,full,calibrated,original_origins,467,1.8918180686297668,0.07922912205567452
strict,EQ,linear,history,raw,original_origins,467,2.048266525228347,0.20556745182012848
strict,EQ,linear,history,calibrated,original_origins,467,1.8924174531757945,0.08993576017130621
strict,EQ,qrf,base,raw,original_origins,467,1.8105468332826806,0.1841541755888651
strict,EQ,qrf,base,calibrated,original_origins,467,1.7753503691284238,0.08993576017130621
strict,EQ,qrf,full,raw,original_origins,467,1.7903870698110806,0.16488222698072805
strict,EQ,qrf,full,calibrated,original_origins,467,1.7799485725662625,0.08993576017130621
strict,EQ,qrf,history,raw,original_origins,467,1.793762237785914,0.17558886509635974
strict,EQ,qrf,history,calibrated,original_origins,467,1.7705198050091058,0.08565310492505353
strict,PCA,boosting,base,raw,original_origins,467,1.908254399102871,0.1948608137044968
strict,PCA,boosting,base,calibrated,original_origins,467,1.8227493058014304,0.07708779443254818
strict,PCA,boosting,full,raw,original_origins,467,1.9004493736869665,0.20342612419700215
strict,PCA,boosting,full,calibrated,original_origins,467,1.7968653267360442,0.07922912205567452
strict,PCA,boosting,history,raw,original_origins,467,1.9217341048440304,0.2012847965738758
strict,PCA,boosting,history,calibrated,original_origins,467,1.8432156185246988,0.08779443254817987
strict,PCA,linear,base,raw,original_origins,467,1.9491773270373298,0.1777301927194861
strict,PCA,linear,base,calibrated,original_origins,467,1.874392617801335,0.09207708779443255
strict,PCA,linear,full,raw,original_origins,467,1.9369422378395167,0.1777301927194861
strict,PCA,linear,full,calibrated,original_origins,467,1.8737432878171645,0.07708779443254818
strict,PCA,linear,history,raw,original_origins,467,2.026005924034843,0.20556745182012848
strict,PCA,linear,history,calibrated,original_origins,467,1.8737315332283762,0.08779443254817987
strict,PCA,qrf,base,raw,original_origins,467,1.8123878651059564,0.18629550321199143
strict,PCA,qrf,base,calibrated,original_origins,467,1.7653718425409155,0.09207708779443255
strict,PCA,qrf,full,raw,original_origins,467,1.793702279927202,0.16059957173447537
strict,PCA,qrf,full,calibrated,original_origins,467,1.7745377245150686,0.08993576017130621
strict,PCA,qrf,history,raw,original_origins,467,1.8251040371487421,0.17987152034261242
strict,PCA,qrf,history,calibrated,original_origins,467,1.788072660910632,0.08779443254817987
