mode,definition,h,high_downside,high_account,n,days,mean_start_bp,future_q10_bp,mean_future_bp,median_delta_bp,mean_delta_bp,negative_start_n,remains_negative_rate,delta_local_bp,delta_quote_bp,delta_fx_bp,delta_market_bp,delta_g_bp
available_macro,EQ,6,0,1,53,20,-2.1933591595240385,-13.775527578958577,-0.16156466252153384,1.621284992991022,2.031794497002504,35,0.5142857142857142,0.20701268736532763,0.5871582334761742,4.546965296348301,-3.2054873080396096,-0.10385441214672105
available_macro,EQ,6,1,0,39,13,-1.9920573081763957,-11.469258651224914,-0.7649448557548237,-0.537976946896237,1.2271124524215717,23,0.7391304347826086,4.917173987716489,0.3883364089445967,3.134534605788707,-7.168136812562256,-0.04479573746618767
available_macro,EQ,6,1,1,67,23,-4.86445464934593,-16.094337482653028,-2.4929964978066628,1.4375119353760797,2.3714581515392674,46,0.6521739130434783,-2.3649605376055485,-0.13617596591552736,-1.2779323672257101,6.111375706032508,0.03915131625325209
available_macro,EQ,12,0,0,80,27,-2.98527627319949,-13.404393618366422,-2.437376462945461,0.8592578093667336,0.5478998102540291,53,0.6981132075471698,19.34653240750707,-0.6351513310008455,-17.43033329781044,-0.843183247486072,0.11003527904417983
available_macro,EQ,12,0,1,53,20,-2.1933591595240385,-12.755054101466413,-2.320322591442042,0.7246089844735719,-0.12696343191800374,35,0.6285714285714286,6.455293390717283,-0.3434427717062237,14.409168183369308,-20.772326232452638,0.12434399815484166
available_macro,EQ,12,1,0,39,13,-1.9920573081763957,-17.553002330004762,-3.205487239229594,0.7184922558553932,-1.2134299310531986,23,0.5217391304347826,5.785811627418912,-0.41784413984575564,2.5096102941914014,-9.09632713590755,0.005319423091110696
available_macro,EQ,12,1,1,67,23,-4.86445464934593,-13.032065681535398,-3.407561550305156,3.0433931559383467,1.4568930990407747,46,0.6521739130434783,-4.054977008288836,-1.1197063046524565,5.436916560155622,0.9866996209464289,0.2079602308793739
available_macro,PCA,1,0,0,80,27,-2.960478102733869,-11.849050389572666,-1.9489088798744454,1.718062954007916,1.011569222859423,53,0.6981132075471698,-0.15299236576098946,0.08760135846902979,-1.5185180095065391,2.5910270944426204,0.00445114521545819
available_macro,PCA,1,0,1,53,20,-2.182958900162125,-9.75946144658893,-1.179525005591969,2.1977284493154747,1.003433894570156,35,0.7142857142857143,-3.619038172329965,0.24654543200718249,4.278894816328981,0.1413945876571747,-0.044362769093296894
available_macro,PCA,1,1,0,39,13,-1.982380037008895,-15.454827666452484,-3.4044607422128252,1.0277888120016918,-1.4220807052039304,23,0.7391304347826086,-0.913935397156593,0.10237791901665003,2.2261389205417066,-2.8296810435091966,-0.0069811040970596564
available_macro,PCA,1,1,1,67,23,-4.8531007300817235,-21.652799216004887,-5.084009414661137,-0.1582928835815842,-0.2309086845794139,46,0.717391304347826,-0.6326177912398508,0.15158607577763186,-0.0838904989967203,0.33834727995777963,-0.004333750078817228
available_macro,PCA,6,0,0,80,27,-2.960478102733869,-10.809276706904834,-0.9368045513856768,3.071111717700668,2.0236735513481925,53,0.660377358490566,8.486337073631454,-0.011679060238275762,-6.3073380094194995,-0.18082034895295324,0.037173896327035404
available_macro,PCA,6,0,1,53,20,-2.182958900162125,-13.669542513729132,-0.15400314083403435,1.5645611559921893,2.0289557593280905,35,0.4857142857142857,0.20701268736532763,0.5871582334761742,4.546965296348301,-3.2085861586617885,-0.10359429919895449
available_macro,PCA,6,1,0,39,13,-1.982380037008895,-11.327208703469212,-0.7733653795811103,-0.2744250361244496,1.209014657427785,23,0.7391304347826086,4.917173987716489,0.3883364089445967,3.134534605788707,-7.186402600687365,-0.044627744334862406
available_macro,PCA,6,1,1,67,23,-4.8531007300817235,-15.980266496781038,-2.4945063129020135,1.51703136384537,2.35859441717971,46,0.6521739130434783,-2.3649605376055485,-0.13617596591552736,-1.2779323672257101,6.098631490583454,0.039031797342747254
available_macro,PCA,12,0,0,80,27,-2.960478102733869,-13.191777647080508,-2.4198694808547465,0.8648528721547809,0.5406086218791227,53,0.6981132075471698,19.34653240750707,-0.6351513310008455,-17.43033329781044,-0.8502954450307414,0.1098562882139447
available_macro,PCA,12,0,1,53,20,-2.182958900162125,-12.665496978994566,-2.3211285240895947,0.7783053116929426,-0.13816962392746945,35,0.6285714285714286,6.455293390717283,-0.3434427717062237,14.409168183369308,-20.78320662285744,0.12401819655017646
available_macro,PCA,12,1,0,39,13,-1.982380037008895,-17.37744346372893,-3.1781295806829597,0.749178424220446,-1.195749543674064,23,0.5217391304347826,5.785811627418912,-0.41784413984575564,2.5096102941914014,-9.078552785691254,0.005225460253952327
available_macro,PCA,12,1,1,67,23,-4.8531007300817235,-13.011873884274133,-3.3895839757222817,3.037734861235762,1.4635167543594412,46,0.6521739130434783,-4.054977008288836,-1.1197063046524565,5.436916560155622,0.9940323437410019,0.2072511634034692
