datetime_utc,BTC_BINANCE_CLOSE,ETH_BINANCE_CLOSE,XRP_BINANCE_CLOSE,SOL_BINANCE_CLOSE,DOGE_BINANCE_CLOSE,USDT_BINANCE_CLOSE,BTC_UPBIT_CLOSE,ETH_UPBIT_CLOSE,XRP_UPBIT_CLOSE,SOL_UPBIT_CLOSE,DOGE_UPBIT_CLOSE,USDT_UPBIT_CLOSE,USDKRW,BTC_KP,ETH_KP,XRP_KP,SOL_KP,DOGE_KP,USDT_KP,MKT_KP_EQ,RESIDUAL_RAW,BTC_KP_pct,ETH_KP_pct,XRP_KP_pct,SOL_KP_pct,DOGE_KP_pct,USDT_KP_pct,MKT_KP_EQ_pct,RESIDUAL_RAW_pct,VIX,SPY,DXY,XAUUSD,VIX_ret,SPY_ret,DXY_ret,XAUUSD_ret,USDKRW_ret,BTC_RET,BTC_VOL_24,BTC_RET_POS,BTC_RET_NEG,BTC_RET_ABS,BTC_DOWNSIDE_24,BTC_BIG_UP,BTC_BIG_DOWN,BTC_VOL_RATIO,BTC_VOL_RATIO_LOG,ETH_VOL_RATIO,ETH_VOL_RATIO_LOG,XRP_VOL_RATIO,XRP_VOL_RATIO_LOG,SOL_VOL_RATIO,SOL_VOL_RATIO_LOG,DOGE_VOL_RATIO,DOGE_VOL_RATIO_LOG,USDT_VOL_RATIO,USDT_VOL_RATIO_LOG
2025-07-14 09:00:00+00:00,121973.74,3044.71,2.9831,167.38,0.20754,0.9997,165489000.0,4132000.0,4053.0,227300.0,281.5,1358.0,1381.07,-0.0176028369432221,-0.0173503863656532,-0.0162310748511916,-0.0167132642342977,-0.0178882764342491,-0.0164093621201842,-0.0171571677657228,0.0007478056455385,-1.7602836943222178,-1.7350386365653223,-1.6231074851191685,-1.671326423429775,-1.7888276434249173,-1.640936212018429,-1.7157167765722805,0.0747805645538512,17.24,622.67,97.904,3355.25,0.0622210229972086,-0.0028225501859715,0.0007459064897394,0.0004352336617596,0.0028351534274362322,-0.00494178638624021,0.003522050863593256,0.0,-0.00494178638624021,0.00494178638624021,2.0914322753304537e-06,0,0,5.463429845980387,1.698076769455766,14.663207017333304,2.685341432243046,1.4763036453833027,0.3895414268248577,5.452772568037052,1.6961242073970861,3.049438716218938,1.1149575462149872,35.030427642374676,3.5562170450245367
2025-07-14 10:00:00+00:00,121905.48,3066.78,3.0095,167.58,0.20674,0.9999,165370000.0,4157000.0,4075.0,227400.0,280.4,1356.0,1382.73,-0.0189387730322437,-0.0196977110931572,-0.0207448145971771,-0.0186342683193063,-0.0191194750126497,-0.0192332461425179,-0.0194270084109068,0.0001937622683888,-1.8938773032243783,-1.969771109315721,-2.074481459717714,-1.8634268319306369,-1.9119475012649767,-1.923324614251798,-1.9427008410906847,0.0193762268388873,17.2,624.15,97.949,3343.28,-0.0023228814161395,0.0023740406716532,0.0004595283277959,-0.0035739222608484,0.0012012448075937598,-0.0005597853050591794,0.003535358235052931,0.0,-0.0005597853050591794,0.0005597853050591794,2.104488924820462e-06,0,0,6.434992715117124,1.861750708975518,11.00783716735412,2.3986074888717455,1.1087870016191492,0.10326662645833498,5.691819398846902,1.739029950779556,2.3496502750546955,0.8542664979557413,20.824366162828085,3.0361237512309156
2025-07-14 11:00:00+00:00,121467.24,3051.72,2.9772,166.53,0.20565,0.9998,164587000.0,4136000.0,4037.0,225750.0,278.9,1356.5,1382.71,-0.0200469656782341,-0.0198224698419121,-0.0193373489168455,-0.0195980346470042,-0.0191813919445353,-0.0187592812152553,-0.0195972422057063,0.0008379609904509,-2.0046965678234163,-1.982246984191216,-1.9337348916845576,-1.959803464700427,-1.9181391944535384,-1.8759281215255383,-1.9597242205706311,0.0837960990450924,17.12,623.88,98.109,3345.12,-0.0046620131058112,-0.000432681913435,0.001632170434461,0.0005502063412521,-1.4464244388889824e-05,-0.0036013935634660044,0.003668728361655406,0.0,-0.0036013935634660044,0.0036013935634660044,2.644907074777727e-06,0,0,4.448753759689458,1.4926240029533346,9.497006073217733,2.2509765987486317,1.133216044339541,0.12505964730987623,5.43587968601166,1.693021363227859,2.169631731303428,0.774557444073392,23.631059954948064,3.162561946517307
2025-07-14 12:00:00+00:00,121918.0,3050.94,2.9614,166.93,0.20575,0.9997,165682000.0,4149000.0,4028.0,226900.0,279.6,1359.5,1382.96,-0.0173522145201775,-0.0166680529916986,-0.0164809623198756,-0.0171426641134636,-0.0173752377575883,-0.0166686148610823,-0.0170038263405607,0.0003352114794783,-1.7352214520177545,-1.66680529916986,-1.6480962319875614,-1.7142664113463657,-1.737523775758831,-1.6668614861082398,-1.7003826340560746,0.0335211479478347,16.97,624.73,98.105,3347.95,-0.0088002914674611,0.0013615142138938,-4.077181037587252e-05,0.0008456508504028,0.00018078801930965227,0.003704090809941718,0.0036857092961662514,0.003704090809941718,0.0,0.003704090809941718,2.644907074777727e-06,0,0,8.823854131582817,2.177458750942264,16.303898371091346,2.791404243088232,1.5210593084356907,0.41940700557131244,6.5725302082261265,1.8828988737659398,2.3457387819213813,0.8526003978772715,29.43803767505237,3.382287636579766
2025-07-15 09:00:00+00:00,116779.99,2972.88,2.88,159.09,0.19096,1.0,159460000.0,4062000.0,3929.0,217300.0,260.9,1365.5,1383.13,-0.0127654978803604,-0.0121305875391826,-0.0136602408225466,-0.0124619382187218,-0.0122007959997205,-0.0127464518881089,-0.0126438120921064,-0.0001026397960025,-1.276549788036041,-1.2130587539182611,-1.3660240822546688,-1.246193821872188,-1.220079599972057,-1.2746451888108967,-1.2643812092106432,-0.0102639796002534,16.82,625.4,98.496,3347.49,-0.0088784247013329,0.0010718886262219,0.0039776045443487,-0.0001374069518131,0.00012291718650736527,2.1579272186045273e-05,0.0037462638619664497,2.1579272186045273e-05,0.0,2.1579272186045273e-05,1.4987551923632447e-05,0,0,9.628466092931488,2.264723928899849,12.059180450046158,2.4898262329406817,1.3895025114298019,0.3289457776329742,4.665941093095407,1.5402895488078885,2.602986649873411,0.9566594972529878,33.80855128807297,3.520713767179257
2025-07-15 10:00:00+00:00,117016.48,2974.31,2.9146,159.55,0.19218,1.0,159867000.0,4061000.0,3978.0,218000.0,262.6,1365.5,1385.45,-0.0139000463432965,-0.0145016505586101,-0.0148667869709629,-0.013791303016818,-0.0137303347415392,-0.0143996535421704,-0.0141580243262454,-0.000241629215925,-1.3900046343296557,-1.450165055861019,-1.4866786970962995,-1.379130301681808,-1.3730334741539283,-1.4399653542170432,-1.4158024326245422,-0.024162921592501,17.12,625.12,98.574,3348.24,0.0176787161687941,-0.0004478137169803,0.0007915969358407,0.0002240233710537,0.0016759497959508707,0.0020230423552316523,0.003820200834602116,0.0020230423552316523,0.0,0.0020230423552316523,1.4974495274142439e-05,0,0,12.536017984881958,2.52860593971143,9.806847848663947,2.283080901725127,1.2059467906179855,0.18726497678271956,5.5310857268907405,1.7103841302398763,4.989386032555445,1.6073128626253916,43.84193572346716,3.7805907959411558
2025-07-15 11:00:00+00:00,117113.98,2981.11,2.9049,159.86,0.192,1.0001,160166000.0,4075000.0,3969.0,218550.0,262.7,1367.0,1385.66,-0.0130278252068547,-0.0135094452984368,-0.0139629538562879,-0.0133699882913044,-0.0125794446930223,-0.0135651504202812,-0.0132899314691812,-0.0002752189511,-1.3027825206854748,-1.3509445298436895,-1.3962953856287983,-1.3369988291304424,-1.25794446930223,-1.356515042028128,-1.328993146918127,-0.0275218951100008,17.08,624.26,98.631,3328.92,-0.0023391823531722,-0.0013766830521166,0.00057807866522,-0.0057869075823049,0.00015156381406811192,0.0008328690392183091,0.003831731510007272,0.0008328690392183091,0.0,0.0008328690392183091,1.4434077124185174e-05,0,0,7.230123176951361,1.9782560729482799,11.685246749222992,2.458327084517801,1.117736997475855,0.11130610329833797,12.07517074154098,2.4911513395248757,1.8642032324128128,0.6228337405844168,25.750374639236874,3.2484491761004857
2025-07-15 12:00:00+00:00,117204.18,3000.29,2.8965,159.92,0.19274,1.0001,160504000.0,4106000.0,3963.0,219000.0,263.8,1369.0,1387.45,-0.0129812152989041,-0.0136333741681389,-0.0138722089984758,-0.0129844553975426,-0.0135261089293116,-0.013396436852765,-0.0133994725584746,3.035705709608996e-06,-1.298121529890417,-1.3633374168138923,-1.3872208998475857,-1.2984455397542671,-1.3526108929311609,-1.3396436852765037,-1.3399472558474643,0.0003035705709608,17.1,623.85,98.696,3329.42,0.0011702751481905,-0.0006569933976132,0.0006588049516889,0.000150187584575,0.0012909695241818397,0.0007698934171855853,0.003702404856480452,0.0007698934171855853,0.0,0.0007698934171855853,1.4434077124185174e-05,0,0,8.996636363847768,2.196850770128762,11.03496456362666,2.401068828432738,0.9610909049551634,-0.03968628035950628,6.473190053119327,1.8676690400344556,1.8694462391572302,0.6256422582187813,8.725710440525669,2.1662738906218006
2025-07-16 09:00:00+00:00,119193.37,3162.24,2.952,167.28,0.20149,0.9998,162600000.0,4318000.0,4030.0,228300.0,274.9,1366.5,1394.0,-0.0213989699020948,-0.0204535469762711,-0.0206770790806902,-0.0209629710441758,-0.0212799863399312,-0.019531309418268,-0.0209545106686326,0.0014232012503645,-2.139896990209489,-2.045354697627111,-2.0677079080690275,-2.096297104417588,-2.1279986339931223,-1.9531309418268084,-2.0954510668632675,0.1423201250364592,17.22,622.4909,98.845,3326.73,0.0069930354909701,-0.0021809450989138,0.0015085478787364,-0.000808275097901,0.004709782385229566,0.004147914909365724,0.005300567940052409,0.004147914909365724,0.0,0.004147914909365724,1.5728338341742826e-05,0,0,6.437803551501172,1.862187418509407,8.447140999640135,2.1338280408802413,0.8869976218201341,-0.11991297782594432,7.11310616435618,1.9619390210380245,1.9651390755410236,0.6755630191734514,83.4328657620722,4.424042305623738
2025-07-16 10:00:00+00:00,118736.25,3144.08,2.9441,166.02,0.20093,0.9998,162163000.0,4297000.0,4024.0,226800.0,274.7,1367.0,1393.6,-0.0199904589834736,-0.0193057520585548,-0.0192297650624372,-0.0197327283130648,-0.0189847976141709,-0.0188910342344013,-0.0194487004063403,0.0005576661719389,-1.9990458983473625,-1.9305752058554893,-1.9229765062437232,-1.973272831306483,-1.8984797614170927,-1.8891034234401305,-1.94487004063403,0.0557666171938996,17.19,621.41,97.951,3337.96,-0.0017436796048264,-0.0017379202347385,-0.0090856130190104,0.0033700023941634,-0.0002869852222309177,-0.003842485542037366,0.005378885543097582,0.0,-0.003842485542037366,0.003842485542037366,1.6343533972608083e-05,0,0,9.368462881864371,2.237349036033784,17.51124477111503,2.8628432329266733,1.32193186580559,0.27909420137635915,5.383864076380715,1.6834063461806386,2.9641821668166077,1.0866011653349437,115.22413279283853,4.746879212371598
2025-07-16 11:00:00+00:00,118769.06,3150.5,2.9513,166.66,0.20078,0.9998,162385000.0,4308000.0,4035.0,227950.0,274.6,1368.5,1391.58,-0.0174958080332869,-0.017374495406236,-0.0175238808790202,-0.0171210349470332,-0.0171847093221987,-0.0163887417532947,-0.017339985717555,0.0009512439642602,-1.7495808033286986,-1.7374495406236037,-1.7523880879020235,-1.712103494703321,-1.7184709322198732,-1.6388741753294744,-1.7339985717555038,0.0951243964260294,17.93,621.65,98.353,3344.26,0.0421474682222835,0.0003861438755681,0.0040956940454863,0.0018856014518036,-0.0014505348696909337,0.00027628856136807656,0.005379073310624916,0.00027628856136807656,0.0,0.00027628856136807656,1.6343533972608083e-05,0,0,6.56557264642927,1.8818397311295585,11.281408943595702,2.423156144616901,1.3959801067565063,0.3335967540642236,9.363483727641286,2.2368174143668904,4.643689921214705,1.5355092918421696,14.287804811072402,2.659406363001665
2025-07-16 12:00:00+00:00,118613.43,3164.93,2.9644,166.62,0.20134,0.9997,162320000.0,4331000.0,4052.0,227700.0,275.4,1368.0,1388.05,-0.0140995637377682,-0.0141315594403151,-0.0152465258628949,-0.0154658383054794,-0.0145632346560349,-0.0141489693044579,-0.0147013444004985,0.0005523750960405,-1.4099563737768217,-1.413155944031519,-1.5246525862894988,-1.546583830547943,-1.456323465603493,-1.414896930445797,-1.470134440049855,0.055237509604058,17.48,623.08,98.217,3349.46,-0.0254179173896522,0.0022976880594587,-0.0013837312072038,0.0015536954178099,-0.002539907755857662,-0.001311217371574358,0.005392715351733438,0.0,-0.001311217371574358,0.001311217371574358,1.6415171097421348e-05,0,0,10.249482484918868,2.3272272150335827,9.832761996009454,2.2857198708889386,1.0308988838146915,0.03043112439063293,5.526972644645149,1.7096402234350687,1.7990501877049154,0.5872588521361956,26.246803567124605,3.267544212751758
2025-07-17 09:00:00+00:00,118769.34,3466.02,3.2631,177.18,0.21606,0.9996,162016000.0,4727000.0,4453.0,241550.0,294.4,1364.0,1393.35,-0.0209759947160181,-0.0211991992551366,-0.0205955116461228,-0.0215646780401155,-0.0220802617593511,-0.0206726103797819,-0.0212831290833488,0.0006105187035669,-2.0975994716018187,-2.119919925513669,-2.059551164612284,-2.1564678040115526,-2.2080261759351183,-2.0672610379781964,-2.1283129083348884,0.061051870356692,16.93,625.4688,98.666,3319.32,-0.0319701740823452,0.0038265271085844,0.0045610924091947,-0.0090391961410141,0.0038110350289493056,0.003698102069977338,0.0030793294686806538,0.003698102069977338,0.0,0.003698102069977338,5.349356545257819e-06,0,0,5.857780970197912,1.7677708578461466,7.674305479031103,2.037877798047221,0.8878274393395067,-0.11897787994165253,3.876981910024033,1.3550569927052556,1.430132750305855,0.35776727234487377,18.65585246461037,2.926159901936253
2025-07-17 10:00:00+00:00,118340.01,3458.19,3.2738,176.34,0.21503,0.9995,161375000.0,4712000.0,4457.0,240400.0,293.3,1364.5,1391.86,-0.0202639249146048,-0.0210491740792013,-0.0218737016865707,-0.0205369142516785,-0.0200194548825105,-0.0191667327923442,-0.0207486339629132,0.0015819011705689,-2.0263924914604825,-2.104917407920137,-2.187370168657077,-2.0536914251678584,-2.001945488251056,-1.9166732792344263,-2.074863396291322,0.1581901170568955,16.87,626.66,98.658,3334.32,-0.0035502995871672,0.0019026802344361,-8.108491622316194e-05,0.0045088178536225,-0.001069937377893737,-0.0036213710610546457,0.003068107146087642,0.0,-0.0036213710610546457,0.0036213710610546457,5.28059126280273e-06,0,0,4.512449684321759,1.5068401733080277,9.667523305007713,2.2687721551514612,1.0032550267611011,0.0032497406293873618,3.5360393888540247,1.263007284095149,1.3213557006833636,0.27865825551964957,18.739928496227762,2.930656461233507
2025-07-17 11:00:00+00:00,117995.0,3433.29,3.2623,176.17,0.21579,0.9996,160937000.0,4679000.0,4448.0,240150.0,293.9,1364.0,1391.32,-0.0196858558573133,-0.0204749915317183,-0.0200275774286191,-0.02023119325677,-0.0210934307905668,-0.0192437265853068,-0.0203026097729975,0.0010588831876907,-1.9685855857313304,-2.047499153171839,-2.002757742861916,-2.023119325677003,-2.1093430790566803,-1.924372658530682,-2.0302609772997537,0.1058883187690717,16.78,626.84,98.608,3336.85,-0.0053491955188165,0.0002871958535894,-0.0005069297402569,0.0007584876779613,-0.0003880453343123591,-0.002919671064272933,0.0031182336107408747,0.0,-0.002919671064272933,0.002919671064272933,5.635777892950757e-06,0,0,3.8370478886784873,1.3447032919475483,6.772232914269668,1.9128308573991177,1.24399470450773,0.21832773748134376,3.629574886292171,1.2891155302044277,2.149686862179031,0.7653221860341107,8.10594916729791,2.0925982571894037
2025-07-17 12:00:00+00:00,117867.08,3425.61,3.2593,176.77,0.21684,0.9996,160502000.0,4661000.0,4431.0,240400.0,295.0,1361.5,1391.83,-0.0216331463910508,-0.0224139581783934,-0.0232324565810916,-0.0228984365139788,-0.0225457839985516,-0.021400014421897,-0.0225447563326132,0.0011447419107161,-2.163314639105085,-2.2413958178393423,-2.323245658109163,-2.2898436513978826,-2.254578399855167,-2.1400014421897096,-2.254475633261328,0.1144741910716184,16.72,627.02,98.712,3339.0,-0.003582093382505,0.0002871133958119,0.0010541253763456,0.0006441127569765,0.0003664912101095652,-0.0010847018099919836,0.00311529421362709,0.0,-0.0010847018099919836,0.0010847018099919836,5.613164852162487e-06,0,0,5.9227218853345605,1.7787961211585652,7.742273581330229,2.0466953888251194,1.1492528619001694,0.13911204593400758,4.254481124073649,1.4479728096008764,1.4836091455877163,0.39447773107083417,8.845424305871502,2.179900297729847
2025-07-18 09:00:00+00:00,118875.01,3620.91,3.4501,179.96,0.24057,0.9995,161714000.0,4921000.0,4699.0,244800.0,327.4,1360.5,1387.01,-0.0192067668861818,-0.020158019484161,-0.0180391579364923,-0.0192556006102019,-0.0187998303154264,-0.0186223673260124,-0.0190918750464927,0.0004695077204803,-1.920676688618184,-2.015801948416107,-1.803915793649236,-1.9255600610201928,-1.8799830315426425,-1.8622367326012408,-1.9091875046492723,0.0469507720480311,16.4,627.3799,98.252,3356.65,-0.0193242728264024,0.0005738202145515,-0.0046709128199511,0.0052720918452209,-0.003469076905366464,0.001961965291926049,0.004154007294998907,0.001961965291926049,0.0,0.001961965291926049,8.48000368291716e-06,0,0,8.426179006477053,2.1313434078691467,9.128400532383251,2.2113904911307563,1.0558671009901386,0.05436232602902993,3.501887438722245,1.2533020913488784,1.8313131645265859,0.60503328576263,11.244170487268935,2.4198498154399135
