datetime,open,high,low,close
2025-12-30 10:00:00,4365.88,4377.62,4359.68,4364.96
2025-12-30 09:00:00,4388.46,4392.13,4356.12,4365.87
2025-12-30 08:00:00,4402.65,4404.29,4376.55,4388.45
2025-12-30 07:00:00,4384.23,4402.9,4383.59,4402.63
2025-12-30 06:00:00,4385.46,4390.28,4381.32,4384.23
2025-12-30 05:00:00,4372.2,4391.72,4367.86,4385.44
2025-12-30 04:00:00,4365.31,4376.46,4364.3,4372.2
2025-12-30 03:00:00,4372.2,4373.77,4350.42,4365.33
2025-12-30 02:00:00,4364.64,4383.44,4359.38,4372.2
2025-12-30 01:00:00,4377.74,4378.47,4360.04,4364.67
2025-12-30 00:00:00,4364.11,4380.1,4359.01,4377.73
2025-12-29 23:00:00,4359.53,4369.75,4357.75,4364.09
2025-12-29 22:00:00,4362.7,4369.2,4356.6,4359.54
2025-12-29 21:00:00,4360.5,4364.82,4349.22,4362.69
2025-12-29 20:00:00,4339.73,4360.6,4324.7,4360.5
2025-12-29 19:00:00,4344.23,4350.95,4334.73,4339.75
2025-12-29 18:00:00,4334.37,4347.23,4323.86,4344.35
2025-12-29 16:00:00,4334.47,4339.32,4327.68,4332.35
2025-12-29 15:00:00,4336.95,4344.61,4326.03,4334.48
2025-12-29 14:00:00,4332.87,4338.07,4327.78,4336.99
2025-12-29 13:00:00,4328.9,4334.47,4323.07,4332.86
2025-12-29 12:00:00,4342.62,4343.0,4315.18,4328.9
2025-12-29 11:00:00,4324.83,4347.39,4323.64,4342.61
2025-12-29 10:00:00,4360.53,4360.57,4307.67,4324.84
2025-12-29 09:00:00,4420.75,4420.75,4357.15,4360.51
2025-12-29 08:00:00,4463.89,4467.63,4407.29,4420.76
2025-12-29 07:00:00,4447.13,4464.77,4445.83,4463.92
2025-12-29 06:00:00,4460.89,4467.75,4434.47,4447.14
2025-12-29 05:00:00,4472.02,4474.58,4457.37,4460.9
2025-12-29 04:00:00,4461.05,4476.36,4459.39,4472.03
2025-12-29 03:00:00,4472.77,4488.66,4452.78,4461.03
2025-12-29 02:00:00,4475.12,4481.63,4447.19,4472.76
2025-12-29 01:00:00,4506.84,4510.67,4471.49,4475.1
2025-12-29 00:00:00,4515.5,4519.43,4505.27,4506.83
2025-12-28 23:00:00,4516.56,4519.63,4508.25,4515.54
2025-12-28 22:00:00,4512.52,4520.29,4509.52,4516.57
2025-12-28 21:00:00,4497.01,4515.88,4496.61,4512.52
2025-12-28 20:00:00,4498.65,4517.5,4492.39,4497.03
2025-12-28 19:00:00,4527.42,4528.01,4472.46,4498.66
2025-12-28 18:00:00,4542.59,4549.64,4523.85,4527.4
2025-12-26 16:00:00,4531.49,4534.78,4527.24,4533.21
2025-12-26 15:00:00,4524.06,4535.48,4521.84,4531.49
2025-12-26 14:00:00,4531.56,4535.77,4520.15,4524.06
2025-12-26 13:00:00,4518.99,4532.7,4515.02,4531.54
2025-12-26 12:00:00,4536.72,4537.54,4510.21,4518.99
