datetime_utc,BTC_BINANCE_CLOSE,ETH_BINANCE_CLOSE,XRP_BINANCE_CLOSE,SOL_BINANCE_CLOSE,DOGE_BINANCE_CLOSE,USDT_BINANCE_CLOSE,BTC_UPBIT_CLOSE,ETH_UPBIT_CLOSE,XRP_UPBIT_CLOSE,SOL_UPBIT_CLOSE,DOGE_UPBIT_CLOSE,USDT_UPBIT_CLOSE,USDKRW,BTC_KP,ETH_KP,XRP_KP,SOL_KP,DOGE_KP,USDT_KP,MKT_KP_EQ,RESIDUAL_RAW,BTC_KP_pct,ETH_KP_pct,XRP_KP_pct,SOL_KP_pct,DOGE_KP_pct,USDT_KP_pct,MKT_KP_EQ_pct,RESIDUAL_RAW_pct,VIX,SPY,DXY,XAUUSD
2026-01-13 18:00:00+00:00,93633.71,3201.14,2.1066,143.47,0.14328,1.0003,137508000.0,4697000.0,3094.0,210600.0,210.0,1470.0,,,,,,,,,,,,,,,,,,,,,
2026-01-13 19:00:00+00:00,94226.84,3215.9,2.1397,144.24,0.14439,1.0001,138204000.0,4718000.0,3137.0,211600.0,212.0,1468.0,,,,,,,,,,,,,,,,,,,,,
2026-01-13 20:00:00+00:00,94408.7,3204.59,2.1329,143.82,0.1442,0.9999,138643000.0,4705000.0,3131.0,211300.0,211.0,1469.0,,,,,,,,,,,,,,,,,,,,,
2026-01-13 21:00:00+00:00,94087.23,3209.81,2.1206,143.38,0.14457,1.0,138226000.0,4714000.0,3116.0,210600.0,212.0,1470.0,,,,,,,,,,,,,,,,,,,,,
2026-01-13 22:00:00+00:00,95757.21,3331.18,2.1746,146.96,0.14967,1.0001,140302000.0,4879000.0,3186.0,215300.0,220.0,1467.0,,,,,,,,,,,,,,,,,,,,,
2026-01-13 23:00:00+00:00,95414.0,3325.82,2.1655,145.51,0.14828,1.0003,139968000.0,4870000.0,3172.0,213400.0,218.0,1467.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 00:00:00+00:00,95236.84,3324.57,2.167,145.05,0.14828,1.0003,139694000.0,4873000.0,3177.0,212900.0,217.0,1468.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 01:00:00+00:00,95245.6,3336.7,2.1749,145.7,0.14765,1.0004,139859000.0,4897000.0,3190.0,213900.0,216.0,1468.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 02:00:00+00:00,95347.46,3327.11,2.1714,145.51,0.14831,1.0004,140081000.0,4884000.0,3187.0,213800.0,217.0,1470.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 03:00:00+00:00,95720.99,3351.95,2.1838,146.29,0.14961,1.0004,140493000.0,4917000.0,3208.0,214800.0,219.0,1469.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 04:00:00+00:00,95245.16,3338.9,2.1628,144.91,0.14856,1.0003,140044000.0,4904000.0,3179.0,213100.0,219.0,1471.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 05:00:00+00:00,95005.0,3330.52,2.1527,144.47,0.1477,1.0001,139614000.0,4888000.0,3159.0,212100.0,217.0,1469.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 06:00:00+00:00,95028.87,3334.33,2.1489,144.7,0.14816,1.0001,139485000.0,4894000.0,3155.0,212300.0,218.0,1468.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 07:00:00+00:00,95205.1,3335.78,2.1484,144.86,0.14847,1.0003,139679000.0,4890000.0,3153.0,212400.0,218.0,1468.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 08:00:00+00:00,94900.01,3327.35,2.1423,144.91,0.14786,1.0002,139308000.0,4883000.0,3144.0,212800.0,217.0,1468.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 09:00:00+00:00,95088.24,3328.32,2.147,145.5,0.14821,1.0002,139425000.0,4880000.0,3150.0,213300.0,217.0,1468.0,1464.83,0.0009828075357065647,0.0009387932931190779,0.0015930066499640905,0.0007846517638900874,-0.00047191682070268914,0.001963680910589183,0.0007654684843954263,0.0011982124261937567,0.09828075357065647,0.09387932931190779,0.15930066499640905,0.07846517638900874,-0.047191682070268914,0.19636809105891828,0.07654684843954263,0.11982124261937567,16.89,688.68,99.014,4615.7
2026-01-14 10:00:00+00:00,95091.75,3312.99,2.1354,144.74,0.14737,1.0002,139685000.0,4865000.0,3136.0,212600.0,216.0,1469.0,1465.16,0.0025865604241037676,0.002253694975858922,0.002332383989046116,0.002512135084026701,0.00036759248198769967,0.002420390092720437,0.0020104733910046415,0.00040991670171579547,0.25865604241037676,0.2253694975858922,0.23323839890461162,0.2512135084026701,0.03675924819876997,0.2420390092720437,0.20104733910046416,0.04099167017157955,17.81,689.075,98.98,4619.29
2026-01-14 11:00:00+00:00,94792.99,3286.22,2.1156,143.77,0.146,1.0003,139003000.0,4823000.0,3103.0,210800.0,214.0,1469.0,1464.7,0.0011502719661740102,0.002009746509538335,0.0013814352182113243,0.0010451186468543039,0.0007192084778686603,0.0026349642727854228,0.0012611561637293268,0.001373808109056096,0.11502719661740102,0.2009746509538335,0.13814352182113243,0.10451186468543039,0.07192084778686603,0.2634964272785423,0.12611561637293267,0.1373808109056096,17.59,687.06,99.024,4617.24
2026-01-14 12:00:00+00:00,95077.56,3296.44,2.1253,144.57,0.14663,1.0002,139544000.0,4841000.0,3123.0,212100.0,216.0,1469.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 13:00:00+00:00,94998.19,3302.79,2.116,144.24,0.14578,1.0001,139542000.0,4855000.0,3112.0,211900.0,214.0,1470.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 14:00:00+00:00,96493.15,3349.21,2.1598,146.64,0.14838,1.0001,141234000.0,4900000.0,3159.0,214600.0,218.0,1464.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 15:00:00+00:00,96764.57,3345.81,2.1563,147.07,0.14899,0.9999,141603000.0,4902000.0,3155.0,215200.0,218.0,1464.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 16:00:00+00:00,97293.24,3370.26,2.1601,147.08,0.14976,0.9997,142250000.0,4923000.0,3158.0,215000.0,219.0,1462.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 17:00:00+00:00,96956.07,3342.41,2.1387,145.98,0.148,0.9998,141926000.0,4890000.0,3133.0,213800.0,217.0,1464.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 18:00:00+00:00,96806.55,3339.41,2.14,146.35,0.14766,0.9998,141850000.0,4892000.0,3135.0,214400.0,216.0,1466.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 19:00:00+00:00,97267.42,3367.42,2.1462,146.8,0.14789,0.9999,142300000.0,4927000.0,3140.0,214700.0,217.0,1463.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 20:00:00+00:00,97655.28,3383.68,2.1495,147.52,0.14729,0.9998,142961000.0,4951000.0,3148.0,215800.0,215.0,1464.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 21:00:00+00:00,97564.0,3372.99,2.1477,146.93,0.14749,0.9998,142952000.0,4940000.0,3147.0,215300.0,216.0,1465.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 22:00:00+00:00,96878.34,3349.09,2.1358,146.18,0.1466,0.9998,142044000.0,4903000.0,3131.0,214200.0,215.0,1465.0,,,,,,,,,,,,,,,,,,,,,
2026-01-14 23:00:00+00:00,96951.78,3354.92,2.1394,146.69,0.14718,0.9999,142160000.0,4917000.0,3133.0,214900.0,215.0,1465.0,,,,,,,,,,,,,,,,,,,,,
2026-01-15 00:00:00+00:00,96658.03,3331.35,2.1327,146.05,0.14585,0.9999,141496000.0,4875000.0,3122.0,213800.0,214.0,1465.0,,,,,,,,,,,,,,,,,,,,,
2026-01-15 01:00:00+00:00,96445.31,3325.04,2.1192,145.18,0.14466,0.9998,141422000.0,4875000.0,3107.0,212700.0,213.0,1467.0,,,,,,,,,,,,,,,,,,,,,
