scenario,scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd
clock_UTC_quote,core,all,1,ml,M2,0.1,account_ls,2523,estimated,1.7153076126788709,1.065620741714713
clock_UTC_quote,core,all,1,ml,M2,0.5,e_origin,2523,estimated,0.3890189932040448,3.7699015990676896
clock_UTC_quote,core,all,1,ml,M2,0.5,downside,2523,estimated,-107629.1909744392,-1.8155741900236653
clock_UTC_quote,core,all,1,ml,M2,0.5,btc_vol,2523,estimated,233.89784473702744,0.4569329965912053
clock_UTC_quote,core,all,1,ml,M2,0.5,btc_ret,2523,estimated,108.83146039002054,0.4969304516181738
clock_UTC_quote,core,all,1,ml,M2,0.5,account_ls,2523,estimated,1.3731773723903833,0.8530751448057895
clock_UTC_quote,core,all,1,ml,M2,0.9,e_origin,2523,estimated,0.3350185500196157,3.246594612345411
clock_UTC_quote,core,all,1,ml,M2,0.9,downside,2523,estimated,-87854.16268518669,-1.4819933961525926
clock_UTC_quote,core,all,1,ml,M2,0.9,btc_vol,2523,estimated,590.1157307813039,1.1528252836389818
clock_UTC_quote,core,all,1,ml,M2,0.9,btc_ret,2523,estimated,69.95885256794783,0.319435979970249
clock_UTC_quote,core,all,1,ml,M2,0.9,account_ls,2523,estimated,1.965549634314473,1.221081538794171
clock_UTC_quote,core,all,1,joint_linear,M0,0.1,e_origin,2523,estimated,0.4624624184464682,4.468498692237436
clock_UTC_quote,core,all,1,joint_linear,M0,0.1,downside,2523,estimated,-139919.33913897307,-2.360269909361466
clock_UTC_quote,core,all,1,joint_linear,M0,0.5,e_origin,2523,estimated,0.3788351640802194,3.6604583804942528
clock_UTC_quote,core,all,1,joint_linear,M0,0.5,downside,2523,estimated,-71664.13220128394,-1.2088871763980376
clock_UTC_quote,core,all,1,joint_linear,M0,0.9,e_origin,2523,estimated,0.342036963160784,3.304899299093521
clock_UTC_quote,core,all,1,joint_linear,M0,0.9,downside,2523,estimated,21372.28369940983,0.3605245595103217
clock_UTC_quote,core,all,1,joint_linear,M1,0.1,e_origin,2523,estimated,0.4660737723317383,4.503393052232666
clock_UTC_quote,core,all,1,joint_linear,M1,0.1,downside,2523,estimated,-110231.04467068792,-1.859464312901656
clock_UTC_quote,core,all,1,joint_linear,M1,0.1,btc_vol,2523,estimated,-254.03435413644385,-0.4962708348304037
clock_UTC_quote,core,all,1,joint_linear,M1,0.1,btc_ret,2523,estimated,267.2837947965485,1.220432551235409
clock_UTC_quote,core,all,1,joint_linear,M1,0.5,e_origin,2523,estimated,0.3858505435528006,3.7282438107224767
clock_UTC_quote,core,all,1,joint_linear,M1,0.5,downside,2523,estimated,-100884.35332783002,-1.7017969420836352
clock_UTC_quote,core,all,1,joint_linear,M1,0.5,btc_vol,2523,estimated,240.4790093130564,0.4697896830397947
clock_UTC_quote,core,all,1,joint_linear,M1,0.5,btc_ret,2523,estimated,119.88513216212826,0.5474021266840744
clock_UTC_quote,core,all,1,joint_linear,M1,0.9,e_origin,2523,estimated,0.332007134219922,3.2079870404581854
clock_UTC_quote,core,all,1,joint_linear,M1,0.9,downside,2523,estimated,-33310.62271426569,-0.5619098899293938
clock_UTC_quote,core,all,1,joint_linear,M1,0.9,btc_vol,2523,estimated,479.32964507284345,0.9363982439615052
clock_UTC_quote,core,all,1,joint_linear,M1,0.9,btc_ret,2523,estimated,120.71053131887416,0.5511709447653267
clock_UTC_quote,core,all,1,joint_linear,M2,0.1,e_origin,2523,estimated,0.453811506231075,4.38491008399765
clock_UTC_quote,core,all,1,joint_linear,M2,0.1,downside,2523,estimated,-135584.2031038943,-2.2871414111885144
clock_UTC_quote,core,all,1,joint_linear,M2,0.1,btc_vol,2523,estimated,-182.7881397235515,-0.3570872254899076
clock_UTC_quote,core,all,1,joint_linear,M2,0.1,btc_ret,2523,estimated,280.7511068930294,1.2819250411662049
clock_UTC_quote,core,all,1,joint_linear,M2,0.1,account_ls,2523,estimated,0.5812603135171391,0.3611031874639159
clock_UTC_quote,core,all,1,joint_linear,M2,0.5,e_origin,2523,estimated,0.3830985807567366,3.701653234570132
clock_UTC_quote,core,all,1,joint_linear,M2,0.5,downside,2523,estimated,-119849.28663482387,-2.0217124140477005
clock_UTC_quote,core,all,1,joint_linear,M2,0.5,btc_vol,2523,estimated,278.36258111727966,0.543797436320052
clock_UTC_quote,core,all,1,joint_linear,M2,0.5,btc_ret,2523,estimated,106.86185422051992,0.4879371211987133
clock_UTC_quote,core,all,1,joint_linear,M2,0.5,account_ls,2523,estimated,0.7194286120071791,0.4469391061237025
clock_UTC_quote,core,all,1,joint_linear,M2,0.9,e_origin,2523,estimated,0.3299645121872682,3.188250401290162
clock_UTC_quote,core,all,1,joint_linear,M2,0.9,downside,2523,estimated,-86476.74531072471,-1.4587580321094191
clock_UTC_quote,core,all,1,joint_linear,M2,0.9,btc_vol,2523,estimated,569.3035608755862,1.1121675034389258
clock_UTC_quote,core,all,1,joint_linear,M2,0.9,btc_ret,2523,estimated,96.17465292326924,0.439138770536646
clock_UTC_quote,core,all,1,joint_linear,M2,0.9,account_ls,2523,estimated,1.475310837531745,0.9165247197236424
clock_UTC_quote,core,matched,1,linear,M0,0.1,e_origin,724,estimated,0.4581893482116411,4.62964529578071
clock_UTC_quote,core,matched,1,linear,M0,0.1,downside,724,estimated,-202980.4262969597,-3.1921104524620403
clock_UTC_quote,core,matched,1,linear,M0,0.5,e_origin,724,estimated,0.4476555441324899,4.5232094375660585
clock_UTC_quote,core,matched,1,linear,M0,0.5,downside,724,estimated,-89222.03064096993,-1.403123354279774
clock_UTC_quote,core,matched,1,linear,M0,0.9,e_origin,724,estimated,0.4328329577917623,4.3734387862152655
clock_UTC_quote,core,matched,1,linear,M0,0.9,downside,724,estimated,12054.664451241351,0.1895740446393301
clock_UTC_quote,core,matched,1,linear,M1,0.1,e_origin,724,estimated,0.4801316943941261,4.851355556350126
clock_UTC_quote,core,matched,1,linear,M1,0.1,downside,724,estimated,-212410.3186822612,-3.3404068108738363
clock_UTC_quote,core,matched,1,linear,M1,0.1,btc_vol,724,estimated,137.84924128236474,0.2667167356504248
clock_UTC_quote,core,matched,1,linear,M1,0.1,btc_ret,724,estimated,249.10392825477211,1.1058882369934415
clock_UTC_quote,core,matched,1,linear,M1,0.5,e_origin,724,estimated,0.4457935788310194,4.50439573329182
clock_UTC_quote,core,matched,1,linear,M1,0.5,downside,724,estimated,-169156.81231792632,-2.660193588889413
clock_UTC_quote,core,matched,1,linear,M1,0.5,btc_vol,724,estimated,775.4574394354279,1.500388939090331
