scenario,block_days,scope,sample,h,method,q,term,metric,point,ci_low,ci_high,successful
clock_UTC_quote,3,core,all,6,ml,0.1,account_ls,coef_raw,2.657899307577192,0.4355080060981205,4.928323365916629,199
clock_UTC_quote,3,core,all,6,ml,0.1,account_ls,effect_bp_per_sd,1.683846756232435,0.27590538937686154,3.1222180952098477,199
clock_UTC_quote,3,core,all,6,ml,0.5,e_origin,coef_raw,0.2361874361037055,0.1362922009874631,0.34992180856889155,199
clock_UTC_quote,3,core,all,6,ml,0.5,e_origin,effect_bp_per_sd,2.296402269623349,1.325141272722684,3.402218376406274,199
clock_UTC_quote,3,core,all,6,ml,0.5,downside,coef_raw,-75805.79860159449,-169885.60988972607,10923.577779480664,199
clock_UTC_quote,3,core,all,6,ml,0.5,downside,effect_bp_per_sd,-1.2368259278832563,-2.7718054682093105,0.17822599949005627,199
clock_UTC_quote,3,core,all,6,ml,0.5,btc_vol,coef_raw,4.771123887365216,-660.6935733769486,740.7432922304923,199
clock_UTC_quote,3,core,all,6,ml,0.5,btc_vol,effect_bp_per_sd,0.0092578090588673,-1.2819987686637795,1.4373259053840488,199
clock_UTC_quote,3,core,all,6,ml,0.5,account_ls,coef_raw,2.407503882323635,1.148453259172523,3.591867699503621,199
clock_UTC_quote,3,core,all,6,ml,0.5,account_ls,effect_bp_per_sd,1.525214891064835,0.7275743251933023,2.275539467346649,199
clock_UTC_quote,3,core,all,6,joint_linear,0.1,e_origin,coef_raw,0.3290422153587279,0.15491074866745255,0.4691827565268496,199
clock_UTC_quote,3,core,all,6,joint_linear,0.1,e_origin,effect_bp_per_sd,3.203362345666604,1.5081203446169842,4.567688598423807,199
clock_UTC_quote,3,core,all,6,joint_linear,0.1,downside,coef_raw,-59182.43405638198,-264357.71778241603,132025.98760534837,199
clock_UTC_quote,3,core,all,6,joint_linear,0.1,downside,effect_bp_per_sd,-0.9656038227481272,-4.313185608765018,2.1540985998035986,199
clock_UTC_quote,3,core,all,6,joint_linear,0.1,btc_vol,coef_raw,-383.00826467690143,-1662.1277977407995,612.6635721421877,199
clock_UTC_quote,3,core,all,6,joint_linear,0.1,btc_vol,effect_bp_per_sd,-0.7431828361734295,-3.2251650022480587,1.1888021569165768,199
clock_UTC_quote,3,core,all,6,joint_linear,0.1,account_ls,coef_raw,1.4471369918891352,-0.47871111615742196,3.9188167715647033,199
clock_UTC_quote,3,core,all,6,joint_linear,0.1,account_ls,effect_bp_per_sd,0.9167980602838224,-0.30327565751498015,2.4826700132156327,199
clock_UTC_quote,3,core,all,6,joint_linear,0.5,e_origin,coef_raw,0.2361721451937052,0.12002625166871445,0.37054834909506346,199
clock_UTC_quote,3,core,all,6,joint_linear,0.5,e_origin,effect_bp_per_sd,2.2992337204635644,1.1685053076484062,3.6074417607660467,199
clock_UTC_quote,3,core,all,6,joint_linear,0.5,downside,coef_raw,-65817.24244843744,-178300.46869847807,13989.511436294708,199
clock_UTC_quote,3,core,all,6,joint_linear,0.5,downside,effect_bp_per_sd,-1.073855476278745,-2.909099919902118,0.22824890420011593,199
clock_UTC_quote,3,core,all,6,joint_linear,0.5,btc_vol,coef_raw,-48.55904476461181,-576.421174706841,711.6408907829723,199
clock_UTC_quote,3,core,all,6,joint_linear,0.5,btc_vol,effect_bp_per_sd,-0.0942231589714652,-1.1184780145943551,1.3808560919572528,199
clock_UTC_quote,3,core,all,6,joint_linear,0.5,account_ls,coef_raw,1.5084879536486056,0.44031960749349897,2.766699012614398,199
clock_UTC_quote,3,core,all,6,joint_linear,0.5,account_ls,effect_bp_per_sd,0.9556654536632174,0.27895366113749376,1.752774134287604,199
clock_UTC_quote,3,core,matched,6,linear,0.1,e_origin,coef_raw,0.2430376666823717,0.10022108296821554,0.44422333866625885,199
clock_UTC_quote,3,core,matched,6,linear,0.1,e_origin,effect_bp_per_sd,2.455705691643085,1.0126557221656058,4.488529683545348,199
clock_UTC_quote,3,core,matched,6,linear,0.1,downside,coef_raw,-29878.6470271715,-110786.88602860243,266050.8625712341,199
clock_UTC_quote,3,core,matched,6,linear,0.1,downside,effect_bp_per_sd,-0.4698775306606328,-1.7422565482754606,4.183968645615653,199
clock_UTC_quote,3,core,matched,6,linear,0.1,btc_vol,coef_raw,-453.4082251965954,-1782.0218095416037,622.8750252589733,199
clock_UTC_quote,3,core,matched,6,linear,0.1,btc_vol,effect_bp_per_sd,-0.8772740467521135,-3.447933666353845,1.2051658167269332,199
clock_UTC_quote,3,core,matched,6,linear,0.1,account_ls,coef_raw,1.7220837945017144,-2.402249148699139,3.6075218092608625,199
clock_UTC_quote,3,core,matched,6,linear,0.1,account_ls,effect_bp_per_sd,1.0881029869614909,-1.5178671807207635,2.2794217498116978,199
clock_UTC_quote,3,core,matched,6,pca,0.1,e_origin,coef_raw,0.2354977473184714,0.09813071143990443,0.4399067005458213,199
clock_UTC_quote,3,core,matched,6,pca,0.1,e_origin,effect_bp_per_sd,2.368735636824166,0.9870400710893706,4.424767074529431,199
clock_UTC_quote,3,core,matched,6,pca,0.1,downside,coef_raw,-39214.52311391082,-113573.86432656957,264219.7649108028,199
clock_UTC_quote,3,core,matched,6,pca,0.1,downside,effect_bp_per_sd,-0.6166953701097038,-1.7860851218873344,4.155172440543198,199
clock_UTC_quote,3,core,matched,6,pca,0.1,btc_vol,coef_raw,-396.0002378671914,-1750.1388164600016,644.6309109358964,199
clock_UTC_quote,3,core,matched,6,pca,0.1,btc_vol,effect_bp_per_sd,-0.7661985643024438,-3.3862450581440147,1.247260055004581,199
clock_UTC_quote,3,core,matched,6,pca,0.1,account_ls,coef_raw,1.73315734092503,-2.3470921137345,3.610653086954024,199
clock_UTC_quote,3,core,matched,6,pca,0.1,account_ls,effect_bp_per_sd,1.095099835185681,-1.4830160691264354,2.281400255516132,199
clock_UTC_quote,3,core,matched,6,ml,0.1,e_origin,coef_raw,0.212359011435386,0.07049705241171375,0.4137280977427595,199
clock_UTC_quote,3,core,matched,6,ml,0.1,e_origin,effect_bp_per_sd,2.138099651708558,0.7097872710423097,4.165549159918704,199
clock_UTC_quote,3,core,matched,6,ml,0.1,downside,coef_raw,-43007.05773206977,-160117.10485129745,244935.18735852942,199
clock_UTC_quote,3,core,matched,6,ml,0.1,downside,effect_bp_per_sd,-0.6763375219014139,-2.518033355915967,3.8518993481620303,199
clock_UTC_quote,3,core,matched,6,ml,0.1,btc_vol,coef_raw,-364.1983740931348,-1692.9158822882894,792.2997618205126,199
clock_UTC_quote,3,core,matched,6,ml,0.1,btc_vol,effect_bp_per_sd,-0.7046669286219722,-3.275527624630141,1.532976200402277,199
clock_UTC_quote,3,core,matched,6,ml,0.1,account_ls,coef_raw,2.679775211687069,-1.002841206323936,5.2193782587058495,199
clock_UTC_quote,3,core,matched,6,ml,0.1,account_ls,effect_bp_per_sd,1.6932227232681034,-0.633647744397291,3.2978773109138886,199
clock_UTC_quote,3,core,matched,6,joint_linear,0.1,e_origin,coef_raw,0.2596670384002391,0.10596460264710303,0.44390403882851875,199
clock_UTC_quote,3,core,matched,6,joint_linear,0.1,e_origin,effect_bp_per_sd,2.630413749971796,1.0734159773625738,4.496725093012323,199
clock_UTC_quote,3,core,matched,6,joint_linear,0.1,downside,coef_raw,-17878.372039426198,-111787.07507043054,267585.41645757476,199
clock_UTC_quote,3,core,matched,6,joint_linear,0.1,downside,effect_bp_per_sd,-0.2811588255143607,-1.7579857195709558,4.208101344466564,199
clock_UTC_quote,3,core,matched,6,joint_linear,0.1,btc_vol,coef_raw,-471.41727971422046,-1774.06570531864,567.0671351428472,199
clock_UTC_quote,3,core,matched,6,joint_linear,0.1,btc_vol,effect_bp_per_sd,-0.9121187523769532,-3.4325398482442706,1.0971862722851828,199
clock_UTC_quote,3,core,matched,6,joint_linear,0.1,account_ls,coef_raw,1.4982911339054854,-2.360770371793924,3.602419703073275,199
clock_UTC_quote,3,core,matched,6,joint_linear,0.1,account_ls,effect_bp_per_sd,0.946699030178264,-1.491658710964428,2.276197971154565,199
clock_UTC_quote,3,core,matched,12,linear,0.1,e_origin,coef_raw,0.294473638182391,0.08566555673703695,0.3952069410263306,199
clock_UTC_quote,3,core,matched,12,linear,0.1,e_origin,effect_bp_per_sd,2.975425987233591,0.8655835045184546,3.993257290951467,199
clock_UTC_quote,3,core,matched,12,linear,0.1,downside,coef_raw,50035.98786037232,-48837.81031429915,266505.91808586725,199
clock_UTC_quote,3,core,matched,12,linear,0.1,downside,effect_bp_per_sd,0.786875871541859,-0.7680330937504185,4.191124938915507,199
clock_UTC_quote,3,core,matched,12,linear,0.1,btc_vol,coef_raw,-685.1960081112535,-2222.42192756045,130.05501865769693,199
clock_UTC_quote,3,core,matched,12,linear,0.1,btc_vol,effect_bp_per_sd,-1.3257471775981071,-4.300039058921394,0.25163613313099664,199
clock_UTC_quote,3,core,matched,12,linear,0.1,account_ls,coef_raw,-0.1951314250103969,-1.6207818471915916,2.143313685347282,199
clock_UTC_quote,3,core,matched,12,linear,0.1,account_ls,effect_bp_per_sd,-0.1232942828228058,-1.0240950961694784,1.3542581554207276,199
clock_UTC_quote,3,core,matched,12,pca,0.1,e_origin,coef_raw,0.295696934037894,0.0847351682497443,0.3956080126415946,199
clock_UTC_quote,3,core,matched,12,pca,0.1,e_origin,effect_bp_per_sd,2.974244438983921,0.8523020496413803,3.979192193673392,199
clock_UTC_quote,3,core,matched,12,pca,0.1,downside,coef_raw,49528.31460338368,-43074.10557649654,237156.85189042593,199
clock_UTC_quote,3,core,matched,12,pca,0.1,downside,effect_bp_per_sd,0.7788921011870859,-0.6773919296042366,3.729575701476194,199
