scenario,method,info,algorithm,q,period,n,days,pinball,below_rate
clock_UTC_quote,pca,without_positioning,linear_qr,0.9,all,577,67,1.7009819341400692,0.8873483535528596
clock_UTC_quote,pca,without_positioning,linear_qr,0.9,2026-01,220,26,1.5008803036338514,0.9
clock_UTC_quote,pca,without_positioning,linear_qr,0.9,2026-02,204,24,1.7857539761178511,0.8431372549019608
clock_UTC_quote,pca,without_positioning,linear_qr,0.9,2026-03,153,17,1.8756803795511825,0.9281045751633988
clock_UTC_quote,pca,without_positioning,quantile_lightgbm,0.1,all,577,67,1.8804653060746923,0.1750433275563258
clock_UTC_quote,pca,without_positioning,quantile_lightgbm,0.1,2026-01,220,26,1.701070426944882,0.1772727272727272
clock_UTC_quote,pca,without_positioning,quantile_lightgbm,0.1,2026-02,204,24,1.884981202675429,0.1470588235294117
clock_UTC_quote,pca,without_positioning,quantile_lightgbm,0.1,2026-03,153,17,2.132397531578014,0.2091503267973856
clock_UTC_quote,pca,without_positioning,quantile_lightgbm,0.5,all,577,67,3.8616620158219166,0.5823223570190641
clock_UTC_quote,pca,without_positioning,quantile_lightgbm,0.5,2026-01,220,26,3.477444296289572,0.6318181818181818
clock_UTC_quote,pca,without_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.036419413247838,0.5
clock_UTC_quote,pca,without_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.181122076097915,0.6209150326797386
clock_UTC_quote,pca,without_positioning,quantile_lightgbm,0.9,all,577,67,1.7201615909797947,0.8700173310225303
clock_UTC_quote,pca,without_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.4863259419566743,0.9045454545454544
clock_UTC_quote,pca,without_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.8313127420283184,0.803921568627451
clock_UTC_quote,pca,without_positioning,quantile_lightgbm,0.9,2026-03,153,17,1.9081943228176224,0.9084967320261438
clock_UTC_quote,pca,with_positioning,linear_qr,0.1,all,577,67,1.861945262979372,0.1854419410745234
clock_UTC_quote,pca,with_positioning,linear_qr,0.1,2026-01,220,26,1.6363313240023054,0.1681818181818181
clock_UTC_quote,pca,with_positioning,linear_qr,0.1,2026-02,204,24,1.8197847787011732,0.142156862745098
clock_UTC_quote,pca,with_positioning,linear_qr,0.1,2026-03,153,17,2.242571441853276,0.2679738562091503
clock_UTC_quote,pca,with_positioning,linear_qr,0.5,all,577,67,3.793118390751648,0.5528596187175043
clock_UTC_quote,pca,with_positioning,linear_qr,0.5,2026-01,220,26,3.4106095644005423,0.6
clock_UTC_quote,pca,with_positioning,linear_qr,0.5,2026-02,204,24,4.052057590388569,0.5
clock_UTC_quote,pca,with_positioning,linear_qr,0.5,2026-03,153,17,3.9978788160543366,0.5555555555555556
clock_UTC_quote,pca,with_positioning,linear_qr,0.9,all,577,67,1.7009819341400692,0.8873483535528596
clock_UTC_quote,pca,with_positioning,linear_qr,0.9,2026-01,220,26,1.5008803036338514,0.9
clock_UTC_quote,pca,with_positioning,linear_qr,0.9,2026-02,204,24,1.7857539761178511,0.8431372549019608
clock_UTC_quote,pca,with_positioning,linear_qr,0.9,2026-03,153,17,1.8756803795511825,0.9281045751633988
clock_UTC_quote,pca,with_positioning,quantile_lightgbm,0.1,all,577,67,1.9066265158450668,0.1819757365684575
clock_UTC_quote,pca,with_positioning,quantile_lightgbm,0.1,2026-01,220,26,1.709706857391769,0.1818181818181818
clock_UTC_quote,pca,with_positioning,quantile_lightgbm,0.1,2026-02,204,24,1.896160684082756,0.142156862745098
clock_UTC_quote,pca,with_positioning,quantile_lightgbm,0.1,2026-03,153,17,2.20373340825838,0.2352941176470588
clock_UTC_quote,pca,with_positioning,quantile_lightgbm,0.5,all,577,67,3.902566269365384,0.5753899480069324
clock_UTC_quote,pca,with_positioning,quantile_lightgbm,0.5,2026-01,220,26,3.4765196419679536,0.6
clock_UTC_quote,pca,with_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.0153213642476535,0.5
clock_UTC_quote,pca,with_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.364842208394479,0.6405228758169934
clock_UTC_quote,pca,with_positioning,quantile_lightgbm,0.9,all,577,67,1.722451562661578,0.8717504332755632
clock_UTC_quote,pca,with_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.494667678203993,0.9045454545454544
clock_UTC_quote,pca,with_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.8467526366226643,0.8088235294117647
clock_UTC_quote,pca,with_positioning,quantile_lightgbm,0.9,2026-03,153,17,1.8842491802603163,0.9084967320261438
