scenario,method,q,contrast,conditioning,block_days,delta_pinball_bp,relative_change_pct,ci_low,ci_high,n,repetitions
clock_UTC_quote,joint_linear,0.5,add_positioning,quantile_lightgbm,3,0.051392475118245,1.3204563266915463,0.0127038348030526,0.093419126432808,577,2000
clock_UTC_quote,joint_linear,0.5,ML_minus_linear,without_positioning,3,0.0641871804271327,1.6768526461704822,-0.0280824961820511,0.1600332470153246,577,2000
clock_UTC_quote,joint_linear,0.5,ML_minus_linear,with_positioning,3,0.1155796555453778,3.019451079717681,0.0094969408799233,0.2358179804736729,577,2000
clock_UTC_quote,joint_linear,0.5,add_positioning,linear_qr,7,0.0,0.0,-1.1102230246250934e-17,0.0,577,2000
clock_UTC_quote,joint_linear,0.5,add_positioning,quantile_lightgbm,7,0.051392475118245,1.3204563266915463,0.0181873395697141,0.0821282016490423,577,2000
clock_UTC_quote,joint_linear,0.5,ML_minus_linear,without_positioning,7,0.0641871804271327,1.6768526461704822,-0.0231441734954451,0.1477705340861497,577,2000
clock_UTC_quote,joint_linear,0.5,ML_minus_linear,with_positioning,7,0.1155796555453778,3.019451079717681,0.0172503991472933,0.2066613638338986,577,2000
clock_UTC_quote,joint_linear,0.9,add_positioning,linear_qr,3,0.0,0.0,0.0,0.0,577,2000
clock_UTC_quote,joint_linear,0.9,add_positioning,quantile_lightgbm,3,0.0108544155769441,0.6251591538001516,-0.0061136210349718,0.0306968327636294,577,2000
clock_UTC_quote,joint_linear,0.9,ML_minus_linear,without_positioning,3,0.0188200793038149,1.0958189166280494,-0.0291191293934053,0.068997698620262,577,2000
clock_UTC_quote,joint_linear,0.9,ML_minus_linear,with_positioning,3,0.029674494880759,1.727828682694575,-0.0157668427368767,0.0780797508238089,577,2000
clock_UTC_quote,joint_linear,0.9,add_positioning,linear_qr,7,0.0,0.0,0.0,0.0,577,2000
clock_UTC_quote,joint_linear,0.9,add_positioning,quantile_lightgbm,7,0.0108544155769441,0.6251591538001516,-0.0027989958217193,0.0264345690277274,577,2000
clock_UTC_quote,joint_linear,0.9,ML_minus_linear,without_positioning,7,0.0188200793038149,1.0958189166280494,-0.0263122555561878,0.0722406393528187,577,2000
clock_UTC_quote,joint_linear,0.9,ML_minus_linear,with_positioning,7,0.029674494880759,1.727828682694575,-0.0143755702231595,0.0802618694654311,577,2000
clock_NY_quote,linear,0.1,add_positioning,linear_qr,3,-0.0007079399950589,-0.034104369650724,-0.0012082206975085,-0.0002571140817389,577,2000
clock_NY_quote,linear,0.1,add_positioning,quantile_lightgbm,3,-0.0084988459217001,-0.4049768692365952,-0.0288044617137539,0.0152260575806953,577,2000
clock_NY_quote,linear,0.1,ML_minus_linear,without_positioning,3,0.0227959633469452,1.098174938490201,-0.097589929178632,0.1353018520332397,577,2000
clock_NY_quote,linear,0.1,ML_minus_linear,with_positioning,3,0.015005057420304,0.7231016936942597,-0.1134681838849964,0.1360552830090273,577,2000
clock_NY_quote,linear,0.1,add_positioning,linear_qr,7,-0.0007079399950589,-0.034104369650724,-0.001125507520558,-0.000352980620052,577,2000
clock_NY_quote,linear,0.1,add_positioning,quantile_lightgbm,7,-0.0084988459217001,-0.4049768692365952,-0.0277977067367436,0.0131157653850895,577,2000
clock_NY_quote,linear,0.1,ML_minus_linear,without_positioning,7,0.0227959633469452,1.098174938490201,-0.0717844171380808,0.1079932173638043,577,2000
clock_NY_quote,linear,0.1,ML_minus_linear,with_positioning,7,0.015005057420304,0.7231016936942597,-0.0845773956153114,0.1101909788205324,577,2000
clock_NY_quote,linear,0.5,add_positioning,linear_qr,3,0.0005106442193376,0.0126137423861766,-0.0015735092613055,0.0028651974224756,577,2000
clock_NY_quote,linear,0.5,add_positioning,quantile_lightgbm,3,0.034381633289712,0.8228605077610447,-0.0347856588183703,0.1026741377012684,577,2000
clock_NY_quote,linear,0.5,ML_minus_linear,without_positioning,3,0.1299898637099916,3.2109609617803563,0.0022999006549027,0.2513144438321278,577,2000
clock_NY_quote,linear,0.5,ML_minus_linear,with_positioning,3,0.163860852780366,4.0471189636692,0.0120334795652227,0.3113440699359838,577,2000
clock_NY_quote,linear,0.5,add_positioning,linear_qr,7,0.0005106442193376,0.0126137423861766,-0.0008803592325165,0.0020975742697688,577,2000
clock_NY_quote,linear,0.5,add_positioning,quantile_lightgbm,7,0.034381633289712,0.8228605077610447,-0.0323064907052786,0.0965514414679175,577,2000
clock_NY_quote,linear,0.5,ML_minus_linear,without_positioning,7,0.1299898637099916,3.2109609617803563,0.0249252367902417,0.23179493979953,577,2000
clock_NY_quote,linear,0.5,ML_minus_linear,with_positioning,7,0.163860852780366,4.0471189636692,0.0389410459661084,0.2837731795481647,577,2000
clock_NY_quote,linear,0.9,add_positioning,linear_qr,3,0.0,0.0,0.0,0.0,577,2000
clock_NY_quote,linear,0.9,add_positioning,quantile_lightgbm,3,-0.009804617140714,-0.5309097367675477,-0.0365172145266666,0.014619387693721,577,2000
clock_NY_quote,linear,0.9,ML_minus_linear,without_positioning,3,-0.0001885910374925,-0.0102109641738964,-0.0446806146107518,0.0504262122302258,577,2000
