model,month,n,positive,prevalence,mean_probability,brier,logloss,ap,auc
mlp_ensemble_cal,2025-11,656,177,0.2698170731707317,0.3577831623246666,0.21237514110351527,0.6187610883444377,0.29869058327920295,0.49038132644515997
mlp_ensemble_cal,2025-12,682,201,0.29472140762463345,0.1643851067233168,0.23114918743887317,0.7012145163077018,0.29596239791783974,0.481645824929407
mlp_ensemble_cal,2026-01,641,209,0.32605304212168484,0.3362638374565242,0.20143914629139642,0.588328533386871,0.5017535843966539,0.6849304447988658
mlp_ensemble_cal,2026-02,613,202,0.3295269168026101,0.38744671261818714,0.2221309836164046,0.6358732492775712,0.3894221402778089,0.5732576907325769
mlp_ensemble_cal,2026-03,379,199,0.525065963060686,0.36164959751411735,0.2446135208875823,0.6876074739830458,0.7474956183868477,0.7201563372417645
gru_20260909_raw,2025-11,656,177,0.2698170731707317,0.31264015730106975,0.2091670736250911,0.6092000259061456,0.28707097445125074,0.5479872144179847
gru_20260909_raw,2025-12,682,201,0.29472140762463345,0.2722613606984315,0.2031838867115684,0.5974535809141087,0.3917976020464151,0.5938912506076686
gru_20260909_raw,2026-01,641,209,0.32605304212168484,0.29754002580590627,0.20040706858363247,0.5899334825523898,0.5296555111756044,0.6709751018961545
gru_20260909_raw,2026-02,613,202,0.3295269168026101,0.37264064455110135,0.22011786367856773,0.6310850369728714,0.41371854126306223,0.597805400978054
gru_20260909_raw,2026-03,379,199,0.525065963060686,0.39884894594825354,0.2325015413731292,0.6572621147237919,0.7270181205408492,0.7228364042434394
gru_20260910_raw,2025-11,656,177,0.2698170731707317,0.2811441847986383,0.19919930424715798,0.589765964815564,0.37049882558124336,0.5604661311819588
gru_20260910_raw,2025-12,682,201,0.29472140762463345,0.2697564098011713,0.20425721913396014,0.5984298284187812,0.36806577958445796,0.5992904500367187
gru_20260910_raw,2026-01,641,209,0.32605304212168484,0.2931183151982132,0.20198621166031017,0.5904488631742718,0.5031203756124669,0.6770556441609072
gru_20260910_raw,2026-02,613,202,0.3295269168026101,0.43844746680380275,0.23783182272289438,0.6679693135234254,0.37020679836286674,0.5642480306424804
gru_20260910_raw,2026-03,379,199,0.525065963060686,0.4276668365681077,0.22422667677113636,0.6420770896865602,0.7260596942624418,0.7281686208821887
gru_20260911_raw,2025-11,656,177,0.2698170731707317,0.29367994234283884,0.19779703006219618,0.5878560030414002,0.376146860934817,0.5519620678673791
gru_20260911_raw,2025-12,682,201,0.29472140762463345,0.2599286341007329,0.2009125670391297,0.591070648366183,0.41007156455154536,0.626545029530104
gru_20260911_raw,2026-01,641,209,0.32605304212168484,0.29043703004369126,0.20618731900375722,0.605476827941648,0.5105044414181085,0.6448254474570263
gru_20260911_raw,2026-02,613,202,0.3295269168026101,0.4637719114443217,0.24985609719088273,0.6925297351114265,0.32757471742748184,0.5114066151140662
gru_20260911_raw,2026-03,379,199,0.525065963060686,0.455817138378098,0.2156278626707246,0.6210019393451027,0.7410599568034753,0.7314070351758795
gru_ensemble_raw,2025-11,656,177,0.2698170731707317,0.2958214281475156,0.20036554693626493,0.5918703647884099,0.33652495313664454,0.5587794722998715
gru_ensemble_raw,2025-12,682,201,0.29472140762463345,0.26731546820011187,0.20190166956265201,0.5932577503584108,0.3909604538507653,0.6094061914957437
gru_ensemble_raw,2026-01,641,209,0.32605304212168484,0.2936984570159369,0.20165162010880383,0.5924605380873963,0.5236262152370946,0.6696570972886763
gru_ensemble_raw,2026-02,613,202,0.3295269168026101,0.42495334093307524,0.23198790536557645,0.6555416284565104,0.38364821382049985,0.5630435306304353
gru_ensemble_raw,2026-03,379,199,0.525065963060686,0.4274443069648197,0.22188851386191244,0.635213533243568,0.7427139071919675,0.7345896147403684
gru_ensemble_cal,2025-11,656,177,0.2698170731707317,0.2958214281475156,0.20036554693626493,0.5918703647884099,0.33652495313664454,0.5587794722998715
gru_ensemble_cal,2025-12,682,201,0.29472140762463345,0.21612157589902428,0.20744147527778814,0.6087616821816576,0.3909604538507653,0.6094061914957437
gru_ensemble_cal,2026-01,641,209,0.32605304212168484,0.324203524575475,0.20063622442549658,0.5897952907305285,0.5236262152370946,0.6696570972886763
gru_ensemble_cal,2026-02,613,202,0.3295269168026101,0.4707173368571356,0.24298213669492558,0.6786901943324777,0.38364821382049985,0.5630435306304353
gru_ensemble_cal,2026-03,379,199,0.525065963060686,0.33887950821074725,0.24872139441303434,0.693617712806567,0.7427139071919675,0.7345896147403684
tcn_20260909_raw,2025-11,656,177,0.2698170731707317,0.23874243099537745,0.2194702182814774,0.6583098010701263,0.20387823391537652,0.3508722267435689
tcn_20260909_raw,2025-12,682,201,0.29472140762463345,0.2218952840098516,0.22198029829414526,0.6746218967068486,0.3299720232302139,0.5061594315325658
tcn_20260909_raw,2026-01,641,209,0.32605304212168484,0.2783163079117278,0.21032794013727305,0.6124579558437924,0.46836369789940446,0.6496322877901826
tcn_20260909_raw,2026-02,613,202,0.3295269168026101,0.36048050737692133,0.21532941945006706,0.6184361417678335,0.41503450186254776,0.6137168461371684
tcn_20260909_raw,2026-03,379,199,0.525065963060686,0.4107945290711121,0.23014293832124963,0.6532195932086332,0.7536207372669195,0.7182300390843105
tcn_20260910_raw,2025-11,656,177,0.2698170731707317,0.22154812080921923,0.2077752209873149,0.6179639191576758,0.24393171162730867,0.44487692108087706
tcn_20260910_raw,2025-12,682,201,0.29472140762463345,0.2529533507406187,0.2029493638001233,0.5953645711712555,0.4069004048057514,0.6205252324655309
tcn_20260910_raw,2026-01,641,209,0.32605304212168484,0.2764340166043194,0.20764554498957283,0.6023828389175326,0.47665462658071023,0.6688707247917774
tcn_20260910_raw,2026-02,613,202,0.3295269168026101,0.33597430178430693,0.21593533523670044,0.6215409689594585,0.40649940931404815,0.592746500927465
tcn_20260910_raw,2026-03,379,199,0.525065963060686,0.39692890706980766,0.2343790548654113,0.6673026473997807,0.7687606051906427,0.7207984366275824
tcn_20260911_raw,2025-11,656,177,0.2698170731707317,0.20683749137402274,0.21756592875540318,0.7031397443621366,0.23643452921150354,0.4128657867732918
tcn_20260911_raw,2025-12,682,201,0.29472140762463345,0.2188579359083625,0.2144984793471565,0.6406518765920003,0.3826898595468747,0.5509252076416256
tcn_20260911_raw,2026-01,641,209,0.32605304212168484,0.28777868214663405,0.20962865992222915,0.6078009839801114,0.45682764011994387,0.6444488747120325
tcn_20260911_raw,2026-02,613,202,0.3295269168026101,0.3159522500381384,0.2188573972730678,0.6308278593148444,0.38529729806943314,0.58806099588061
tcn_20260911_raw,2026-03,379,199,0.525065963060686,0.39917950774481553,0.22958214355525877,0.6551120713807241,0.7685710301235855,0.7261864879955333
tcn_ensemble_raw,2025-11,656,177,0.2698170731707317,0.2223760143928731,0.212476513778085,0.6334314409926368,0.21265775084346134,0.3622306358586037
tcn_ensemble_raw,2025-12,682,201,0.29472140762463345,0.23123552355294424,0.21094154871331844,0.6210654405097698,0.3781004567185197,0.552342238909403
tcn_ensemble_raw,2026-01,641,209,0.32605304212168484,0.2808430022208937,0.20809479219283264,0.604111769754127,0.47674393518527175,0.6646730462519936
tcn_ensemble_raw,2026-02,613,202,0.3295269168026101,0.33746901973312216,0.21466622697518523,0.6188251859072111,0.40898593936275296,0.6081520560815206
tcn_ensemble_raw,2026-03,379,199,0.525065963060686,0.40230098129524516,0.22997771308227788,0.6549915456700062,0.7760782974300741,0.7309045226130653
tcn_ensemble_cal,2025-11,656,177,0.2698170731707317,0.2223760143928731,0.212476513778085,0.6334314409926368,0.21265775084346134,0.3622306358586037
tcn_ensemble_cal,2025-12,682,201,0.29472140762463345,0.25455577523012735,0.20894591816597521,0.6142606081456247,0.3781004567185197,0.552342238909403
tcn_ensemble_cal,2026-01,641,209,0.32605304212168484,0.3421052360526104,0.20577188769607835,0.599619329922707,0.47674393518527175,0.6646730462519936
tcn_ensemble_cal,2026-02,613,202,0.3295269168026101,0.3936931386958812,0.2187836969577749,0.6278720079380561,0.40898593936275296,0.6081520560815206
tcn_ensemble_cal,2026-03,379,199,0.525065963060686,0.3980141611811277,0.2310646358221582,0.6574052515832738,0.7760782974300741,0.7309045226130653
