scenario,definition,projection,h,q,model,info,reference_model,reference_info,contrast,block_days,n,difference_bp,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months,months
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,persistence,base,vs_persistence,10,637,0.2912518799343908,-0.5250033280616037,1.4943570956001968,-13.493544851036244,-64.29125779748135,23.224782282728384,0.567,2,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,constant,base,vs_constant,1,637,-0.13486400779217234,-0.4311434616827651,0.06650252085218442,5.218045712170771,-4.033165569133974,10.119530504392372,0.301,3,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,constant,base,vs_constant,5,637,-0.13486400779217234,-0.4247665181220689,0.060318014054525144,5.218045712170771,-3.5527609482962017,10.01438888496027,0.3165,3,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,constant,base,vs_constant,10,637,-0.13486400779217234,-0.3658645876581249,0.05228431399541065,5.218045712170771,-3.0752152894423723,9.426108492670885,0.3255,3,4
FX_UTC_delay1,EQ,sequential,1,0.1,interaction,base,linear,base,algorithm_vs_linear,1,202,0.26618103778708035,-0.03234472280290009,0.781100229489229,-12.771418327559147,-32.640899443486234,1.6116111780925162,0.183,2,4
FX_UTC_delay1,EQ,sequential,1,0.1,interaction,base,linear,base,algorithm_vs_linear,5,202,0.26618103778708035,-0.04792446390239533,0.7624508285908871,-12.771418327559147,-30.0220332438653,2.5874220232144567,0.2145,2,4
FX_UTC_delay1,EQ,sequential,1,0.1,interaction,base,linear,base,algorithm_vs_linear,10,202,0.26618103778708035,-0.03720625512760272,0.7009497723635858,-12.771418327559147,-27.182771675058042,1.9167491007861857,0.153,2,4
FX_UTC_delay1,EQ,sequential,1,0.1,spline,base,linear,base,algorithm_vs_linear,1,202,0.3847207879832382,-0.04171701984894803,0.9423852777001469,-18.45897875930742,-39.679137479065595,2.169074200842814,0.1265,1,4
FX_UTC_delay1,EQ,sequential,1,0.1,spline,base,linear,base,algorithm_vs_linear,5,202,0.3847207879832382,0.013990515607748638,0.8796877279554692,-18.45897875930742,-35.70063342002999,-0.7569246295950198,0.078,1,4
FX_UTC_delay1,EQ,sequential,1,0.1,spline,base,linear,base,algorithm_vs_linear,10,202,0.3847207879832382,0.028871652077015662,0.8110410327054894,-18.45897875930742,-33.56295470497687,-1.4562119150416142,0.05,1,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,base,linear,base,algorithm_vs_linear,1,202,0.20134205855865783,-0.0607809232325226,0.6045004436029507,-9.660431404739755,-24.995927198777064,3.3151104672472713,0.2255,0,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,base,linear,base,algorithm_vs_linear,5,202,0.20134205855865783,-0.04431038386340879,0.5354698471214037,-9.660431404739755,-21.64427139391726,2.2015038117569237,0.1835,0,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,base,linear,base,algorithm_vs_linear,10,202,0.20134205855865783,-0.024186944314152456,0.4780313733365241,-9.660431404739755,-20.156296244757065,1.231176458662953,0.1315,0,4
FX_UTC_delay1,EQ,sequential,1,0.1,spline,base,interaction,base,algorithm_vs_interaction,1,202,0.11853975019615783,-0.09434903176846925,0.3541404878246401,-5.043441428774109,-16.221146519373335,4.315162293937346,0.333,1,4
FX_UTC_delay1,EQ,sequential,1,0.1,spline,base,interaction,base,algorithm_vs_interaction,5,202,0.11853975019615783,-0.036342554701167484,0.26912661056836573,-5.043441428774109,-13.51761180714357,1.5927270778478742,0.1335,1,4
FX_UTC_delay1,EQ,sequential,1,0.1,spline,base,interaction,base,algorithm_vs_interaction,10,202,0.11853975019615783,-0.02120491875273886,0.2531505998386254,-5.043441428774109,-13.244531458801038,0.8811237084687475,0.106,1,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,base,interaction,base,algorithm_vs_interaction,1,202,-0.06483897922842252,-0.2380594810487885,0.08472986509790277,2.7586661309722316,-4.336968003368841,8.234080267856204,0.4225,2,4
