definition,horizons,h,high_downside,high_account,n,mean_start_bp,mean_future_bp,future_q10_bp,median_delta_bp,negative_start_n,remains_negative_rate
EQ,"1,12",12,0,1,44,-2.400603413298865,-2.379640108658282,-14.84239974237356,-0.8980313406618952,33,0.6363636363636364
EQ,"1,12",12,1,0,38,-1.359830611113425,-2.189027853884997,-14.74730458716768,-1.0319990896143079,17,0.6470588235294118
EQ,"1,12",12,1,1,63,-5.33541294923216,-1.6085655581978178,-14.045269552487952,4.879159290949286,44,0.6136363636363636
PCA,"1,6",1,0,0,28,2.440789628274405,0.8133760033672152,-12.5419175482499,-2.8098803134093036,12,0.5
PCA,"1,6",1,0,1,19,-3.9036551183252723,-4.248201288375384,-11.76707786950547,2.012975583292169,13,0.7692307692307693
PCA,"1,6",1,1,0,19,-1.7196416421046576,-3.6131989460984015,-18.261770594348793,-3.6527795779691936,14,0.7142857142857143
PCA,"1,6",1,1,1,19,-2.372447352629328,-2.7289647100358216,-18.775968699109672,1.3758569258580788,12,0.5833333333333334
PCA,"1,6",6,0,0,28,2.440789628274405,-2.5671831603249298,-13.777889256937822,-3.4340088697778546,12,0.75
PCA,"1,6",6,0,1,19,-3.9036551183252723,-2.581661512786233,-13.934558696960046,-4.202407322268367,13,0.6923076923076923
PCA,"1,6",6,1,0,19,-1.7196416421046576,-6.099936053482063,-16.428226645794172,-3.284323294244535,14,0.7142857142857143
PCA,"1,6",6,1,1,19,-2.372447352629328,-5.141317672292997,-12.641517790345628,-1.0475621615752408,12,0.75
PCA,"1,12",1,0,0,64,-0.07363529668666474,-0.6508368758722554,-13.339564895105598,-0.6464460734254116,33,0.6363636363636364
PCA,"1,12",1,0,1,44,-2.390498674833837,-1.815647281905897,-11.833656904269741,1.3203645725636606,33,0.8484848484848485
PCA,"1,12",1,1,0,38,-1.3424854399742348,-2.9706717868765864,-14.923499442381745,-4.319836751922914,17,0.6470588235294118
PCA,"1,12",1,1,1,63,-5.31823743424641,-4.645843363211398,-15.389711259517833,-0.2533593540304384,44,0.6818181818181818
PCA,"1,12",12,0,0,64,-0.07363529668666474,-3.2686990865813494,-14.42424516724073,-3.3974973652897633,33,0.696969696969697
PCA,"1,12",12,0,1,44,-2.390498674833837,-2.3776100701749345,-14.764134344316963,-0.8884469078517925,33,0.6363636363636364
PCA,"1,12",12,1,0,38,-1.3424854399742348,-2.1615321302304453,-14.575375721322564,-1.0377461081127164,17,0.6470588235294118
PCA,"1,12",12,1,1,63,-5.31823743424641,-1.602920714430508,-13.895571250375681,4.825116338057267,44,0.6136363636363636
