method,scope,algorithm,period,n,mse,baseline_mse,skill
pca_1,mean_market,lightgbm,2026-03,236,136.09594637686553,133.64273219884114,-0.018356510209431853
pca_1,all_references,ridge,all,906,53.21647795977742,103.02291860838967,0.48345010334968574
pca_1,all_references,ridge,2026-01,346,56.581079401844136,79.14279143284524,0.28507602047553904
pca_1,all_references,ridge,2026-02,324,46.59576595336984,106.2212148904632,0.5613327714108707
pca_1,all_references,ridge,2026-03,236,57.37308215944256,133.64273219884114,0.5706980752677244
pca_1,all_references,lightgbm,all,906,91.24825847959423,103.02291860838967,0.11429165750538717
pca_1,all_references,lightgbm,2026-01,346,67.25979717569625,79.14279143284524,0.15014626148525512
pca_1,all_references,lightgbm,2026-02,324,84.2241480242258,106.2212148904632,0.20708732138792696
pca_1,all_references,lightgbm,2026-03,236,136.06105254183183,133.64273219884114,-0.018095412322104876
pca_2,mean_market,ridge,all,906,53.60473658669223,54.291375761009824,0.012647297378135525
pca_2,mean_market,ridge,2026-01,346,57.59086794856445,52.858810456744955,-0.08952258764301546
pca_2,mean_market,ridge,2026-02,324,46.96634194446546,45.39071574027648,-0.03471252167964578
pca_2,mean_market,ridge,2026-03,236,56.874390878529915,68.6112123796253,0.1710627329561769
pca_2,mean_market,lightgbm,all,906,52.06118724410505,54.291375761009824,0.041078135995706644
pca_2,mean_market,lightgbm,2026-01,346,48.57109272841617,52.858810456744955,0.08111642489263893
pca_2,mean_market,lightgbm,2026-02,324,45.90140371176279,45.39071574027648,-0.011250934539310808
pca_2,mean_market,lightgbm,2026-03,236,65.63467269710186,68.6112123796253,0.04338270057165394
pca_2,all_references,ridge,all,906,56.378162092573504,54.291375761009824,-0.03843679225867658
pca_2,all_references,ridge,2026-01,346,61.05112255580965,52.858810456744955,-0.15498479871711401
pca_2,all_references,ridge,2026-02,324,50.79375610141258,45.39071574027648,-0.11903404194047185
pca_2,all_references,ridge,2026-03,236,57.193853706371925,68.6112123796253,0.16640660144702324
pca_2,all_references,lightgbm,all,906,52.614489278289675,54.291375761009824,0.030886792961404952
pca_2,all_references,lightgbm,2026-01,346,48.840944030968494,52.858810456744955,0.07601129104228199
pca_2,all_references,lightgbm,2026-02,324,47.53802060112726,45.39071574027648,-0.04730713816317755
pca_2,all_references,lightgbm,2026-03,236,65.11627956207673,68.6112123796253,0.05093821689392597
ae_selected,mean_market,ridge,all,906,1092.6550244847851,417.3023181402663,-1.6183775574367045
ae_selected,mean_market,ridge,2026-01,346,477.88426646154534,522.3754513646686,0.08517089535293676
ae_selected,mean_market,ridge,2026-02,324,928.971158751062,480.5281325614789,-0.9332294943880506
ae_selected,mean_market,ridge,2026-03,236,2218.6900023397307,176.4528775974016,-11.57383859390459
ae_selected,mean_market,lightgbm,all,906,83.36241562828941,417.3023181402663,0.8002349567579706
ae_selected,mean_market,lightgbm,2026-01,346,78.47987061984028,522.3754513646686,0.849763478710921
ae_selected,mean_market,lightgbm,2026-02,324,82.4638406149711,480.5281325614789,0.828389151379351
ae_selected,mean_market,lightgbm,2026-03,236,91.7543600233679,176.4528775974016,0.48000643983422886
ae_selected,all_references,ridge,all,906,1121.5226156036335,417.3023181402663,-1.6875542426933277
ae_selected,all_references,ridge,2026-01,346,443.3023867088553,522.3754513646686,0.15137209156601938
ae_selected,all_references,ridge,2026-02,324,995.6509347921865,480.5281325614789,-1.0719930162773617
ae_selected,all_references,ridge,2026-03,236,2288.6693265379645,176.4528775974016,-11.970427899508888
ae_selected,all_references,lightgbm,all,906,81.29420888941836,417.3023181402663,0.8051910920320045
ae_selected,all_references,lightgbm,2026-01,346,76.9261400736665,522.3754513646686,0.8527378346882449
ae_selected,all_references,lightgbm,2026-02,324,79.81969118545061,480.5281325614789,0.8338917416552329
ae_selected,all_references,lightgbm,2026-03,236,89.7225798484679,176.4528775974016,0.4915210164314763
joint_ols,mean_market,ridge,all,906,103.90663052772751,104.81322329831161,0.00864960299907791
joint_ols,mean_market,ridge,2026-01,346,83.12697243314392,80.09175500481663,-0.03789675264507264
joint_ols,mean_market,ridge,2026-02,324,112.05596572089007,108.40991468291318,-0.0336320810568036
joint_ols,mean_market,ridge,2026-03,236,123.18365213002092,136.11957931923678,0.095033552512513
joint_ols,mean_market,lightgbm,all,906,104.25355475621858,104.81322329831161,0.005339674942541839
joint_ols,mean_market,lightgbm,2026-01,346,75.01376904678253,80.09175500481663,0.06340210621840814
joint_ols,mean_market,lightgbm,2026-02,324,110.2945147408707,108.40991468291318,-0.017384019381158522
joint_ols,mean_market,lightgbm,2026-03,236,138.82853280892024,136.11957931923678,-0.019901277268351336
joint_ols,all_references,ridge,all,906,53.19935085435013,104.81322329831161,0.4924366489241716
joint_ols,all_references,ridge,2026-01,346,56.51521460751593,80.09175500481663,0.294369131952257
joint_ols,all_references,ridge,2026-02,324,46.616639375723416,108.40991468291318,0.5699965311099834
joint_ols,all_references,ridge,2026-03,236,57.375239246213205,136.11957931923678,0.5784938542040823
joint_ols,all_references,lightgbm,all,906,92.65333489011377,104.81322329831161,0.11601483119729339
joint_ols,all_references,lightgbm,2026-01,346,68.12311241303522,80.09175500481663,0.149436637904384
joint_ols,all_references,lightgbm,2026-02,324,85.49075909462738,108.40991468291318,0.21141198805775063
joint_ols,all_references,lightgbm,2026-03,236,138.45050241048145,136.11957931923678,-0.017124083859956896
