task,method,info,algorithm,q,contrast,block_days,n,delta,relative_pct,ci_low,ci_high
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,add_positioning,7,576,-0.09134495184004784,-1.647329325549079,-0.16944356822571788,-0.010722827252292027
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,add_residual,3,576,0.04639746199987119,0.40501966225240454,-0.1165727938122752,0.2148832797436935
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,add_residual,7,576,0.04639746199987119,0.40501966225240454,-0.09077000867452999,0.19845232835379975
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,add_positioning,3,576,-0.08983861678965806,-0.7750157921002325,-0.24066601366206306,0.06109481047701621
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,add_positioning,7,576,-0.08983861678965806,-0.7750157921002325,-0.24846023795800673,0.057956729301950505
observed_change,pca_2,without_positioning,linear_qr,0.1,add_residual,3,576,-0.15260474326993118,-2.539484541408204,-0.36424313072678144,0.020342710237913644
observed_change,pca_2,without_positioning,linear_qr,0.1,add_residual,7,576,-0.15260474326993118,-2.539484541408204,-0.3687692071810291,0.01992386410578949
observed_change,pca_2,without_positioning,linear_qr,0.5,add_residual,3,576,-0.17706884338368334,-1.5703277185032127,-0.39318289167265874,0.011941107207498844
observed_change,pca_2,without_positioning,linear_qr,0.5,add_residual,7,576,-0.17706884338368334,-1.5703277185032127,-0.37991901189967175,-0.004627555525595711
observed_change,pca_2,without_positioning,quantile_lightgbm,0.1,add_residual,3,576,0.04997336781667258,0.9000997652793913,-0.11952427059779601,0.2255310804767125
observed_change,pca_2,without_positioning,quantile_lightgbm,0.1,add_residual,7,576,0.04997336781667258,0.9000997652793913,-0.10265025373092539,0.21156919335602511
observed_change,pca_2,without_positioning,quantile_lightgbm,0.5,add_residual,3,576,-0.06418459205018252,-0.5550379373789462,-0.27360741460698734,0.1542690244743792
observed_change,pca_2,without_positioning,quantile_lightgbm,0.5,add_residual,7,576,-0.06418459205018252,-0.5550379373789462,-0.24966385336624003,0.09649202489764983
observed_change,pca_2,with_positioning,linear_qr,0.1,add_residual,3,576,-0.05837487934501062,-0.9870144370564977,-0.2616930059573145,0.10484308594027257
observed_change,pca_2,with_positioning,linear_qr,0.1,add_residual,7,576,-0.05837487934501062,-0.9870144370564977,-0.26730894589477533,0.10733527756098762
observed_change,pca_2,with_positioning,linear_qr,0.1,add_positioning,3,576,-0.0007620993040884642,-0.013012489796005137,-0.0174578914177288,0.01756579747235924
observed_change,pca_2,with_positioning,linear_qr,0.1,add_positioning,7,576,-0.0007620993040884642,-0.013012489796005137,-0.01646792239615225,0.01600263613494243
observed_change,pca_2,with_positioning,linear_qr,0.5,add_residual,3,576,-0.11841800559288772,-1.043268501032003,-0.2687473665397637,0.02558643078228994
observed_change,pca_2,with_positioning,linear_qr,0.5,add_residual,7,576,-0.11841800559288772,-1.043268501032003,-0.24582528408702656,0.00798398664262904
observed_change,pca_2,with_positioning,linear_qr,0.5,add_positioning,3,576,0.133408183076665,1.2020003011659282,0.01566981655152024,0.28188687735409385
observed_change,pca_2,with_positioning,linear_qr,0.5,add_positioning,7,576,0.133408183076665,1.2020003011659282,0.02433344164702278,0.274452802878136
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,add_residual,3,576,0.082219931154154,1.5059040518803972,-0.06558888163343901,0.23138861163355398
