mode,definition,fold,removed_group,procedure,seed,candidate,kind,window,form,params,inner_score,inner_months,train_n,test_n,features,interaction_pairs,train_last_label,first_origin
available_macro,PCA,2025-12,global_btc,retuned,20260925,52,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.34731360621415,"['2025-09', '2025-10', '2025-11']",1862,313,"['e_now', 'e_change1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'local_volume_surprise', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00
available_macro,PCA,2026-01,global_btc,retuned,20260925,40,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.5180172494277842,"['2025-10', '2025-11', '2025-12']",2175,294,"['e_now', 'e_change1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'local_volume_surprise', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00
available_macro,PCA,2025-12,local_volume,retuned,20260925,52,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.3495281702863686,"['2025-09', '2025-10', '2025-11']",1862,313,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00
available_macro,PCA,2026-01,local_volume,retuned,20260925,40,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.5071369183073682,"['2025-10', '2025-11', '2025-12']",2175,294,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00
available_macro,CAP,2026-03,fx_macro,retuned,20260925,3,linear,all,change,{'alpha': 0.0},1.1654637929171563,"['2025-12', '2026-01', '2026-02']",2749,201,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00
available_macro,PCA,2026-01,fx_macro,retuned,20260925,40,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.5191318303755004,"['2025-10', '2025-11', '2025-12']",2175,294,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00
available_macro,PCA,2025-12,fx_macro,retuned,20260925,47,boosting,90,change,"{'max_depth': 2, 'n_estimators': 250, 'min_samples_leaf': 40}",1.3499233218115856,"['2025-09', '2025-10', '2025-11']",940,313,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00
available_macro,PCA,2026-03,global_btc,retuned,20260925,58,qrf,90,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.652570137315273,"['2025-12', '2026-01', '2026-02']",887,201,"['e_now', 'e_change1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'local_volume_surprise', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00
strict,EQ,2025-11,local_volume,retuned,20260925,4,linear,all,change,{'alpha': 0.01},1.268122837662013,"['2025-08', '2025-09', '2025-10']",742,120,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-10-31T17:00:00+00:00,2025-11-03T11:00:00+00:00
available_macro,PCA,2026-03,local_volume,retuned,20260925,58,qrf,90,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.6504771241263605,"['2025-12', '2026-01', '2026-02']",887,201,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00
available_macro,PCA,2025-11,local_volume,retuned,20260925,41,boosting,all,change,"{'max_depth': 2, 'n_estimators': 250, 'min_samples_leaf': 40}",1.233632520436304,"['2025-08', '2025-09', '2025-10']",1582,280,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00
strict,EQ,2025-11,fx_macro,retuned,20260925,4,linear,all,change,{'alpha': 0.01},1.267955258697021,"['2025-08', '2025-09', '2025-10']",742,120,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-10-31T17:00:00+00:00,2025-11-03T11:00:00+00:00
strict,EQ,2025-11,global_btc,retuned,20260925,44,boosting,90,level,"{'max_depth': 2, 'n_estimators': 250, 'min_samples_leaf': 40}",1.2809778141893051,"['2025-08', '2025-09', '2025-10']",455,120,"['e_now', 'e_change1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'local_volume_surprise', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-10-31T17:00:00+00:00,2025-11-03T11:00:00+00:00
available_macro,PCA,2026-03,fx_macro,retuned,20260925,80,threshold,90,change,"{'band': [0.2, 0.8], 'alpha': 0.01}",1.663888063207608,"['2025-12', '2026-01', '2026-02']",887,201,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00
available_macro,EQ,2025-11,local_volume,retuned,20260925,41,boosting,all,change,"{'max_depth': 2, 'n_estimators': 250, 'min_samples_leaf': 40}",1.2365514794568468,"['2025-08', '2025-09', '2025-10']",1582,280,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00
strict,EQ,2025-12,global_btc,retuned,20260925,52,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.3968517981668007,"['2025-09', '2025-10', '2025-11']",862,132,"['e_now', 'e_change1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'local_volume_surprise', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-11-28T17:00:00+00:00,2025-12-01T11:00:00+00:00
