mode,definition,removed_group,procedure,calibration,n,days,seeds,loss_bp,below_rate,below_lo,below_hi
available_macro,PCA,local_volume,fixed_full_spec,raw,1088,78,1,1.707882318037586,0.17463235294117646,0.15255243636924146,0.19730077754519662
available_macro,PCA,local_volume,retuned,raw,1088,78,1,1.7618427646412484,0.18290441176470587,0.16010196779964223,0.20639908282256103
available_macro,PCA,none,full,raw,1088,78,1,1.7014485007502984,0.17371323529411764,0.1516892185818623,0.19638061448590316
available_macro,PCA,fx_macro,fixed_full_spec,calibrated,1088,78,1,1.6340230134525828,0.10110294117647059,0.08714845721178108,0.11517391943066076
available_macro,PCA,fx_macro,retuned,calibrated,1088,78,1,1.6895966813829666,0.09926470588235294,0.0848855339727356,0.11526809684858567
available_macro,PCA,global_btc,fixed_full_spec,calibrated,1088,78,1,1.6619663127570323,0.10018382352941177,0.08687597684825042,0.11333394271785496
available_macro,PCA,global_btc,retuned,calibrated,1088,78,1,1.6859419735164032,0.10202205882352941,0.08762962275374234,0.1163293625417938
available_macro,PCA,local_volume,fixed_full_spec,calibrated,1088,78,1,1.6426879968009425,0.10386029411764706,0.08975487917691388,0.11831348944832536
available_macro,PCA,local_volume,retuned,calibrated,1088,78,1,1.6687439482669628,0.10018382352941177,0.08484582668793196,0.11602744608804134
available_macro,PCA,none,full,calibrated,1088,78,1,1.646733782555868,0.10018382352941177,0.08632134321707781,0.1146843543352656
strict,EQ,fx_macro,fixed_full_spec,raw,467,77,1,1.9078216520604503,0.1777301927194861,0.15101862189076945,0.20615274365274364
strict,EQ,fx_macro,retuned,raw,467,77,1,1.9078216520604512,0.1777301927194861,0.15101862189076945,0.20615274365274364
strict,EQ,global_btc,fixed_full_spec,raw,467,77,1,1.9160052576592232,0.1905781584582441,0.1632610366322261,0.21791244341172228
strict,EQ,global_btc,retuned,raw,467,77,1,1.8121461606649731,0.17987152034261242,0.1528800278177613,0.20754927560646902
strict,EQ,local_volume,fixed_full_spec,raw,467,77,1,1.9576626693149977,0.18201284796573874,0.1513731289232255,0.2130855009968934
strict,EQ,local_volume,retuned,raw,467,77,1,1.9801742528549842,0.1841541755888651,0.15349307955297406,0.2172043010752688
strict,EQ,none,full,raw,467,77,1,1.941325732604377,0.1841541755888651,0.15383782883782884,0.2171950566827227
strict,EQ,fx_macro,fixed_full_spec,calibrated,467,77,1,1.860277845997085,0.0835117773019272,0.06066735526779866,0.10584781242978267
strict,EQ,fx_macro,retuned,calibrated,467,77,1,1.8602778459970857,0.0835117773019272,0.06066735526779866,0.10584781242978267
strict,EQ,global_btc,fixed_full_spec,calibrated,467,77,1,1.8029448841265419,0.08565310492505353,0.06515396023427092,0.10526315789473684
strict,EQ,global_btc,retuned,calibrated,467,77,1,1.8080806140680878,0.07922912205567452,0.0581572706935123,0.10061666214663
strict,EQ,local_volume,fixed_full_spec,calibrated,467,77,1,1.9033155377198252,0.0835117773019272,0.06235565819861432,0.10537684772481176
