mode,definition,removed_group,procedure,calibration,fold,n,loss_bp,below_rate
available_macro,PCA,global_btc,fixed_full_spec,raw,2025-12,313,1.67225769123328,0.17252396166134185
available_macro,PCA,global_btc,fixed_full_spec,raw,2026-01,294,1.539030089554459,0.20748299319727892
available_macro,PCA,global_btc,fixed_full_spec,raw,2026-02,280,1.8770448979818337,0.17857142857142858
available_macro,PCA,global_btc,fixed_full_spec,raw,2026-03,201,1.7919516283345926,0.11442786069651742
available_macro,PCA,global_btc,retuned,raw,2025-12,313,1.67225769123328,0.17252396166134185
available_macro,PCA,global_btc,retuned,raw,2026-01,294,1.539030089554459,0.20748299319727892
available_macro,PCA,global_btc,retuned,raw,2026-02,280,2.1002945400801636,0.20714285714285716
available_macro,PCA,global_btc,retuned,raw,2026-03,201,1.7919516283345926,0.11442786069651742
available_macro,PCA,local_volume,fixed_full_spec,raw,2025-12,313,1.6660624144190936,0.16932907348242812
available_macro,PCA,local_volume,fixed_full_spec,raw,2026-01,294,1.5540205393095987,0.2108843537414966
available_macro,PCA,local_volume,fixed_full_spec,raw,2026-02,280,1.8795965040292104,0.18214285714285713
available_macro,PCA,local_volume,fixed_full_spec,raw,2026-03,201,1.7588525702811768,0.11940298507462686
available_macro,PCA,local_volume,retuned,raw,2025-12,313,1.6660624144190936,0.16932907348242812
available_macro,PCA,local_volume,retuned,raw,2026-01,294,1.5540205393095987,0.2108843537414966
available_macro,PCA,local_volume,retuned,raw,2026-02,280,2.089271382260584,0.21428571428571427
available_macro,PCA,local_volume,retuned,raw,2026-03,201,1.7588525702811768,0.11940298507462686
available_macro,PCA,none,full,raw,2025-12,313,1.664866858783325,0.17891373801916932
available_macro,PCA,none,full,raw,2026-01,294,1.5401105247857905,0.20408163265306123
available_macro,PCA,none,full,raw,2026-02,280,1.8751773322861718,0.175
available_macro,PCA,none,full,raw,2026-03,201,1.7523905208457404,0.11940298507462686
available_macro,PCA,fx_macro,fixed_full_spec,calibrated,2025-12,313,1.6108585942372333,0.0926517571884984
available_macro,PCA,fx_macro,fixed_full_spec,calibrated,2026-01,294,1.4023177491033103,0.11564625850340136
available_macro,PCA,fx_macro,fixed_full_spec,calibrated,2026-02,280,1.7707347312981234,0.10357142857142858
available_macro,PCA,fx_macro,fixed_full_spec,calibrated,2026-03,201,1.8185629633846183,0.08955223880597014
available_macro,PCA,fx_macro,retuned,calibrated,2025-12,313,1.68789962033109,0.08945686900958466
available_macro,PCA,fx_macro,retuned,calibrated,2026-01,294,1.406547679580196,0.11564625850340136
available_macro,PCA,fx_macro,retuned,calibrated,2026-02,280,1.8468716146665558,0.10714285714285714
available_macro,PCA,fx_macro,retuned,calibrated,2026-03,201,1.8871618819792189,0.07960199004975124
available_macro,PCA,global_btc,fixed_full_spec,calibrated,2025-12,313,1.627544851868023,0.09584664536741214
available_macro,PCA,global_btc,fixed_full_spec,calibrated,2026-01,294,1.4307852179992686,0.10884353741496598
available_macro,PCA,global_btc,fixed_full_spec,calibrated,2026-02,280,1.7808785311530129,0.10357142857142858
available_macro,PCA,global_btc,fixed_full_spec,calibrated,2026-03,201,1.8880645115936883,0.08955223880597014
available_macro,PCA,global_btc,retuned,calibrated,2025-12,313,1.627544851868023,0.09584664536741214
